BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
4.62785 3.59331 0.4566 -1.31027 0.169635
4.60824 -0.106452 0.438008 -1.23301 0.246891
3.64649 -4.54617 -0.473786 -1.52178 -0.0418742
4.51355 2.85336 0.348237 -1.53638 -0.0564773
4.65558 -1.58636 0.482893 -1.33853 0.141371
4.31268 -3.80621 0.157803 -1.03093 0.448979
4.35191 3.59331 0.194987 -1.31404 0.165867
4.60824 -0.106452 0.438008 -1.49022 -0.0103127
4.35191 3.59331 0.194987 -1.27117 0.208734
3.87509 -3.06626 -0.257059 -1.54109 -0.061188
4.28495 1.37345 0.13151 -1.30273 0.177172
4.07596 3.59331 -0.0666252 -1.48927 -0.00937052
4.70293 -3.06626 0.527779 -0.843911 0.635993
3.84736 2.1134 -0.283352 -1.42709 0.0528105
3.96166 2.85336 -0.174989 -1.20098 0.278923
3.64649 -4.54617 -0.473786 -1.56465 -0.0847414
4.60824 -0.106452 0.438008 -1.06155 0.418359
3.48485 -3.80621 -0.627035 -1.68524 -0.205335
4.65558 -1.58636 0.482893 -1.16706 0.31284
4.93153 -1.58636 0.744506 -1.1633 0.316609
4.44659 0.6335 0.284759 -1.26787 0.212032
3.57141 2.1134 -0.544965 -1.5166 -0.0366925
4.76989 -0.846404 0.591257 -1.24102 0.238882
3.98939 -2.32631 -0.148695 -1.74365 -0.263747
4.1233 2.1134 -0.0217396 -1.25186 0.228048
4.39925 2.1134 0.239873 -1.33382 0.146082
3.68571 2.85336 -0.436601 -1.46195 0.0179514
4.83684 1.37345 0.654735 -1.29519 0.18471
4.28495 1.37345 0.13151 -1.38847 0.0914381
3.24812 3.59331 -0.851463 -1.50058 -0.0206762
4.07596 3.59331 -0.0666252 -1.14634 0.333567
4.1233 2.1134 -0.0217396 -1.33759 0.142313
4.46621 4.33326 0.303351 -0.916456 0.563448
4.5609 1.37345 0.393122 -1.21323 0.266675
4.49394 -0.846404 0.329644 -1.20192 0.277981
3.24812 3.59331 -0.851463 -1.41485 0.0650583
4.9038 3.59331 0.718213 -1.3065 0.173404
4.81723 -2.32631 0.636143 -1.04647 0.433434
4.15104 -3.06626 0.00455383 -1.28012 0.199784
4.39925 2.1134 0.239873 -1.33382 0.146082
4.21799 -0.846404 0.0680317 -1.7201 -0.240194
3.98939 -2.32631 -0.148695 -1.31498 0.164925
3.80001 3.59331 -0.328238 -1.32157 0.15833
3.52407 3.59331 -0.58985 -1.58255 -0.102642
4.65558 -1.58636 0.482893 -1.16706 0.31284
4.03674 -3.80621 -0.10381 -1.20616 0.273741
3.80001 3.59331 -0.328238 -1.49304 -0.0131391
4.23761 2.85336 0.0866239 -1.54015 -0.0602459
4.23761 2.85336 0.0866239 -1.62588 -0.14598
3.96166 2.85336 -0.174989 -1.20098 0.278923
4.28495 1.37345 0.13151 -1.30273 0.177172
4.23761 2.85336 0.0866239 -1.15435 0.325559
3.68571 2.85336 -0.436601 -1.46195 0.0179514
4.88419 -0.106452 0.69962 -0.84344 0.636464
3.73306 1.37345 -0.391716 -1.56747 -0.0875678
2.9803 -5.28612 -1.10537 -1.71256 -0.232657
4.39925 2.1134 0.239873 -1.41956 0.0603476
4.15104 -3.06626 0.00455383 -1.36586 0.114049
4.44659 0.6335 0.284759 -1.43934 0.0405627
4.65558 -1.58636 0.482893 -1.08133 0.398575
4.07596 3.59331 -0.0666252 -1.40354 0.0763639
4.17065 0.6335 0.0231461 -1.35738 0.122529
4.54128 -2.32631 0.37453 -1.13597 0.343931
4.9038 3.59331 0.718213 -1.22077 0.259138
2.9803 -5.28612 -1.10537 -1.88403 -0.404126
3.52407 3.59331 -0.58985 -1.49681 -0.0169076
4.5609 1.37345 0.393122 -1.04176 0.438144
3.13382 2.85336 -0.959827 -1.64096 -0.161054
4.03674 -3.80621 -0.10381 -1.24903 0.230874
4.07596 3.59331 -0.0666252 -1.48927 -0.00937052
4.44659 0.6335 0.284759 -1.35361 0.126297
4.03674 -3.80621 -0.10381 -1.33476 0.14514
4.51355 2.85336 0.348237 -1.62212 -0.142212
4.26534 -2.32631 0.112917 -1.43981 0.0400916
4.51355 2.85336 0.348237 -1.10771 0.372195
4.35191 3.59331 0.194987 -1.39977 0.0801324
3.52407 3.59331 -0.58985 -1.41108 0.0688268
4.39925 2.1134 0.239873 -1.24809 0.231816
4.03674 -3.80621 -0.10381 -1.33476 0.14514
4.31268 -3.80621 0.157803 -0.945191 0.534713
3.40977 2.85336 -0.698214 -1.72292 -0.24302
3.37055 -4.54617 -0.735398 -1.56841 -0.08851
4.51355 2.85336 0.348237 -1.49351 -0.0136101
4.49394 -0.846404 0.329644 -1.11619 0.363715
4.07596 3.59331 -0.0666252 -1.10347 0.376434
4.51355 2.85336 0.348237 -1.02198 0.457929
4.60824 -0.106452 0.438008 -1.06155 0.418359
4.7895 2.85336 0.609849 -1.23254 0.247362
3.40977 2.85336 -0.698214 -1.42285 0.0570501
4.60824 -0.106452 0.438008 -1.31875 0.161156
3.57141 2.1134 -0.544965 -1.60233 -0.122427
4.26534 -2.32631 0.112917 -1.31121 0.168693
4.83684 1.37345 0.654735 -1.12373 0.356178
3.57141 2.1134 -0.544965 -1.25939 0.220511
3.37055 -4.54617 -0.735398 -1.65415 -0.174244
4.03674 -3.80621 -0.10381 -1.33476 0.14514
4.15104 -3.06626 0.00455383 -1.23725 0.242651
3.57141 2.1134 -0.544965 -1.34513 0.134776
3.80001 3.59331 -0.328238 -1.15011 0.329799
4.26534 -2.32631 0.112917 -1.13974 0.340162
4.7895 2.85336 0.609849 -1.18968 0.290229
4.42698 -3.06626 0.266166 -1.19062 0.289287
4.65558 -1.58636 0.482893 -1.20993 0.269973
4.6752 2.1134 0.501486 -1.15859 0.321319
4.51355 2.85336 0.348237 -1.53638 -0.0564773
4.9038 3.59331 0.718213 -1.3065 0.173404
4.33229 -0.106452 0.176395 -1.66545 -0.18555
4.62785 3.59331 0.4566 -1.22453 0.25537
4.1233 2.1134 -0.0217396 -1.20899 0.270915
4.15104 -3.06626 0.00455383 -1.28012 0.199784
4.31268 -3.80621 0.157803 -0.859457 0.620448
4.42698 -3.06626 0.266166 -0.84768 0.632224
4.03674 -3.80621 -0.10381 -1.24903 0.230874
4.10369 -1.58636 -0.0403318 -1.68901 -0.209103
3.25625 -5.28612 -0.843762 -1.79453 -0.314623
4.37964 -1.58636 0.221281 -1.51377 -0.0338661
4.44659 0.6335 0.284759 -1.43934 0.0405627
3.84736 2.1134 -0.283352 -1.77003 -0.290127
3.96166 2.85336 -0.174989 -1.71539 -0.235483
4.35191 3.59331 0.194987 -1.39977 0.0801324
3.98939 -2.32631 -0.148695 -1.65792 -0.178013
4.5609 1.37345 0.393122 -1.08463 0.395277
3.80001 3.59331 -0.328238 -1.57878 -0.0988735
3.25625 -5.28612 -0.843762 -1.79453 -0.314623
4.39925 2.1134 0.239873 -1.41956 0.0603476
3.80001 3.59331 -0.328238 -1.32157 0.15833
3.64649 -4.54617 -0.473786 -1.35031 0.129595
4.44659 0.6335 0.284759 -1.26787 0.212032
4.49394 -0.846404 0.329644 -1.11619 0.363715
3.37055 -4.54617 -0.735398 -1.73988 -0.259979
4.21799 -0.846404 0.0680317 -1.20569 0.274213
3.59915 -3.06626 -0.518671 -1.54486 -0.0649566
4.15104 -3.06626 0.00455383 -1.45159 0.0283149
3.64649 -4.54617 -0.473786 -1.39318 0.0867274
4.28495 1.37345 0.13151 -1.30273 0.177172
4.03674 -3.80621 -0.10381 -1.24903 0.230874
3.68571 2.85336 -0.436601 -1.29048 0.18942
4.35191 3.59331 0.194987 -0.885365 0.594539
4.10369 -1.58636 -0.0403318 -1.34607 0.133834
3.52407 3.59331 -0.58985 -1.41108 0.0688268
4.009 1.37345 -0.130103 -1.39223 0.0876695
3.52407 3.59331 -0.58985 -1.58255 -0.102642
3.24812 3.59331 -0.851463 -1.58631 -0.106411
3.25625 -5.28612 -0.843762 -1.70879 -0.228888
3.29547 2.1134 -0.806577 -1.6061 -0.126195
4.28495 1.37345 0.13151 -1.38847 0.0914381
3.64649 -4.54617 -0.473786 -1.60751 -0.127609
4.88419 -0.106452 0.69962 -1.05778 0.422128
4.76989 -0.846404 0.591257 -1.36962 0.110281
3.82775 -1.58636 -0.301944 -1.94998 -0.470075
4.1233 2.1134 -0.0217396 -1.59479 -0.11489
4.81723 -2.32631 0.636143 -1.04647 0.433434
4.31268 -3.80621 0.157803 -1.11666 0.363244
4.6752 2.1134 0.501486 -1.33005 0.149851
4.03674 -3.80621 -0.10381 -1.24903 0.230874
4.17065 0.6335 0.0231461 -1.44311 0.0367942
4.51355 2.85336 0.348237 -0.979108 0.500796
4.65558 -1.58636 0.482893 -1.2528 0.227106
4.21799 -0.846404 0.0680317 -1.80583 -0.325928
3.25625 -5.28612 -0.843762 -1.70879 -0.228888
4.03674 -3.80621 -0.10381 -1.24903 0.230874
3.40977 2.85336 -0.698214 -1.55146 -0.0715515
3.76079 -3.80621 -0.365422 -1.2528 0.227106
4.65558 -1.58636 0.482893 -1.2528 0.227106
4.51355 2.85336 0.348237 -1.45065 0.0292571
4.42698 -3.06626 0.266166 -0.933414 0.54649
4.07596 3.59331 -0.0666252 -1.40354 0.0763639
4.33229 -0.106452 0.176395 -1.49399 -0.0140812
4.49394 -0.846404 0.329644 -1.50199 -0.0220894
4.88419 -0.106452 0.69962 -0.972042 0.507862
3.76079 -3.80621 -0.365422 -1.33853 0.141371
4.19026 4.33326 0.0417383 -1.26316 0.216742
4.62785 3.59331 0.4566 -1.31027 0.169635
4.5609 1.37345 0.393122 -1.2561 0.223808
3.40977 2.85336 -0.698214 -1.55146 -0.0715515
4.42698 -3.06626 0.266166 -0.84768 0.632224
2.9803 -5.28612 -1.10537 -1.7983 -0.318391
3.8947 0.6335 -0.238467 -1.53261 -0.0527088
4.65558 -1.58636 0.482893 -1.2528 0.227106
4.03674 -3.80621 -0.10381 -1.1633 0.316609
4.51355 2.85336 0.348237 -0.936241 0.543664
4.46621 4.33326 0.303351 -1.00219 0.477714
4.37964 -1.58636 0.221281 -1.51377 -0.0338661
3.64649 -4.54617 -0.473786 -1.47891 0.000992978
3.13382 2.85336 -0.959827 -1.55522 -0.0753201
4.60824 -0.106452 0.438008 -1.14728 0.332625
4.15104 -3.06626 0.00455383 -1.02292 0.456987
4.83684 1.37345 0.654735 -0.952257 0.527647
4.49394 -0.846404 0.329644 -1.28766 0.192247
