 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
912,2333,264.007,81.271,16,27,145.528,55.713
913,2342,261.179,81.154,12,65,22.457,54.612
914,2343,263.179,81.216,24,81,52.001,55.798
915,2343,263.765,81.043,40,89,74.249,55.298
916,2352,262.007,81.216,24,19,127.999,55.389
917,2340,260.593,81.154,12,65,22.457,54.930
918,2340,260.350,81.271,26,83,55.528,54.714
919,2340,259.179,81.123,29,85,59.642,54.980
920,2339,261.421,81.302,28,16,121.931,54.856
921,2337,262.593,81.154,13,66,22.457,55.063
922,2339,260.007,81.216,19,76,37.999,54.671
923,2341,262.007,81.216,26,82,52.001,55.121
924,2339,258.350,81.123,15,71,30.358,54.298
925,2341,262.593,81.025,42,90,77.164,55.238
926,2351,262.593,81.216,18,25,142.001,55.568
927,2339,260.593,81.216,25,18,127.999,54.700
928,2334,258.936,81.216,17,74,37.999,54.555
929,2339,262.007,81.216,18,75,37.999,55.219
930,2337,259.765,81.056,19,23,141.009,54.730
931,2347,259.179,81.302,28,84,58.069,55.093
932,2339,259.179,81.216,18,25,142.001,54.330
933,2351,259.765,81.216,18,75,37.999,55.065
934,2348,262.007,81.216,17,74,37.999,55.389
935,2346,262.007,81.216,26,83,52.001,55.515
936,2344,262.593,81.216,25,18,127.999,55.704
937,2337,263.179,81.154,12,35,157.543,55.488
938,2349,261.765,81.216,17,74,37.999,55.054
939,2347,261.765,81.216,17,74,37.999,55.351
940,2344,258.350,81.216,18,75,37.999,54.842
941,2340,260.593,81.043,11,41,164.249,54.577
942,2350,260.593,81.049,43,10,99.230,54.549
943,2336,261.765,81.123,29,16,120.358,55.100
944,2337,261.765,81.154,13,67,22.457,55.171
945,2338,262.593,81.271,16,73,34.472,55.334
946,2341,260.593,81.216,17,26,142.001,54.970
947,2340,260.593,81.271,16,73,34.472,54.930
948,2338,260.593,81.216,25,18,127.999,55.235
949,2337,262.593,81.216,17,74,37.999,55.752
950,2342,260.593,81.216,18,75,37.999,55.235
951,2342,261.179,81.123,14,69,30.358,54.921
952,2344,262.350,81.043,38,89,74.249,54.617
953,2341,261.179,81.345,21,21,133.506,54.957
954,2340,261.179,81.025,18,26,144.545,54.826
955,2342,260.593,81.302,16,72,31.931,55.029
956,2347,261.765,81.154,12,64,22.457,54.739
957,2337,262.007,81.271,27,83,55.528,55.603
958,2343,262.593,81.154,36,88,67.543,55.082
959,2338,259.179,81.271,16,27,145.528,54.904
960,2347,261.179,81.216,19,24,142.001,55.081
961,2344,259.179,81.154,12,35,157.543,54.376
962,2339,259.179,81.154,13,66,22.457,54.299
963,2350,260.593,81.216,24,81,52.001,55.317
964,2338,260.593,81.056,18,75,38.991,54.690
965,2341,262.350,81.043,38,11,105.751,54.983
966,2336,259.179,81.123,16,29,149.642,54.507
967,2344,263.179,81.154,36,12,112.457,55.142
968,2337,257.765,81.123,14,68,30.358,54.163
969,2344,261.179,81.154,33,13,112.457,55.298
970,2350,262.593,81.271,17,74,34.472,55.541
971,2340,259.765,81.043,40,11,105.751,54.407
972,2338,261.421,81.216,24,19,127.999,55.298
973,2343,260.593,81.302,28,16,121.931,54.928
974,2340,261.765,81.345,21,22,136.494,55.126
975,2342,260.593,81.216,18,25,142.001,54.690
976,2341,259.179,81.043,37,89,74.249,54.389
977,2341,260.350,81.154,12,34,157.543,54.461
978,2345,261.179,81.154,13,34,157.543,54.823
979,2338,259.765,81.154,13,66,22.457,54.730
980,2340,261.179,81.302,28,84,58.069,55.226
981,2338,259.765,81.216,17,74,37.999,55.266
982,2339,260.350,81.154,13,34,157.543,54.196
983,2349,260.593,81.302,28,16,121.931,55.056
984,2340,258.350,81.154,32,87,67.543,53.861
985,2342,261.179,81.216,18,75,37.999,55.183
986,2342,261.765,81.271,27,16,124.472,55.334
987,2344,261.179,81.216,18,75,37.999,54.815
988,2341,260.350,81.216,24,81,52.001,54.848
989,2344,261.179,81.043,11,38,164.249,54.603
990,2340,261.179,81.345,20,78,43.506,54.928
991,2338,262.593,81.302,29,15,121.931,55.752
992,2343,261.179,81.216,18,75,37.999,54.856
993,2345,259.765,81.216,18,75,37.999,54.970
994,2335,260.593,81.043,11,41,164.249,54.576
995,2342,264.007,81.154,32,13,112.457,55.563
996,2338,261.179,81.049,43,10,99.230,54.996
997,2348,260.936,81.123,31,14,120.358,54.845
998,2340,259.765,81.123,15,29,149.642,54.634
999,2346,261.179,81.154,34,87,67.543,54.946
1000,2343,261.421,81.216,24,19,127.999,55.212
