 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
127,2986,240.108,73.600,40,11,126.714,67.717
128,2988,240.108,73.600,17,71,53.286,67.808
129,2984,239.037,73.878,13,63,39.508,67.376
130,2990,238.693,73.824,20,77,61.699,67.630
131,2983,240.108,73.600,12,40,143.286,67.452
132,2991,239.865,73.756,55,11,102.529,67.729
133,2985,240.451,73.682,19,75,18.189,67.709
134,2986,240.693,73.756,17,69,49.399,67.777
135,2981,239.522,73.573,12,59,31.097,67.323
136,2989,239.865,73.824,24,79,28.301,66.712
137,2982,239.279,73.783,12,58,32.829,67.323
138,2977,238.693,73.763,27,19,105.732,67.373
139,2979,239.279,73.600,13,62,36.714,67.668
140,2981,240.693,73.756,35,13,130.601,67.175
141,2987,239.037,73.756,36,13,130.601,67.624
142,2982,240.108,73.736,24,20,110.647,67.477
143,2986,239.865,73.824,12,57,28.301,67.366
144,2982,240.693,73.756,36,12,130.601,67.566
145,2984,240.451,73.661,36,12,131.698,67.695
146,2988,239.279,73.498,41,12,123.906,66.722
147,2986,240.693,73.763,18,72,15.732,67.175
148,2980,239.522,73.682,59,88,82.200,67.452
149,2980,239.279,73.824,11,46,151.699,67.352
150,2986,240.451,73.763,18,72,15.732,67.609
151,2988,241.522,73.756,17,31,130.601,67.556
152,2984,240.108,73.573,20,25,121.097,67.624
153,2979,240.693,73.878,29,17,140.492,67.573
154,2982,240.108,73.783,26,81,32.829,67.335
155,2983,240.936,73.600,13,62,36.714,67.690
156,2988,238.693,73.817,18,72,54.372,67.499
157,2981,239.865,73.824,23,79,28.301,67.340
158,2985,239.279,73.756,12,55,167.471,67.722
159,2985,241.279,73.756,31,17,139.399,67.655
160,2980,238.693,73.824,22,23,114.829,67.115
161,2988,240.693,73.878,16,30,129.508,67.669
162,2985,239.865,73.756,16,69,49.399,67.608
163,2984,240.108,73.736,10,50,159.353,67.631
164,2980,238.693,73.736,21,24,159.353,67.458
165,2992,240.693,73.817,17,28,125.628,67.746
166,2982,240.936,73.498,18,72,14.982,67.609
167,2971,239.037,73.817,29,17,144.372,67.030
168,2983,239.037,73.824,20,76,61.699,67.139
169,2982,240.693,73.756,16,68,49.399,67.609
170,2986,240.108,73.546,30,84,78.232,67.641
171,2987,239.037,73.878,13,64,39.508,67.608
172,2988,239.279,73.824,23,78,24.829,67.136
173,2988,240.108,73.824,11,45,151.699,67.267
174,2982,240.108,73.878,12,38,140.492,67.699
175,2984,240.350,73.783,42,13,122.829,67.593
176,2983,240.936,73.410,12,62,37.807,67.688
177,2989,241.522,73.817,39,13,125.628,67.770
178,2990,240.108,73.736,24,21,110.647,67.662
179,2981,240.108,73.783,19,74,57.171,67.305
180,2981,240.108,73.817,39,12,125.628,67.452
181,2988,240.451,73.756,16,69,49.399,67.555
182,2978,239.865,73.817,13,39,144.372,67.528
183,2986,239.279,73.553,14,32,172.972,67.094
184,2990,240.693,73.824,44,12,118.301,67.347
185,2986,240.693,73.926,48,11,113.097,67.808
186,2987,239.522,73.817,27,18,144.372,67.630
187,2985,238.693,73.824,22,78,24.829,67.452
188,2982,239.279,73.573,25,20,148.903,67.323
189,2975,240.936,73.410,12,38,142.193,67.722
190,2992,239.865,73.600,13,40,143.286,67.305
191,2989,240.693,73.736,11,50,20.647,67.578
192,2981,239.279,73.600,12,62,36.714,67.740
193,2987,239.279,73.573,19,26,121.097,66.719
194,2985,239.037,73.824,11,45,151.699,67.094
195,2984,239.865,73.824,22,22,155.171,67.663
196,2986,240.936,73.878,37,13,129.508,67.452
197,2982,239.037,73.817,39,12,125.628,67.186
198,2982,240.693,73.783,12,41,147.171,67.294
199,2976,237.865,73.926,25,80,30.033,66.652
200,2981,238.451,73.926,21,77,23.097,67.286
201,2980,239.279,73.824,44,11,118.301,66.736
202,2989,240.108,73.817,17,28,125.628,67.475
203,2987,238.108,73.573,19,25,121.097,67.000
204,2992,240.108,73.817,39,12,125.628,67.363
205,2987,241.522,73.878,16,70,50.492,67.524
206,2985,239.279,73.736,11,50,159.353,67.619
207,2984,240.693,73.824,46,11,118.301,67.366
208,2994,239.865,73.824,45,89,61.699,67.352
209,2979,239.279,73.682,12,41,7.800,67.452
210,2990,240.693,73.763,11,53,164.268,67.581
211,2987,239.279,73.824,21,24,118.301,66.722
212,2983,240.693,73.878,17,29,129.508,67.650
213,2990,240.108,73.736,11,50,159.353,67.578
214,2978,238.451,73.824,11,44,151.699,66.729
215,2984,239.865,73.736,23,79,69.353,67.631
216,2992,239.279,73.783,27,18,147.171,66.747
217,2980,239.279,73.763,28,82,74.268,67.558
218,2982,239.865,73.763,26,82,74.268,67.618
219,2983,240.108,73.736,11,48,159.353,67.644
220,2981,240.108,73.682,26,19,108.189,67.598
221,2987,240.451,73.878,30,84,39.508,67.555
222,2986,239.865,73.817,40,12,125.628,66.732
223,2990,239.037,73.817,18,73,54.372,67.094
224,2987,241.522,73.756,16,69,49.399,67.638
225,2983,240.451,73.756,12,36,139.399,67.667
226,2979,239.865,73.756,14,35,139.399,67.660
227,2981,239.279,73.783,42,12,122.829,67.305
228,2986,240.108,73.824,24,79,28.301,67.000
229,2984,240.451,73.756,36,87,49.399,67.634
230,2983,239.279,73.824,44,12,118.301,67.399
231,2980,238.451,73.926,43,89,59.967,66.719
232,2984,239.279,73.600,29,82,36.714,67.619
233,2983,239.522,73.783,41,12,122.829,67.294
234,2985,239.279,73.878,30,16,140.492,67.644
235,2986,241.279,73.878,31,15,140.492,67.567
236,2985,239.279,73.790,22,77,63.435,67.115
237,2987,240.108,73.546,17,72,11.768,67.421
238,2988,240.693,73.763,54,89,74.268,67.618
239,2979,239.279,73.926,20,76,59.967,67.000
