Angle	Area	AreaStd	ImageJ	ImageJStd	Crofton2	Crofton2Std	Crofton4	Crofton4Std
 43.500	9999.998	  3.058	401.851	  0.702	442.566	  0.926	382.361	  0.519
 44.000	9999.877	  5.408	400.503	  0.697	442.643	  0.687	381.071	  0.560
 44.500	10000.040	  7.551	399.123	  0.945	442.713	  1.002	379.786	  0.807
 45.000	10002.636	 48.583	398.700	  1.304	442.790	  1.369	378.495	  1.009
 45.500	9999.880	  7.569	399.387	  0.844	442.679	  0.988	379.753	  0.800
 46.000	9999.706	  5.617	400.777	  0.592	442.633	  0.693	381.071	  0.561
 46.500	10000.089	  3.110	402.121	  0.577	442.533	  0.981	382.345	  0.547
 47.000	10000.012	  0.880	403.450	  0.822	442.432	  1.040	383.606	  0.779
 47.500	10000.109	  1.764	404.784	  0.942	442.344	  1.280	384.870	  0.893
 48.000	10000.063	  4.184	406.002	  0.727	442.126	  0.809	386.025	  0.689
 48.500	10000.054	  1.779	407.189	  0.594	441.846	  0.803	387.150	  0.564
 49.000	9999.986	  0.732	408.414	  0.742	441.629	  1.284	388.312	  0.703
 49.500	10000.076	  0.856	409.583	  0.311	441.358	  0.236	389.420	  0.294
 50.000	9999.970	  0.661	410.704	  0.716	441.021	  1.224	390.483	  0.679
 50.500	9999.968	  0.929	411.825	  0.671	440.688	  0.860	391.546	  0.636
 51.000	10000.007	  1.193	412.901	  0.686	440.324	  0.732	392.565	  0.651
 51.500	9999.974	  1.534	413.906	  1.007	439.867	  1.262	393.518	  0.955
 52.000	10000.041	  1.489	414.938	  0.952	439.449	  1.263	394.496	  0.903
 52.500	10000.068	  1.108	415.902	  0.693	438.923	  0.836	395.410	  0.657
 53.000	9999.997	  0.330	416.861	  0.413	438.420	  0.723	396.320	  0.391
 53.500	10000.027	  0.784	417.809	  0.927	437.944	  1.163	397.218	  0.879
 54.000	9999.934	  1.253	418.636	  0.913	437.300	  1.019	398.003	  0.866
 54.500	10000.072	  2.897	419.444	  0.939	436.625	  1.092	398.768	  0.891
 55.000	9999.893	  4.873	420.351	  0.660	436.061	  0.896	399.628	  0.626
 55.500	10000.132	  2.730	421.150	  0.798	435.398	  1.063	400.386	  0.756
 56.000	10000.038	  1.187	421.912	  0.677	434.702	  0.754	401.109	  0.641
 56.500	9999.992	  2.800	422.580	  1.104	433.874	  1.353	401.742	  1.047
 57.000	10000.045	  1.325	423.335	  0.836	433.196	  1.110	402.458	  0.793
 57.500	10000.053	  1.515	424.008	  0.813	432.371	  0.903	403.095	  0.771
 58.000	9999.861	  6.776	424.575	  0.679	431.455	  0.878	403.633	  0.644
 58.500	10000.007	  0.848	425.183	  0.939	430.606	  1.101	404.210	  0.890
 59.000	9999.973	  2.908	425.734	  0.791	429.660	  1.393	404.732	  0.750
 59.500	9999.993	  0.984	426.291	  0.554	428.783	  0.515	405.260	  0.525
 60.000	9999.965	  1.002	426.793	  0.716	427.805	  0.947	405.736	  0.679
 60.500	10000.002	  1.050	427.246	  0.570	426.759	  0.738	406.165	  0.540
 61.000	9999.983	  1.198	427.646	  1.016	425.700	  1.222	406.544	  0.963
 61.500	9999.974	  1.918	428.049	  0.734	424.648	  0.844	406.927	  0.696
 62.000	10000.007	  1.687	428.444	  0.551	423.561	  0.881	407.301	  0.522
 62.500	10000.092	  2.421	428.788	  0.803	422.434	  1.225	407.627	  0.761
 63.000	9999.976	  4.092	429.098	  0.728	421.270	  0.726	407.921	  0.691
 63.500	10000.821	 24.697	429.404	  0.917	420.105	  1.013	408.211	  0.870
 64.000	10000.077	  2.626	429.643	  0.705	418.883	  0.863	408.438	  0.668
 64.500	9999.955	  1.385	429.780	  0.886	417.569	  1.044	408.568	  0.840
 65.000	10000.169	  2.080	430.020	  1.152	416.330	  1.430	408.796	  1.092
 65.500	9999.981	  1.125	430.158	  0.943	415.014	  0.996	408.926	  0.894
 66.000	10000.042	  1.395	430.253	  0.868	413.621	  0.896	409.016	  0.823
 66.500	10000.004	  0.488	430.290	  0.635	412.194	  0.886	409.051	  0.602
 67.000	10000.028	  1.231	430.347	  0.540	410.785	  0.795	409.105	  0.512
 67.500	9999.982	  1.003	430.374	  1.160	409.343	  1.189	409.131	  1.099
 68.000	10000.008	  1.239	430.375	  0.859	407.925	  1.105	409.132	  0.814
