Angle	Area	AreaStd	ImageJ	ImageJStd	Crofton2	Crofton2Std	Crofton4	Crofton4Std
106.000	10000.008	  0.588	427.179	  0.733	387.786	  0.753	406.499	  0.568
106.500	9999.971	  0.548	427.518	  0.699	389.526	  0.891	406.826	  0.563
107.000	10000.032	  1.093	427.922	  1.362	391.378	  1.346	407.214	  1.187
107.500	10000.015	  0.929	428.301	  1.244	393.199	  1.036	407.556	  1.029
108.000	9999.902	  1.720	428.594	  0.648	394.952	  0.782	407.835	  0.498
108.500	9999.961	 10.948	428.837	  0.756	396.596	  0.866	408.084	  0.625
109.000	9999.921	  1.335	429.111	  1.090	398.340	  0.948	408.321	  0.965
109.500	10000.020	  0.947	429.373	  1.238	400.049	  0.938	408.563	  1.028
110.000	9999.962	  4.484	429.558	  0.578	401.651	  0.774	408.734	  0.422
110.500	9999.965	  1.609	429.697	  1.037	403.244	  1.151	408.861	  0.819
111.000	9999.988	  1.000	429.838	  0.541	404.855	  0.690	408.988	  0.385
111.500	9999.990	  1.629	429.915	  0.820	406.378	  0.781	409.058	  0.649
112.000	9999.994	  1.226	430.007	  1.009	407.928	  1.135	409.132	  0.849
112.500	10000.026	  1.048	429.976	  1.331	409.359	  1.175	409.117	  1.106
113.000	10000.032	  1.189	429.988	  0.681	410.804	  0.810	409.126	  0.540
113.500	10000.012	  0.484	429.963	  0.782	412.254	  0.937	409.092	  0.616
114.000	9999.992	  1.369	429.894	  0.983	413.627	  0.898	409.012	  0.828
114.500	10000.012	  1.147	429.798	  1.098	414.968	  1.079	408.919	  0.940
115.000	9999.973	  2.149	429.614	  1.291	416.267	  1.428	408.759	  1.080
115.500	9999.943	  1.425	429.429	  0.984	417.569	  1.022	408.582	  0.819
116.000	9999.948	  2.604	429.234	  0.804	418.828	  0.835	408.391	  0.662
116.500	10000.795	 23.892	429.025	  1.002	420.102	  1.012	408.192	  0.854
117.000	9999.806	  4.266	428.776	  0.843	421.327	  0.734	407.956	  0.708
117.500	10000.206	  2.327	428.448	  1.017	422.455	  1.243	407.633	  0.766
118.000	9999.973	  1.765	428.139	  0.674	423.623	  0.874	407.332	  0.515
118.500	10000.024	  1.868	427.688	  0.878	424.624	  0.839	406.917	  0.693
119.000	9999.994	  1.229	427.298	  1.126	425.717	  1.199	406.552	  0.942
119.500	10000.024	  1.030	426.954	  0.643	426.831	  0.706	406.203	  0.539
120.000	9999.955	  1.044	426.427	  0.891	427.778	  0.991	405.706	  0.710
120.500	9999.986	  1.011	425.917	  0.744	428.741	  0.535	405.225	  0.573
121.000	9999.933	  2.934	425.397	  0.949	429.660	  1.346	404.719	  0.734
121.500	9999.969	  0.868	424.848	  1.112	430.599	  1.120	404.198	  0.913
122.000	9999.704	  6.746	424.287	  0.795	431.523	  0.894	403.658	  0.632
122.500	9999.972	  1.506	423.647	  0.909	432.341	  0.901	403.062	  0.761
123.000	10000.087	  1.335	423.015	  0.939	433.175	  1.114	402.451	  0.791
123.500	9999.946	  2.836	422.277	  1.258	433.884	  1.349	401.749	  1.044
124.000	9999.955	  1.221	421.588	  0.789	434.699	  0.739	401.098	  0.630
124.500	10000.112	  2.802	420.822	  0.936	435.389	  1.044	400.367	  0.773
125.000	10000.120	  4.745	420.037	  0.758	436.055	  0.894	399.630	  0.636
125.500	10000.024	  2.860	419.239	  1.000	436.746	  1.067	398.883	  0.859
126.000	9999.981	  1.214	418.380	  0.984	437.354	  0.954	398.063	  0.842
126.500	9999.972	  0.816	417.400	  1.083	437.819	  1.157	397.134	  0.862
127.000	9999.990	  0.319	416.572	  0.580	438.450	  0.751	396.328	  0.400
127.500	10000.007	  1.074	415.618	  0.785	438.968	  0.826	395.431	  0.647
128.000	10000.015	  1.559	414.688	  1.083	439.528	  1.268	394.537	  0.918
128.500	10000.004	  1.567	413.594	  1.158	439.834	  1.299	393.506	  0.979
129.000	9999.951	  1.233	412.592	  0.812	440.299	  0.722	392.544	  0.646
129.500	9999.961	  0.933	411.524	  0.791	440.677	  0.852	391.537	  0.627
130.000	10000.034	  0.638	410.435	  0.942	441.070	  1.243	390.508	  0.678
