Radius	Area	AreaStd	ImageJ	ImageJStd	Crofton2	Crofton2Std	Crofton4	Crofton4Std
 64.200	12948.569	  4.820	423.722	  0.697	403.399	  1.116	403.379	  0.661
 64.250	12968.795	  5.552	424.067	  0.692	403.685	  1.102	403.707	  0.656
 64.300	12988.921	  6.223	424.366	  0.639	404.004	  1.089	403.991	  0.606
 64.350	13009.172	  6.514	424.722	  0.542	404.339	  1.030	404.328	  0.514
 64.400	13029.527	  6.235	425.070	  0.544	404.667	  0.903	404.658	  0.516
 64.450	13049.305	  5.681	425.358	  0.506	404.936	  0.670	404.931	  0.480
 64.500	13069.748	  4.998	425.677	  0.394	405.265	  0.000	405.233	  0.374
 64.550	13090.434	  4.729	426.039	  0.503	405.550	  0.617	405.576	  0.477
 64.600	13110.279	  4.923	426.371	  0.588	405.889	  0.863	405.892	  0.558
 64.650	13130.400	  4.467	426.683	  0.604	406.191	  1.006	406.187	  0.572
 64.700	13150.837	  4.563	427.029	  0.579	406.514	  1.092	406.515	  0.549
 64.750	13171.235	  5.046	427.350	  0.651	406.806	  1.099	406.819	  0.617
 64.800	13191.688	  5.952	427.669	  0.704	407.147	  1.128	407.122	  0.667
 64.850	13212.227	  6.121	428.062	  0.653	407.521	  1.009	407.494	  0.619
 64.900	13232.385	  6.355	428.364	  0.606	407.779	  0.883	407.780	  0.575
 64.950	13252.959	  6.645	428.687	  0.544	408.098	  0.678	408.087	  0.516
 65.000	13273.173	  5.948	429.028	  0.295	408.405	  0.050	408.410	  0.280
 65.050	13293.758	  4.845	429.360	  0.389	408.743	  0.707	408.725	  0.369
 65.100	13314.183	  3.307	429.684	  0.542	409.029	  0.885	409.032	  0.514
 65.150	13334.520	  3.591	429.991	  0.665	409.310	  1.021	409.323	  0.631
 65.200	13354.881	  4.616	430.355	  0.746	409.687	  1.114	409.668	  0.707
 65.250	13375.963	  5.812	430.704	  0.739	409.998	  1.121	409.999	  0.701
 65.300	13396.177	  6.190	431.001	  0.685	410.330	  1.061	410.281	  0.650
 65.350	13416.634	  6.587	431.360	  0.619	410.653	  0.998	410.621	  0.587
 65.400	13437.148	  6.482	431.686	  0.474	410.949	  0.861	410.930	  0.449
 65.450	13457.672	  6.147	432.003	  0.440	411.233	  0.657	411.230	  0.417
 65.500	13478.289	  5.018	432.333	  0.367	411.542	  0.099	411.543	  0.348
 65.550	13499.188	  4.049	432.696	  0.553	411.879	  0.663	411.887	  0.524
 65.600	13519.230	  4.193	432.967	  0.601	412.171	  0.929	412.145	  0.570
 65.650	13540.093	  4.787	433.322	  0.662	412.439	  0.981	412.481	  0.628
 65.700	13560.491	  5.557	433.656	  0.671	412.834	  1.106	412.798	  0.636
 65.750	13581.320	  5.653	433.972	  0.617	413.088	  1.120	413.098	  0.585
 65.800	13602.094	  5.401	434.329	  0.633	413.443	  1.063	413.436	  0.600
 65.850	13622.870	  6.138	434.671	  0.655	413.762	  1.011	413.760	  0.621
 65.900	13643.374	  6.486	434.992	  0.625	414.085	  0.873	414.064	  0.592
 65.950	13663.760	  6.465	435.305	  0.549	414.371	  0.681	414.361	  0.520
 66.000	13684.419	  5.446	435.639	  0.392	414.687	  0.070	414.677	  0.372
 66.050	13705.664	  4.922	436.003	  0.474	415.031	  0.674	415.023	  0.450
 66.100	13726.405	  4.506	436.342	  0.514	415.377	  0.935	415.344	  0.487
 66.150	13747.327	  3.989	436.667	  0.606	415.685	  1.043	415.653	  0.575
 66.200	13767.883	  4.309	436.958	  0.681	415.923	  1.105	415.928	  0.645
 66.250	13788.536	  5.149	437.292	  0.729	416.239	  1.124	416.245	  0.691
 66.300	13809.525	  6.150	437.651	  0.731	416.580	  1.095	416.586	  0.693
 66.350	13830.234	  6.935	437.958	  0.670	416.881	  1.010	416.876	  0.635
 66.400	13851.275	  7.021	438.302	  0.571	417.204	  0.883	417.203	  0.541
 66.450	13872.474	  5.872	438.645	  0.384	417.524	  0.651	417.528	  0.364
 66.500	13893.099	  4.677	438.945	  0.219	417.830	  0.050	417.812	  0.207
 66.550	13913.936	  4.202	439.291	  0.489	418.141	  0.660	418.140	  0.463
 66.600	13934.635	  3.777	439.594	  0.579	418.440	  0.863	418.427	  0.549
 66.650	13955.830	  4.408	439.964	  0.692	418.790	  1.028	418.778	  0.656
 66.700	13976.814	  5.191	440.339	  0.704	419.142	  1.105	419.134	  0.667
 66.750	13997.514	  5.756	440.607	  0.656	419.398	  1.083	419.388	  0.622
 66.800	14018.239	  6.400	440.908	  0.609	419.635	  1.096	419.673	  0.578
 66.850	14039.638	  6.292	441.302	  0.564	420.105	  0.995	420.047	  0.535
 66.900	14060.740	  5.947	441.632	  0.570	420.370	  0.867	420.360	  0.540
 66.950	14081.535	  5.935	441.954	  0.534	420.684	  0.637	420.665	  0.506
 67.000	14102.292	  6.158	442.247	  0.413	420.970	  0.070	420.942	  0.391
 67.050	14123.660	  5.156	442.596	  0.501	421.267	  0.656	421.273	  0.475
 67.100	14144.674	  4.530	442.933	  0.584	421.599	  0.869	421.592	  0.554
 67.150	14166.052	  4.586	443.258	  0.566	421.903	  1.008	421.901	  0.537
 67.200	14186.818	  4.766	443.608	  0.609	422.254	  1.103	422.233	  0.577
 67.250	14207.771	  5.130	443.888	  0.642	422.485	  1.103	422.498	  0.609
 67.300	14228.948	  6.016	444.242	  0.689	422.841	  1.079	422.833	  0.653
 67.350	14250.497	  6.332	444.589	  0.680	423.155	  1.011	423.163	  0.645
 67.400	14271.725	  6.956	444.929	  0.618	423.493	  0.891	423.485	  0.586
 67.450	14293.080	  6.847	445.280	  0.463	423.820	  0.657	423.818	  0.439
 67.500	14313.755	  5.742	445.589	  0.228	424.113	  0.050	424.111	  0.217
 67.550	14335.264	  3.932	445.927	  0.411	424.450	  0.688	424.431	  0.390
 67.600	14356.455	  3.299	446.242	  0.586	424.731	  0.884	424.730	  0.556
 67.650	14377.285	  4.075	446.557	  0.641	425.039	  1.021	425.029	  0.607
 67.700	14398.923	  5.194	446.928	  0.698	425.392	  1.107	425.380	  0.662
 67.750	14420.053	  5.861	447.246	  0.695	425.669	  1.108	425.682	  0.659
 67.800	14441.060	  6.503	447.553	  0.670	425.956	  1.096	425.973	  0.636
 67.850	14462.950	  6.505	447.911	  0.580	426.346	  1.001	426.312	  0.550
 67.900	14484.293	  6.377	448.230	  0.497	426.635	  0.874	426.615	  0.471
 67.950	14505.482	  6.346	448.573	  0.473	426.955	  0.654	426.940	  0.448
 68.000	14526.519	  5.107	448.919	  0.409	427.252	  0.086	427.268	  0.388
 68.050	14548.143	  4.246	449.220	  0.542	427.555	  0.648	427.553	  0.513
 68.100	14569.442	  4.386	449.556	  0.600	427.849	  0.856	427.872	  0.568
 68.150	14591.020	  5.040	449.890	  0.648	428.191	  1.029	428.188	  0.614
 68.200	14612.122	  5.139	450.229	  0.616	428.487	  1.093	428.510	  0.584
 68.250	14633.314	  4.906	450.534	  0.602	428.769	  1.095	428.799	  0.570
 68.300	14654.852	  5.632	450.855	  0.650	429.058	  1.079	429.103	  0.616
 68.350	14676.801	  6.419	451.250	  0.653	429.492	  1.011	429.478	  0.619
 68.400	14697.781	  6.997	451.521	  0.653	429.745	  0.918	429.735	  0.619
 68.450	14719.172	  6.735	451.853	  0.561	430.054	  0.690	430.049	  0.532
 68.500	14741.000	  5.910	452.199	  0.369	430.395	  0.070	430.377	  0.349
 68.550	14762.700	  4.960	452.529	  0.441	430.684	  0.630	430.690	  0.418
 68.600	14784.519	  4.625	452.880	  0.492	431.034	  0.882	431.024	  0.466
 68.650	14805.773	  3.406	453.215	  0.623	431.345	  1.020	431.341	  0.591
 68.700	14827.317	  4.249	453.561	  0.701	431.667	  1.101	431.669	  0.665
 68.750	14848.549	  5.260	453.842	  0.697	431.903	  1.118	431.935	  0.661
 68.800	14870.877	  6.880	454.225	  0.723	432.300	  1.092	432.299	  0.685
 68.850	14892.631	  7.311	454.560	  0.655	432.583	  1.038	432.616	  0.621
 68.900	14913.577	  6.886	454.840	  0.559	432.894	  0.889	432.882	  0.530
 68.950	14935.598	  5.956	455.211	  0.359	433.249	  0.649	433.233	  0.340
 69.000	14957.087	  5.290	455.520	  0.300	433.530	  0.121	433.526	  0.285
 69.050	14978.955	  4.449	455.874	  0.521	433.874	  0.688	433.861	  0.494
 69.100	15000.581	  3.925	456.190	  0.638	434.160	  0.871	434.162	  0.605
 69.150	15022.177	  4.257	456.536	  0.689	434.501	  1.015	434.490	  0.653
 69.200	15044.134	  5.560	456.867	  0.682	434.811	  1.083	434.803	  0.647
 69.250	15065.873	  6.320	457.218	  0.629	435.137	  1.085	435.136	  0.597
 69.300	15087.418	  6.154	457.512	  0.570	435.409	  1.063	435.415	  0.540
 69.350	15109.351	  6.039	457.874	  0.615	435.781	  1.034	435.757	  0.583
 69.400	15130.856	  6.321	458.187	  0.605	436.023	  0.905	436.055	  0.573
 69.450	15152.842	  6.556	458.521	  0.556	436.361	  0.693	436.372	  0.527
 69.500	15174.555	  5.624	458.809	  0.405	436.677	  0.086	436.644	  0.384
 69.550	15196.229	  4.871	459.156	  0.525	437.010	  0.669	436.973	  0.498
 69.600	15218.386	  4.650	459.506	  0.568	437.325	  0.900	437.305	  0.538
 69.650	15240.542	  4.339	459.856	  0.550	437.658	  1.039	437.637	  0.522
 69.700	15262.190	  4.979	460.144	  0.638	437.916	  1.089	437.910	  0.604
 69.750	15283.798	  5.076	460.463	  0.702	438.197	  1.104	438.212	  0.665
 69.800	15305.933	  5.875	460.824	  0.721	438.555	  1.104	438.554	  0.683
 69.850	15327.878	  6.598	461.158	  0.670	438.866	  1.016	438.871	  0.635
 69.900	15349.919	  6.996	461.491	  0.609	439.171	  0.904	439.187	  0.577
 69.950	15371.608	  7.183	461.807	  0.477	439.477	  0.688	439.486	  0.453
