Radius	Area	AreaStd	ImageJ	ImageJStd	Crofton2	Crofton2Std	Crofton4	Crofton4Std
 52.100	8527.620	  3.388	343.527	  0.608	327.345	  0.885	327.350	  0.576
 52.150	8543.830	  3.688	343.873	  0.681	327.693	  1.043	327.678	  0.646
 52.200	8560.505	  4.632	344.201	  0.693	327.989	  1.063	327.989	  0.657
 52.250	8576.887	  5.479	344.515	  0.708	328.279	  1.112	328.286	  0.671
 52.300	8593.109	  5.666	344.832	  0.627	328.578	  1.103	328.588	  0.595
 52.350	8609.643	  5.621	345.187	  0.595	328.915	  1.057	328.924	  0.564
 52.400	8625.849	  5.637	345.525	  0.580	329.228	  0.902	329.244	  0.549
 52.450	8642.588	  5.219	345.836	  0.546	329.556	  0.649	329.540	  0.518
 52.500	8658.917	  5.248	346.178	  0.418	329.859	  0.111	329.863	  0.397
 52.550	8675.360	  4.140	346.516	  0.545	330.210	  0.682	330.184	  0.517
 52.600	8691.940	  4.168	346.849	  0.578	330.546	  0.902	330.500	  0.548
 52.650	8708.543	  4.287	347.161	  0.586	330.799	  1.020	330.795	  0.556
 52.700	8724.983	  4.019	347.488	  0.598	331.086	  1.082	331.105	  0.567
 52.750	8741.578	  4.643	347.820	  0.659	331.424	  1.094	331.420	  0.625
 52.800	8758.343	  5.164	348.179	  0.704	331.777	  1.093	331.761	  0.667
 52.850	8774.894	  5.572	348.513	  0.667	332.080	  1.008	332.077	  0.632
 52.900	8791.578	  6.107	348.825	  0.620	332.406	  0.890	332.373	  0.588
 52.950	8807.961	  6.276	349.143	  0.509	332.681	  0.673	332.675	  0.483
 53.000	8824.697	  5.011	349.478	  0.261	333.006	  0.070	332.992	  0.248
 53.050	8841.378	  3.525	349.821	  0.400	333.348	  0.698	333.317	  0.379
 53.100	8858.070	  3.312	350.169	  0.545	333.676	  0.876	333.647	  0.517
 53.150	8874.678	  3.488	350.472	  0.638	333.951	  0.999	333.935	  0.605
 53.200	8891.542	  4.482	350.808	  0.686	334.265	  1.064	334.253	  0.650
 53.250	8908.129	  5.090	351.173	  0.716	334.597	  1.136	334.599	  0.679
 53.300	8924.793	  5.530	351.459	  0.665	334.848	  1.098	334.870	  0.630
 53.350	8941.749	  6.083	351.817	  0.592	335.214	  0.997	335.209	  0.562
 53.400	8958.506	  5.954	352.130	  0.483	335.508	  0.880	335.507	  0.458
 53.450	8975.225	  5.315	352.483	  0.475	335.850	  0.657	335.841	  0.450
 53.500	8992.267	  4.289	352.784	  0.376	336.146	  0.086	336.126	  0.356
