Angle	Area	AreaStd	AreaMin	AreaMax	ImageJ	ImageJStd	ImageJMin	ImageJMax	Crofton2	Crofton2Std	Crofton2Min	Crofton2Max	Crofton4	Crofton4Std	Crofton4Min	Crofton4Max
 31.500	 -0.000	  0.009	 -0.030	  0.020	  6.222	  0.273	  5.746	  6.953	  7.662	  0.273	  7.207	  8.385	  1.060	  0.222	  0.670	  1.676
 32.000	 -0.000	  0.068	 -0.100	  0.140	  6.056	  0.208	  5.660	  6.368	  7.861	  0.231	  7.600	  8.385	  0.904	  0.166	  0.589	  1.120
 32.500	 -0.000	  0.015	 -0.050	  0.040	  5.923	  0.217	  5.221	  6.368	  8.090	  0.213	  7.600	  8.385	  0.772	  0.182	  0.172	  1.120
 33.000	  0.001	  0.013	 -0.030	  0.040	  5.740	  0.235	  5.221	  6.282	  8.288	  0.280	  7.600	  8.778	  0.602	  0.196	  0.172	  1.039
 33.500	  0.000	  0.027	 -0.060	  0.050	  5.568	  0.311	  5.135	  6.196	  8.474	  0.332	  7.992	  9.170	  0.440	  0.256	  0.091	  0.958
 34.000	 -0.000	  0.012	 -0.030	  0.040	  5.393	  0.199	  5.050	  5.696	  8.668	  0.186	  8.385	  9.170	  0.272	  0.160	  0.010	  0.484
 34.500	 -0.002	  0.029	 -0.080	  0.050	  5.192	  0.243	  4.757	  5.610	  8.834	  0.273	  8.385	  9.170	  0.084	  0.198	 -0.268	  0.402
 35.000	 -0.001	  0.048	 -0.120	  0.070	  5.002	  0.197	  4.464	  5.317	  9.002	  0.233	  8.385	  9.170	 -0.101	  0.162	 -0.546	  0.125
 35.500	  0.001	  0.028	 -0.070	  0.060	  4.807	  0.256	  4.378	  5.439	  9.183	  0.278	  8.778	  9.956	 -0.285	  0.221	 -0.627	  0.240
 36.000	  0.000	  0.012	 -0.030	  0.030	  4.596	  0.246	  3.878	  4.939	  9.334	  0.248	  8.385	  9.563	 -0.487	  0.212	 -1.101	 -0.234
 36.500	 -0.000	  0.008	 -0.010	  0.030	  4.366	  0.277	  3.999	  4.853	  9.471	  0.296	  9.170	  9.956	 -0.704	  0.221	 -0.986	 -0.316
 37.000	 -0.000	  0.003	 -0.010	  0.020	  4.142	  0.141	  3.706	  4.413	  9.615	  0.185	  9.170	  9.956	 -0.917	  0.095	 -1.264	 -0.593
 37.500	  0.000	  0.011	 -0.020	  0.040	  3.911	  0.196	  3.621	  4.267	  9.746	  0.204	  9.170	  9.956	 -1.135	  0.166	 -1.345	 -0.871
 38.000	 -0.001	  0.016	 -0.050	  0.030	  3.676	  0.276	  3.121	  4.181	  9.871	  0.322	  9.170	 10.348	 -1.362	  0.233	 -1.819	 -0.952
 38.500	 -0.000	  0.016	 -0.040	  0.050	  3.397	  0.285	  3.035	  4.095	  9.962	  0.315	  9.563	 10.741	 -1.624	  0.239	 -1.900	 -1.034
 39.000	  0.001	  0.013	 -0.030	  0.040	  3.151	  0.198	  2.949	  3.595	 10.079	  0.183	  9.956	 10.348	 -1.859	  0.160	 -1.982	 -1.508
 39.500	  0.000	  0.009	 -0.020	  0.020	  2.883	  0.189	  2.656	  3.510	 10.175	  0.207	  9.956	 10.741	 -2.113	  0.150	 -2.259	 -1.589
 40.000	  0.000	  0.007	 -0.020	  0.010	  2.619	  0.237	  2.217	  2.924	 10.273	  0.310	  9.956	 10.741	 -2.367	  0.173	 -2.676	 -2.144
 40.500	  0.000	  0.009	 -0.030	  0.010	  2.320	  0.113	  1.777	  2.424	 10.340	  0.063	  9.956	 10.741	 -2.645	  0.074	 -3.092	 -2.618
 41.000	  0.000	  0.007	 -0.020	  0.010	  2.039	  0.239	  1.631	  2.338	 10.417	  0.318	  9.956	 10.741	 -2.916	  0.177	 -3.231	 -2.700
 41.500	  0.000	  0.018	 -0.040	  0.050	  1.728	  0.186	  1.192	  2.045	 10.473	  0.209	  9.956	 10.741	 -3.207	  0.146	 -3.648	 -2.977
 42.000	  0.000	  0.040	 -0.070	  0.120	  1.426	  0.205	  1.106	  1.752	 10.526	  0.205	  9.956	 10.741	 -3.496	  0.173	 -3.729	 -3.255
 42.500	 -0.000	  0.019	 -0.060	  0.040	  1.127	  0.268	  0.606	  1.667	 10.590	  0.324	  9.956	 11.134	 -3.780	  0.226	 -4.203	 -3.336
 43.000	  0.001	  0.009	 -0.030	  0.020	  0.771	  0.233	  0.520	  1.581	 10.594	  0.268	 10.348	 11.527	 -4.112	  0.198	 -4.284	 -3.418
 43.500	 -0.000	  0.031	 -0.080	  0.070	  0.463	  0.176	  0.020	  0.934	 10.641	  0.232	  9.956	 11.134	 -4.410	  0.130	 -4.759	 -4.031
 44.000	 -0.001	  0.054	 -0.120	  0.130	  0.126	  0.174	 -0.566	  0.288	 10.661	  0.172	  9.956	 10.741	 -4.732	  0.140	 -5.314	 -4.643
 44.500	  0.000	  0.076	 -0.120	  0.170	 -0.219	  0.236	 -0.651	  0.409	 10.678	  0.250	 10.348	 11.527	 -5.053	  0.202	 -5.395	 -4.528
 45.000	  0.026	  0.486	 -0.600	  0.820	 -0.325	  0.326	 -1.005	  0.202	 10.698	  0.342	  9.956	 11.134	 -5.376	  0.252	 -5.869	 -5.002
 45.500	 -0.001	  0.076	 -0.120	  0.180	 -0.153	  0.211	 -0.505	  0.409	 10.670	  0.247	 10.348	 11.527	 -5.062	  0.200	 -5.395	 -4.528
 46.000	 -0.003	  0.056	 -0.120	  0.140	  0.194	  0.148	 -0.419	  0.288	 10.658	  0.173	  9.956	 10.741	 -4.732	  0.140	 -5.314	 -4.643
 46.500	  0.001	  0.031	 -0.080	  0.060	  0.530	  0.144	  0.167	  1.081	 10.633	  0.245	  9.956	 11.134	 -4.414	  0.137	 -4.759	 -3.892
 47.000	  0.000	  0.009	 -0.030	  0.020	  0.863	  0.205	  0.667	  1.581	 10.608	  0.260	 10.348	 11.527	 -4.099	  0.195	 -4.284	 -3.418
 47.500	  0.001	  0.018	 -0.060	  0.040	  1.196	  0.235	  0.752	  1.667	 10.586	  0.320	  9.956	 11.134	 -3.782	  0.223	 -4.203	 -3.336
 48.000	  0.001	  0.042	 -0.070	  0.120	  1.501	  0.182	  1.252	  1.752	 10.531	  0.202	  9.956	 10.741	 -3.494	  0.172	 -3.729	 -3.255
 48.500	  0.001	  0.018	 -0.040	  0.050	  1.797	  0.149	  1.338	  2.045	 10.462	  0.201	  9.956	 10.741	 -3.213	  0.141	 -3.648	 -2.977
 49.000	 -0.000	  0.007	 -0.020	  0.010	  2.104	  0.185	  1.777	  2.338	 10.407	  0.321	  9.956	 10.741	 -2.922	  0.176	 -3.231	 -2.700
 49.500	  0.001	  0.009	 -0.030	  0.010	  2.396	  0.078	  1.924	  2.424	 10.339	  0.059	  9.956	 10.348	 -2.645	  0.074	 -3.092	 -2.618
 50.000	 -0.000	  0.007	 -0.030	  0.010	  2.676	  0.179	  2.363	  2.924	 10.255	  0.306	  9.956	 10.741	 -2.379	  0.170	 -2.676	 -2.144
 50.500	 -0.000	  0.009	 -0.020	  0.030	  2.956	  0.168	  2.803	  3.510	 10.172	  0.215	  9.956	 10.741	 -2.114	  0.159	 -2.259	 -1.589
 51.000	  0.000	  0.012	 -0.030	  0.030	  3.225	  0.172	  3.095	  3.595	 10.081	  0.183	  9.956	 10.348	 -1.859	  0.163	 -1.982	 -1.508
 51.500	 -0.000	  0.015	 -0.040	  0.050	  3.476	  0.252	  3.181	  4.095	  9.967	  0.316	  9.563	 10.741	 -1.620	  0.239	 -1.900	 -1.034
 52.000	  0.000	  0.015	 -0.050	  0.030	  3.734	  0.238	  3.267	  4.181	  9.862	  0.316	  9.170	 10.348	 -1.376	  0.226	 -1.819	 -0.952
 52.500	  0.001	  0.011	 -0.020	  0.040	  3.975	  0.173	  3.767	  4.267	  9.731	  0.209	  9.170	  9.956	 -1.147	  0.164	 -1.345	 -0.871
 53.000	 -0.000	  0.003	 -0.010	  0.010	  4.215	  0.103	  3.853	  4.353	  9.605	  0.181	  9.170	  9.956	 -0.920	  0.098	 -1.264	 -0.790
 53.500	  0.000	  0.008	 -0.010	  0.030	  4.452	  0.232	  4.146	  4.853	  9.486	  0.291	  9.170	  9.956	 -0.695	  0.220	 -0.986	 -0.316
 54.000	 -0.001	  0.013	 -0.030	  0.030	  4.659	  0.228	  4.024	  4.939	  9.325	  0.255	  8.385	  9.563	 -0.499	  0.216	 -1.101	 -0.234
 54.500	  0.001	  0.029	 -0.070	  0.060	  4.861	  0.235	  4.524	  5.439	  9.156	  0.273	  8.778	  9.956	 -0.308	  0.223	 -0.627	  0.240
 55.000	 -0.001	  0.049	 -0.120	  0.070	  5.088	  0.165	  4.610	  5.317	  9.015	  0.224	  8.385	  9.170	 -0.093	  0.156	 -0.546	  0.125
 55.500	  0.001	  0.027	 -0.070	  0.050	  5.287	  0.199	  4.903	  5.610	  8.850	  0.266	  8.385	  9.170	  0.096	  0.189	 -0.268	  0.402
 56.000	  0.000	  0.012	 -0.030	  0.040	  5.478	  0.169	  5.196	  5.696	  8.676	  0.189	  8.385	  9.170	  0.277	  0.160	  0.010	  0.484
 56.500	 -0.000	  0.028	 -0.060	  0.050	  5.645	  0.276	  5.282	  6.196	  8.469	  0.338	  7.992	  9.170	  0.435	  0.262	  0.091	  0.958
 57.000	  0.000	  0.013	 -0.040	  0.040	  5.834	  0.209	  5.368	  6.282	  8.299	  0.278	  7.600	  8.778	  0.614	  0.198	  0.172	  1.039
 57.500	  0.001	  0.015	 -0.040	  0.040	  6.002	  0.203	  5.368	  6.368	  8.093	  0.226	  7.600	  8.385	  0.774	  0.193	  0.172	  1.120
 58.000	 -0.001	  0.068	 -0.100	  0.140	  6.144	  0.170	  5.807	  6.368	  7.864	  0.219	  7.600	  8.385	  0.908	  0.161	  0.589	  1.120
 58.500	  0.000	  0.008	 -0.030	  0.020	  6.296	  0.235	  5.893	  6.953	  7.651	  0.275	  7.207	  8.385	  1.052	  0.223	  0.670	  1.676
 59.000	 -0.000	  0.029	 -0.040	  0.070	  6.433	  0.198	  6.125	  6.893	  7.415	  0.348	  6.814	  7.992	  1.183	  0.188	  0.890	  1.618
 59.500	 -0.000	  0.010	 -0.020	  0.030	  6.573	  0.138	  6.125	  6.832	  7.196	  0.129	  6.814	  7.600	  1.315	  0.131	  0.890	  1.561
 60.000	 -0.000	  0.010	 -0.030	  0.030	  6.698	  0.179	  6.211	  7.125	  6.951	  0.237	  6.421	  7.600	  1.434	  0.170	  0.972	  1.838
 60.500	  0.000	  0.011	 -0.020	  0.030	  6.811	  0.142	  6.296	  7.004	  6.690	  0.184	  6.029	  6.814	  1.541	  0.135	  1.053	  1.723
 61.000	 -0.000	  0.012	 -0.030	  0.030	  6.911	  0.254	  6.589	  7.296	  6.425	  0.306	  6.029	  6.814	  1.636	  0.241	  1.331	  2.001
 61.500	 -0.000	  0.019	 -0.060	  0.050	  7.012	  0.183	  6.468	  7.382	  6.162	  0.211	  5.243	  6.421	  1.732	  0.174	  1.216	  2.082
 62.000	  0.000	  0.017	 -0.050	  0.040	  7.111	  0.138	  6.968	  7.882	  5.890	  0.220	  5.636	  6.814	  1.825	  0.131	  1.690	  2.556
 62.500	  0.001	  0.024	 -0.080	  0.070	  7.197	  0.201	  6.761	  7.468	  5.609	  0.306	  5.243	  6.029	  1.907	  0.190	  1.493	  2.164
 63.000	 -0.000	  0.041	 -0.080	  0.100	  7.274	  0.182	  6.640	  7.554	  5.318	  0.181	  4.458	  5.636	  1.980	  0.173	  1.378	  2.245
 63.500	  0.008	  0.247	 -0.550	  0.360	  7.351	  0.229	  6.640	  7.640	  5.026	  0.253	  4.458	  5.243	  2.053	  0.217	  1.378	  2.326
 64.000	  0.001	  0.026	 -0.070	  0.040	  7.411	  0.176	  7.079	  7.640	  4.721	  0.216	  4.458	  5.243	  2.109	  0.167	  1.795	  2.326
 64.500	 -0.000	  0.014	 -0.030	  0.040	  7.445	  0.221	  7.165	  8.225	  4.392	  0.261	  4.065	  5.243	  2.142	  0.210	  1.876	  2.882
 65.000	  0.002	  0.021	 -0.040	  0.060	  7.505	  0.288	  7.104	  7.811	  4.083	  0.358	  3.673	  4.458	  2.199	  0.273	  1.819	  2.489
 65.500	 -0.000	  0.011	 -0.030	  0.030	  7.540	  0.236	  6.983	  7.897	  3.753	  0.249	  2.887	  4.065	  2.232	  0.224	  1.704	  2.570
 66.000	  0.000	  0.014	 -0.030	  0.040	  7.563	  0.217	  6.983	  7.983	  3.405	  0.224	  2.887	  3.673	  2.254	  0.206	  1.704	  2.652
 66.500	  0.000	  0.005	 -0.040	  0.010	  7.573	  0.159	  7.422	  7.983	  3.049	  0.222	  2.887	  3.673	  2.263	  0.150	  2.120	  2.652
 67.000	  0.000	  0.012	 -0.030	  0.030	  7.587	  0.135	  7.361	  8.215	  2.696	  0.199	  2.494	  3.280	  2.276	  0.128	  2.063	  2.872
 67.500	 -0.000	  0.010	 -0.030	  0.030	  7.594	  0.290	  7.154	  8.154	  2.336	  0.297	  2.102	  2.887	  2.283	  0.275	  1.866	  2.814
 68.000	  0.000	  0.012	 -0.030	  0.040	  7.594	  0.215	  7.033	  7.947	  1.981	  0.276	  1.316	  2.494	  2.283	  0.204	  1.751	  2.618
 68.500	  0.000	  0.015	 -0.060	  0.030	  7.582	  0.171	  7.326	  7.826	  1.601	  0.196	  1.316	  2.102	  2.271	  0.162	  2.029	  2.503
 69.000	  0.000	  0.010	 -0.020	  0.030	  7.556	  0.102	  7.265	  7.619	  1.212	  0.174	  0.924	  1.316	  2.247	  0.097	  1.972	  2.307
 69.500	 -0.001	  0.016	 -0.050	  0.040	  7.530	  0.222	  7.205	  7.912	  0.820	  0.298	  0.531	  1.316	  2.222	  0.210	  1.914	  2.584
 70.000	  0.002	  0.045	 -0.090	  0.100	  7.486	  0.126	  7.083	  7.790	  0.410	  0.207	 -0.254	  0.531	  2.181	  0.120	  1.799	  2.469
 70.500	  0.000	  0.010	 -0.020	  0.030	  7.446	  0.260	  7.083	  8.083	  0.009	  0.227	 -0.254	  0.531	  2.143	  0.247	  1.799	  2.747
 71.000	 -0.000	  0.013	 -0.040	  0.040	  7.385	  0.257	  6.669	  7.876	 -0.413	  0.237	 -1.040	  0.138	  2.085	  0.244	  1.406	  2.551
 71.500	  0.000	  0.109	 -0.150	  0.270	  7.335	  0.170	  7.108	  7.669	 -0.823	  0.222	 -1.040	 -0.254	  2.037	  0.161	  1.823	  2.354
 72.000	 -0.000	  0.018	 -0.040	  0.040	  7.253	  0.135	  7.048	  7.548	 -1.269	  0.194	 -1.433	 -1.040	  1.960	  0.128	  1.765	  2.239
 72.500	 -0.000	  0.009	 -0.020	  0.020	  7.162	  0.258	  6.841	  7.841	 -1.716	  0.244	 -1.825	 -1.040	  1.874	  0.245	  1.569	  2.517
 73.000	  0.000	  0.011	 -0.030	  0.030	  7.094	  0.311	  6.426	  7.426	 -2.145	  0.333	 -2.611	 -1.825	  1.809	  0.295	  1.176	  2.124
 73.500	 -0.000	  0.006	 -0.010	  0.020	  6.989	  0.153	  6.598	  7.366	 -2.610	  0.227	 -3.396	 -2.218	  1.709	  0.145	  1.339	  2.067
 74.000	 -0.000	  0.006	 -0.010	  0.020	  6.892	  0.157	  6.598	  7.305	 -3.065	  0.191	 -3.396	 -2.611	  1.618	  0.149	  1.339	  2.009
 74.500	  0.000	  0.010	 -0.030	  0.030	  6.778	  0.149	  6.184	  6.891	 -3.536	  0.193	 -4.181	 -3.396	  1.510	  0.141	  0.946	  1.617
 75.000	 -0.001	  0.009	 -0.030	  0.030	  6.660	  0.210	  6.477	  7.184	 -4.009	  0.247	 -4.181	 -3.396	  1.398	  0.200	  1.224	  1.894
 75.500	 -0.000	  0.015	 -0.040	  0.040	  6.536	  0.202	  6.062	  6.770	 -4.486	  0.281	 -4.967	 -4.181	  1.280	  0.192	  0.831	  1.502
 76.000	 -0.003	  0.119	 -0.160	  0.330	  6.404	  0.111	  5.941	  6.855	 -4.979	  0.116	 -5.752	 -4.574	  1.155	  0.105	  0.716	  1.583
 76.500	 -0.000	  0.009	 -0.030	  0.020	  6.248	  0.265	  5.941	  6.941	 -5.485	  0.240	 -5.752	 -4.967	  1.007	  0.252	  0.716	  1.664
 77.000	 -0.000	  0.034	 -0.050	  0.150	  6.112	  0.253	  5.527	  6.527	 -5.968	  0.252	 -6.538	 -5.752	  0.878	  0.240	  0.323	  1.272
 77.500	  0.000	  0.012	 -0.040	  0.030	  5.943	  0.128	  5.820	  6.527	 -6.493	  0.127	 -6.538	 -5.752	  0.718	  0.122	  0.601	  1.272
 78.000	 -0.000	  0.010	 -0.030	  0.020	  5.787	  0.180	  5.406	  6.113	 -7.001	  0.263	 -7.323	 -6.538	  0.570	  0.171	  0.208	  0.879
 78.500	 -0.000	  0.010	 -0.020	  0.020	  5.604	  0.114	  5.138	  5.698	 -7.533	  0.205	 -8.108	 -7.323	  0.397	  0.108	 -0.045	  0.486
 79.000	  0.001	  0.017	 -0.030	  0.040	  5.434	  0.206	  5.284	  6.284	 -8.058	  0.159	 -8.108	 -7.323	  0.236	  0.196	  0.093	  1.041
 79.500	  0.000	  0.010	 -0.020	  0.030	  5.238	  0.326	  4.870	  5.870	 -8.599	  0.283	 -8.894	 -8.108	  0.050	  0.309	 -0.299	  0.649
 80.000	  0.001	  0.032	 -0.050	  0.100	  5.035	  0.294	  4.456	  5.456	 -9.153	  0.272	 -9.679	 -8.894	 -0.143	  0.278	 -0.692	  0.256
 80.500	  0.000	  0.064	 -0.120	  0.160	  4.831	  0.165	  4.042	  5.249	 -9.698	  0.134	-10.465	 -9.287	 -0.336	  0.157	 -1.085	  0.060
 81.000	  0.000	  0.011	 -0.030	  0.030	  4.623	  0.187	  4.335	  5.042	-10.253	  0.237	-10.465	 -9.679	 -0.534	  0.177	 -0.807	 -0.137
 81.500	  0.000	  0.010	 -0.020	  0.020	  4.395	  0.171	  4.067	  4.627	-10.825	  0.256	-11.250	-10.465	 -0.749	  0.162	 -1.061	 -0.529
 82.000	  0.000	  0.008	 -0.020	  0.010	  4.159	  0.108	  3.799	  4.506	-11.405	  0.197	-12.035	-11.250	 -0.973	  0.102	 -1.315	 -0.644
 82.500	  0.000	  0.013	 -0.040	  0.030	  3.920	  0.192	  3.799	  4.799	-11.982	  0.149	-12.035	-11.250	 -1.200	  0.182	 -1.315	 -0.367
 83.000	 -0.001	  0.014	 -0.040	  0.040	  3.670	  0.291	  3.385	  4.385	-12.574	  0.257	-12.821	-12.035	 -1.437	  0.276	 -1.707	 -0.759
 83.500	  0.000	  0.018	 -0.040	  0.050	  3.422	  0.290	  2.971	  3.971	-13.166	  0.283	-13.606	-12.821	 -1.672	  0.275	 -2.100	 -1.152
 84.000	 -0.000	  0.035	 -0.090	  0.100	  3.161	  0.215	  2.556	  3.556	-13.761	  0.223	-14.392	-13.606	 -1.920	  0.204	 -2.493	 -1.545
 84.500	  0.000	  0.022	 -0.050	  0.060	  2.890	  0.098	  2.642	  3.203	-14.368	  0.101	-14.784	-13.999	 -2.177	  0.093	 -2.411	 -1.880
 85.000	 -0.000	  0.020	 -0.050	  0.060	  2.617	  0.218	  2.435	  3.142	-14.979	  0.245	-15.177	-14.392	 -2.436	  0.206	 -2.608	 -1.937
 85.500	 -0.000	  0.014	 -0.030	  0.050	  2.318	  0.267	  1.728	  2.728	-15.609	  0.286	-15.962	-15.177	 -2.719	  0.253	 -3.278	 -2.330
 86.000	 -0.000	  0.008	 -0.020	  0.020	  2.030	  0.284	  1.314	  2.314	-16.229	  0.269	-16.748	-15.962	 -2.991	  0.269	 -3.671	 -2.723
 86.500	 -0.000	  0.011	 -0.030	  0.030	  1.728	  0.254	  0.899	  1.899	-16.865	  0.208	-17.533	-16.748	 -3.278	  0.241	 -4.064	 -3.116
 87.000	  0.002	  0.026	 -0.080	  0.050	  1.429	  0.121	  1.192	  1.692	-17.499	  0.111	-17.533	-17.140	 -3.562	  0.114	 -3.786	 -3.312
 87.500	  0.000	  0.018	 -0.050	  0.040	  1.101	  0.155	  0.778	  1.485	-18.154	  0.219	-18.319	-17.533	 -3.873	  0.147	 -4.179	 -3.508
 88.000	  0.000	  0.014	 -0.040	  0.030	  0.781	  0.163	  0.364	  1.071	-18.807	  0.265	-19.104	-18.319	 -4.176	  0.155	 -4.571	 -3.901
 88.500	 -0.000	  0.013	 -0.030	  0.040	  0.459	  0.164	 -0.050	  0.657	-19.444	  0.275	-19.889	-19.104	 -4.481	  0.155	 -4.964	 -4.294
 89.000	 -0.000	  0.008	 -0.020	  0.010	  0.119	  0.146	 -0.464	  0.243	-20.107	  0.253	-20.675	-19.889	 -4.804	  0.138	 -5.357	 -4.686
 89.500	 -0.000	  0.007	 -0.010	  0.010	 -0.232	  0.105	 -0.586	 -0.172	-20.786	  0.190	-21.460	-20.675	 -5.137	  0.100	 -5.472	 -5.079
 90.000	  0.000	  0.000	  0.000	  0.000	 -0.586	  0.000	 -0.586	 -0.586	-21.460	  0.000	-21.460	-21.460	 -5.472	  0.000	 -5.472	 -5.472
 90.500	 -0.000	  0.007	 -0.010	  0.010	 -0.353	  0.079	 -0.672	 -0.172	-20.782	  0.189	-21.460	-20.675	 -5.135	  0.101	 -5.472	 -5.079
 91.000	 -0.000	  0.008	 -0.020	  0.010	 -0.032	  0.148	 -0.464	  0.243	-20.118	  0.253	-20.675	-19.889	 -4.810	  0.139	 -5.218	 -4.686
 91.500	  0.000	  0.013	 -0.030	  0.040	  0.313	  0.160	 -0.197	  0.657	-19.448	  0.263	-19.889	-19.104	 -4.483	  0.149	 -4.964	 -4.294
 92.000	  0.000	  0.014	 -0.040	  0.030	  0.638	  0.181	  0.218	  1.071	-18.804	  0.269	-19.104	-18.319	 -4.178	  0.164	 -4.571	 -3.901
 92.500	 -0.000	  0.019	 -0.050	  0.040	  0.962	  0.167	  0.632	  1.485	-18.148	  0.225	-18.319	-17.533	 -3.870	  0.150	 -4.179	 -3.508
 93.000	 -0.002	  0.027	 -0.080	  0.050	  1.277	  0.131	  1.046	  1.692	-17.503	  0.105	-17.533	-17.140	 -3.574	  0.118	 -3.786	 -3.312
 93.500	  0.000	  0.012	 -0.030	  0.040	  1.592	  0.255	  0.753	  1.899	-16.862	  0.207	-17.533	-16.748	 -3.275	  0.241	 -4.064	 -3.116
 94.000	 -0.000	  0.008	 -0.030	  0.020	  1.904	  0.294	  1.167	  2.314	-16.225	  0.276	-16.748	-15.962	 -2.981	  0.272	 -3.671	 -2.723
 94.500	 -0.000	  0.014	 -0.030	  0.040	  2.196	  0.283	  1.728	  2.728	-15.598	  0.288	-15.962	-15.177	 -2.708	  0.256	 -3.139	 -2.330
 95.000	  0.000	  0.020	 -0.050	  0.060	  2.485	  0.238	  2.289	  3.142	-14.973	  0.250	-15.177	-14.392	 -2.433	  0.209	 -2.608	 -1.937
 95.500	  0.000	  0.023	 -0.060	  0.060	  2.754	  0.112	  2.496	  3.203	-14.372	  0.095	-14.784	-13.999	 -2.180	  0.088	 -2.411	 -1.880
 96.000	 -0.001	  0.034	 -0.090	  0.100	  3.031	  0.217	  2.410	  3.410	-13.760	  0.218	-14.392	-13.606	 -1.921	  0.198	 -2.493	 -1.545
 96.500	  0.001	  0.018	 -0.040	  0.060	  3.291	  0.292	  2.824	  3.824	-13.164	  0.278	-13.606	-12.821	 -1.673	  0.268	 -2.100	 -1.152
 97.000	  0.000	  0.014	 -0.040	  0.040	  3.542	  0.320	  3.238	  4.238	-12.573	  0.264	-12.821	-12.035	 -1.436	  0.284	 -1.707	 -0.759
 97.500	 -0.001	  0.013	 -0.040	  0.030	  3.796	  0.230	  3.653	  4.799	-11.984	  0.152	-12.035	-11.250	 -1.199	  0.186	 -1.315	 -0.367
 98.000	  0.000	  0.007	 -0.020	  0.010	  4.032	  0.124	  3.653	  4.506	-11.401	  0.199	-12.035	-11.250	 -0.973	  0.098	 -1.315	 -0.644
 98.500	 -0.001	  0.010	 -0.020	  0.030	  4.277	  0.192	  3.920	  4.627	-10.816	  0.262	-11.250	-10.465	 -0.744	  0.163	 -1.061	 -0.529
 99.000	 -0.000	  0.011	 -0.020	  0.040	  4.489	  0.211	  4.188	  5.042	-10.262	  0.230	-10.465	 -9.679	 -0.543	  0.175	 -0.807	 -0.137
 99.500	 -0.001	  0.062	 -0.120	  0.170	  4.700	  0.176	  3.895	  5.249	 -9.705	  0.139	-10.465	 -9.287	 -0.344	  0.160	 -1.085	  0.060
100.000	 -0.002	  0.030	 -0.050	  0.100	  4.918	  0.300	  4.309	  5.309	 -9.142	  0.268	 -9.679	 -8.894	 -0.138	  0.275	 -0.692	  0.256
100.500	 -0.000	  0.010	 -0.020	  0.030	  5.110	  0.348	  4.724	  5.870	 -8.608	  0.279	 -8.894	 -8.108	  0.041	  0.304	 -0.299	  0.649
101.000	  0.000	  0.017	 -0.030	  0.040	  5.300	  0.207	  5.138	  6.284	 -8.071	  0.125	 -8.108	 -7.323	  0.220	  0.164	  0.093	  1.041
101.500	 -0.000	  0.010	 -0.020	  0.020	  5.487	  0.142	  4.991	  5.698	 -7.540	  0.210	 -8.108	 -7.323	  0.396	  0.108	 -0.045	  0.486
102.000	  0.000	  0.010	 -0.030	  0.020	  5.658	  0.210	  5.259	  6.113	 -7.018	  0.265	 -7.323	 -6.538	  0.563	  0.174	  0.208	  0.879
102.500	 -0.000	  0.013	 -0.040	  0.030	  5.831	  0.151	  5.673	  6.527	 -6.486	  0.135	 -6.538	 -5.752	  0.720	  0.128	  0.601	  1.272
103.000	  0.001	  0.035	 -0.050	  0.140	  5.999	  0.265	  5.380	  6.380	 -5.974	  0.245	 -6.538	 -5.752	  0.877	  0.234	  0.323	  1.272
103.500	 -0.000	  0.009	 -0.040	  0.020	  6.144	  0.292	  5.795	  6.795	 -5.471	  0.241	 -5.752	 -4.967	  1.018	  0.250	  0.716	  1.664
104.000	 -0.000	  0.122	 -0.160	  0.340	  6.292	  0.137	  5.795	  6.855	 -4.974	  0.110	 -5.752	 -4.574	  1.152	  0.104	  0.716	  1.583
104.500	 -0.001	  0.015	 -0.040	  0.040	  6.423	  0.234	  5.916	  6.770	 -4.493	  0.289	 -4.967	 -4.181	  1.278	  0.196	  0.831	  1.502
105.000	  0.000	  0.010	 -0.030	  0.030	  6.560	  0.262	  6.330	  7.184	 -3.999	  0.257	 -4.181	 -3.396	  1.407	  0.208	  1.224	  1.894
105.500	 -0.000	  0.009	 -0.020	  0.030	  6.679	  0.176	  6.037	  6.891	 -3.527	  0.189	 -4.181	 -3.396	  1.517	  0.137	  0.946	  1.617
106.000	  0.000	  0.006	 -0.010	  0.020	  6.795	  0.183	  6.452	  7.098	 -3.054	  0.188	 -3.396	 -2.611	  1.625	  0.142	  1.339	  1.870
106.500	 -0.000	  0.005	 -0.010	  0.020	  6.880	  0.175	  6.452	  7.366	 -2.618	  0.223	 -3.396	 -2.218	  1.706	  0.141	  1.339	  2.067
107.000	  0.000	  0.011	 -0.030	  0.030	  6.980	  0.340	  6.426	  7.426	 -2.155	  0.337	 -2.611	 -1.825	  1.804	  0.297	  1.315	  2.124
107.500	  0.000	  0.009	 -0.030	  0.030	  7.075	  0.311	  6.694	  7.841	 -1.700	  0.259	 -1.825	 -1.040	  1.889	  0.257	  1.569	  2.517
108.000	 -0.001	  0.017	 -0.040	  0.040	  7.148	  0.162	  6.694	  7.548	 -1.262	  0.196	 -1.825	 -1.040	  1.959	  0.124	  1.569	  2.239
108.500	 -0.000	  0.109	 -0.150	  0.270	  7.209	  0.189	  6.962	  7.669	 -0.851	  0.216	 -1.040	 -0.254	  2.021	  0.156	  1.823	  2.354
109.000	 -0.001	  0.013	 -0.040	  0.040	  7.278	  0.273	  6.523	  7.876	 -0.415	  0.237	 -1.040	  0.138	  2.080	  0.241	  1.406	  2.551
