Angle	Area	AreaStd	AreaMin	AreaMax	ImageJ	ImageJStd	ImageJMin	ImageJMax	Crofton2	Crofton2Std	Crofton2Min	Crofton2Max	Crofton4	Crofton4Std	Crofton4Min	Crofton4Max
155.500	 -0.000	  0.011	 -0.030	  0.030	  7.537	  0.233	  6.983	  7.897	  3.751	  0.242	  2.887	  4.065	  2.229	  0.221	  1.704	  2.570
156.000	  0.000	  0.013	 -0.030	  0.040	  7.560	  0.228	  6.983	  7.983	  3.404	  0.232	  2.887	  3.673	  2.251	  0.216	  1.704	  2.652
156.500	  0.000	  0.005	 -0.030	  0.010	  7.576	  0.160	  7.422	  7.983	  3.047	  0.220	  2.887	  3.673	  2.266	  0.152	  2.120	  2.652
157.000	 -0.000	  0.012	 -0.030	  0.030	  7.594	  0.136	  7.361	  8.569	  2.711	  0.200	  2.494	  3.673	  2.283	  0.129	  2.063	  3.207
157.500	  0.000	  0.010	 -0.030	  0.030	  7.603	  0.294	  7.154	  8.154	  2.349	  0.302	  2.102	  2.887	  2.292	  0.279	  1.866	  2.814
158.000	 -0.000	  0.013	 -0.030	  0.040	  7.592	  0.209	  7.033	  7.947	  1.974	  0.270	  1.316	  2.494	  2.282	  0.198	  1.751	  2.618
158.500	 -0.001	  0.017	 -0.060	  0.030	  7.578	  0.168	  7.326	  7.826	  1.600	  0.194	  1.316	  2.102	  2.268	  0.159	  2.029	  2.503
159.000	  0.000	  0.010	 -0.020	  0.030	  7.553	  0.105	  7.265	  7.619	  1.206	  0.177	  0.924	  1.316	  2.244	  0.099	  1.972	  2.307
159.500	  0.001	  0.016	 -0.040	  0.040	  7.515	  0.219	  7.205	  7.912	  0.805	  0.291	  0.531	  1.316	  2.208	  0.208	  1.914	  2.584
160.000	 -0.000	  0.043	 -0.090	  0.100	  7.483	  0.121	  7.083	  7.790	  0.408	  0.202	 -0.254	  0.531	  2.178	  0.114	  1.799	  2.469
160.500	 -0.000	  0.010	 -0.030	  0.040	  7.431	  0.262	  7.083	  8.083	 -0.004	  0.228	 -0.254	  0.531	  2.129	  0.249	  1.799	  2.747
161.000	  0.000	  0.014	 -0.040	  0.040	  7.377	  0.255	  6.669	  7.876	 -0.423	  0.237	 -1.040	  0.138	  2.077	  0.242	  1.406	  2.551
161.500	  0.004	  0.110	 -0.150	  0.270	  7.321	  0.173	  7.108	  7.669	 -0.832	  0.227	 -1.040	 -0.254	  2.025	  0.164	  1.823	  2.354
162.000	 -0.000	  0.017	 -0.040	  0.040	  7.263	  0.142	  6.841	  7.548	 -1.251	  0.199	 -1.825	 -1.040	  1.970	  0.135	  1.569	  2.239
162.500	 -0.000	  0.009	 -0.020	  0.020	  7.183	  0.280	  6.841	  7.841	 -1.697	  0.269	 -1.825	 -1.040	  1.893	  0.266	  1.569	  2.517
163.000	  0.000	  0.011	 -0.030	  0.030	  7.096	  0.307	  6.573	  7.426	 -2.144	  0.329	 -2.611	 -1.825	  1.811	  0.291	  1.315	  2.124
163.500	  0.000	  0.005	 -0.010	  0.020	  6.997	  0.147	  6.598	  7.366	 -2.602	  0.219	 -3.396	 -2.218	  1.718	  0.139	  1.339	  2.067
164.000	 -0.000	  0.006	 -0.010	  0.020	  6.890	  0.157	  6.598	  7.305	 -3.068	  0.191	 -3.396	 -2.611	  1.616	  0.149	  1.339	  2.009
164.500	 -0.001	  0.010	 -0.030	  0.030	  6.777	  0.152	  6.184	  6.891	 -3.532	  0.192	 -4.181	 -3.396	  1.509	  0.144	  0.946	  1.617
165.000	 -0.000	  0.009	 -0.030	  0.030	  6.678	  0.216	  6.477	  7.184	 -3.988	  0.255	 -4.181	 -3.396	  1.415	  0.204	  1.224	  1.894
165.500	 -0.000	  0.016	 -0.040	  0.040	  6.542	  0.208	  6.062	  6.770	 -4.479	  0.286	 -4.967	 -4.181	  1.286	  0.197	  0.831	  1.502
166.000	 -0.002	  0.124	 -0.160	  0.340	  6.405	  0.112	  5.941	  6.855	 -4.971	  0.107	 -5.752	 -4.574	  1.156	  0.106	  0.716	  1.583
166.500	 -0.000	  0.009	 -0.030	  0.020	  6.255	  0.265	  5.941	  6.941	 -5.479	  0.240	 -5.752	 -4.967	  1.014	  0.251	  0.716	  1.664
167.000	  0.000	  0.034	 -0.050	  0.140	  6.110	  0.249	  5.527	  6.527	 -5.978	  0.247	 -6.538	 -5.752	  0.876	  0.236	  0.323	  1.272
167.500	 -0.000	  0.012	 -0.040	  0.030	  5.945	  0.131	  5.820	  6.527	 -6.490	  0.133	 -6.538	 -5.752	  0.720	  0.124	  0.601	  1.272
168.000	  0.000	  0.010	 -0.030	  0.020	  5.783	  0.177	  5.406	  6.113	 -7.003	  0.260	 -7.323	 -6.538	  0.566	  0.168	  0.208	  0.879
168.500	  0.000	  0.010	 -0.020	  0.020	  5.603	  0.116	  5.138	  5.698	 -7.545	  0.215	 -8.108	 -7.323	  0.396	  0.110	 -0.045	  0.486
169.000	 -0.000	  0.017	 -0.030	  0.040	  5.427	  0.198	  5.284	  6.284	 -8.059	  0.154	 -8.108	 -7.323	  0.229	  0.188	  0.093	  1.041
169.500	 -0.000	  0.010	 -0.020	  0.030	  5.226	  0.323	  4.870	  5.870	 -8.608	  0.282	 -8.894	 -8.108	  0.038	  0.306	 -0.299	  0.649
170.000	 -0.001	  0.030	 -0.050	  0.100	  5.026	  0.296	  4.456	  5.456	 -9.157	  0.273	 -9.679	 -8.894	 -0.152	  0.281	 -0.692	  0.256
170.500	  0.001	  0.063	 -0.120	  0.160	  4.825	  0.165	  4.042	  5.249	 -9.700	  0.137	-10.465	 -9.287	 -0.342	  0.157	 -1.085	  0.060
171.000	 -0.000	  0.011	 -0.030	  0.030	  4.608	  0.186	  4.335	  5.042	-10.267	  0.234	-10.465	 -9.679	 -0.548	  0.176	 -0.807	 -0.137
171.500	 -0.000	  0.010	 -0.020	  0.030	  4.391	  0.174	  4.067	  4.627	-10.829	  0.264	-11.250	-10.465	 -0.754	  0.165	 -1.061	 -0.529
172.000	  0.000	  0.008	 -0.030	  0.010	  4.160	  0.101	  3.799	  4.506	-11.399	  0.194	-12.035	-11.250	 -0.972	  0.095	 -1.315	 -0.644
172.500	 -0.000	  0.013	 -0.040	  0.030	  3.917	  0.191	  3.799	  4.799	-11.984	  0.149	-12.035	-11.250	 -1.203	  0.182	 -1.315	 -0.367
173.000	 -0.000	  0.014	 -0.040	  0.040	  3.678	  0.303	  3.385	  4.385	-12.565	  0.270	-12.821	-12.035	 -1.429	  0.288	 -1.707	 -0.759
173.500	 -0.000	  0.018	 -0.040	  0.060	  3.421	  0.272	  2.971	  3.971	-13.164	  0.268	-13.606	-12.821	 -1.673	  0.258	 -2.100	 -1.152
174.000	 -0.000	  0.035	 -0.090	  0.090	  3.162	  0.216	  2.556	  3.556	-13.755	  0.223	-14.392	-13.606	 -1.918	  0.205	 -2.493	 -1.545
174.500	  0.001	  0.022	 -0.060	  0.060	  2.888	  0.092	  2.642	  3.556	-14.372	  0.092	-14.784	-13.606	 -2.179	  0.087	 -2.411	 -1.545
175.000	 -0.000	  0.021	 -0.050	  0.060	  2.608	  0.213	  2.435	  3.142	-14.986	  0.240	-15.177	-14.392	 -2.444	  0.202	 -2.608	 -1.937
175.500	 -0.001	  0.014	 -0.030	  0.050	  2.336	  0.260	  1.874	  2.728	-15.594	  0.278	-15.962	-15.177	 -2.702	  0.247	 -3.139	 -2.330
176.000	  0.001	  0.008	 -0.020	  0.020	  2.007	  0.294	  1.314	  2.314	-16.252	  0.280	-16.748	-15.962	 -3.014	  0.279	 -3.671	 -2.723
176.500	 -0.000	  0.011	 -0.030	  0.030	  1.734	  0.255	  0.899	  1.899	-16.860	  0.207	-17.533	-16.748	 -3.273	  0.242	 -4.064	 -3.116
177.000	 -0.001	  0.027	 -0.100	  0.050	  1.430	  0.128	  1.192	  1.692	-17.490	  0.122	-17.533	-17.140	 -3.561	  0.121	 -3.786	 -3.312
177.500	 -0.000	  0.018	 -0.050	  0.040	  1.110	  0.159	  0.778	  1.485	-18.142	  0.224	-18.319	-17.533	 -3.864	  0.150	 -4.179	 -3.508
178.000	 -0.000	  0.014	 -0.040	  0.030	  0.793	  0.161	  0.364	  1.071	-18.784	  0.258	-19.104	-18.319	 -4.165	  0.152	 -4.571	 -3.901
178.500	  0.000	  0.013	 -0.030	  0.040	  0.453	  0.161	 -0.050	  0.657	-19.452	  0.266	-19.889	-19.104	 -4.487	  0.153	 -4.964	 -4.294
179.000	 -0.000	  0.008	 -0.020	  0.010	  0.121	  0.138	 -0.318	  0.243	-20.106	  0.246	-20.675	-19.889	 -4.801	  0.131	 -5.218	 -4.686
179.500	  0.000	  0.007	 -0.010	  0.010	 -0.229	  0.102	 -0.586	 -0.172	-20.780	  0.185	-21.460	-20.675	 -5.133	  0.097	 -5.472	 -5.079
180.000	  0.000	  0.000	  0.000	  0.000	 -0.586	  0.000	 -0.586	 -0.586	-21.460	  0.000	-21.460	-21.460	 -5.472	  0.000	 -5.472	 -5.472
