Radius	Area	AreaStd	AreaMin	AreaMax	ImageJ	ImageJStd	ImageJMin	ImageJMax	Crofton2	Crofton2Std	Crofton2Min	Crofton2Max	Crofton4	Crofton4Std	Crofton4Min	Crofton4Max
 39.400	  0.002	  0.095	 -0.264	  0.187	  4.774	  0.249	  4.025	  5.168	  0.002	  0.355	 -1.015	  0.254	  0.005	  0.237	 -0.705	  0.378
 39.450	  0.002	  0.098	 -0.415	  0.179	  4.766	  0.216	  3.893	  5.034	 -0.003	  0.271	 -1.141	  0.127	 -0.003	  0.205	 -0.831	  0.251
 39.500	 -0.002	  0.097	 -0.524	  0.170	  4.764	  0.156	  4.096	  4.901	 -0.006	  0.060	 -0.633	 -0.000	 -0.006	  0.148	 -0.640	  0.124
 39.550	  0.001	  0.078	 -0.327	  0.141	  4.768	  0.188	  4.297	  5.102	  0.006	  0.276	 -0.126	  1.138	 -0.003	  0.178	 -0.450	  0.314
 39.600	  0.006	  0.062	 -0.153	  0.192	  4.772	  0.185	  4.636	  5.302	  0.003	  0.351	 -0.253	  1.010	 -0.000	  0.175	 -0.129	  0.502
 39.650	 -0.000	  0.059	 -0.161	  0.223	  4.775	  0.249	  4.505	  5.640	  0.015	  0.419	 -0.378	  0.883	  0.001	  0.236	 -0.255	  0.822
 39.700	  0.001	  0.068	 -0.150	  0.335	  4.785	  0.277	  4.373	  5.507	  0.017	  0.449	 -0.504	  0.756	  0.010	  0.263	 -0.380	  0.695
 39.750	  0.003	  0.085	 -0.159	  0.304	  4.786	  0.286	  4.242	  5.374	  0.016	  0.449	 -0.629	  0.629	  0.010	  0.271	 -0.506	  0.568
 39.800	  0.002	  0.099	 -0.310	  0.313	  4.773	  0.281	  4.345	  5.242	 -0.006	  0.437	 -0.754	  0.503	 -0.002	  0.266	 -0.409	  0.442
 39.850	  0.002	  0.103	 -0.179	  0.282	  4.771	  0.264	  4.311	  5.110	  0.003	  0.400	 -0.878	  0.376	 -0.005	  0.251	 -0.442	  0.316
 39.900	 -0.000	  0.104	 -0.269	  0.251	  4.777	  0.224	  4.180	  4.978	  0.003	  0.360	 -1.003	  0.251	 -0.001	  0.212	 -0.566	  0.190
 39.950	  0.001	  0.100	 -0.239	  0.220	  4.773	  0.146	  4.186	  4.847	 -0.007	  0.273	 -1.126	  0.125	 -0.005	  0.139	 -0.561	  0.064
 40.000	 -0.001	  0.081	 -0.230	  0.208	  4.773	  0.113	  4.386	  5.182	 -0.003	  0.044	 -0.625	 -0.000	 -0.006	  0.107	 -0.373	  0.381
 40.050	  0.000	  0.058	 -0.141	  0.136	  4.781	  0.206	  4.585	  5.380	  0.007	  0.270	 -0.125	  1.124	  0.000	  0.195	 -0.185	  0.568
 40.100	  0.001	  0.058	 -0.153	  0.243	  4.780	  0.247	  4.454	  5.248	  0.007	  0.359	 -0.249	  0.998	 -0.001	  0.234	 -0.310	  0.443
 40.150	  0.000	  0.070	 -0.145	  0.270	  4.775	  0.265	  4.324	  5.213	  0.011	  0.417	 -0.374	  0.872	 -0.006	  0.251	 -0.434	  0.409
 40.200	 -0.001	  0.084	 -0.215	  0.218	  4.779	  0.273	  4.195	  5.314	  0.004	  0.434	 -0.498	  0.746	 -0.003	  0.259	 -0.558	  0.504
 40.250	 -0.001	  0.088	 -0.227	  0.166	  4.776	  0.262	  4.065	  5.183	 -0.009	  0.440	 -0.621	  0.621	 -0.008	  0.248	 -0.681	  0.379
 40.300	 -0.003	  0.095	 -0.298	  0.152	  4.774	  0.231	  4.167	  5.053	 -0.016	  0.436	 -0.744	  0.496	 -0.010	  0.219	 -0.585	  0.254
 40.350	  0.002	  0.094	 -0.291	  0.354	  4.789	  0.244	  4.269	  5.385	  0.013	  0.405	 -0.867	  0.372	  0.003	  0.231	 -0.489	  0.568
 40.400	  0.006	  0.096	 -0.304	  0.242	  4.787	  0.236	  4.371	  5.254	  0.009	  0.337	 -0.990	  0.248	  0.001	  0.224	 -0.394	  0.444
 40.450	 -0.001	  0.097	 -0.317	  0.267	  4.777	  0.209	  4.337	  5.124	 -0.007	  0.273	 -1.112	  0.124	 -0.009	  0.198	 -0.426	  0.320
 40.500	 -0.000	  0.080	 -0.233	  0.233	  4.779	  0.165	  4.209	  4.995	 -0.003	  0.044	 -0.617	  0.000	 -0.008	  0.156	 -0.549	  0.196
 40.550	 -0.000	  0.072	 -0.188	  0.218	  4.780	  0.199	  4.405	  5.515	 -0.007	  0.256	 -0.123	  1.110	 -0.009	  0.189	 -0.364	  0.689
 40.600	  0.001	  0.074	 -0.183	  0.223	  4.788	  0.217	  4.506	  5.385	 -0.006	  0.343	 -0.246	  0.985	 -0.001	  0.206	 -0.269	  0.565
