Reference   BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
174.479 181.095 174.358 174.371 171.458 174.6
174.479 181.238 179.071 174.506 171.434 174.576
174.479 181.196 171.217 174.466 171.416 174.558
174.479 181.238 179.071 174.506 171.252 174.394
174.479 182.409 179.071 175.616 172.269 175.411
174.479 180.711 168.075 174.006 171.73 174.872
174.479 181.48 180.642 174.736 171.368 174.51
174.479 180.752 175.929 174.045 171.384 174.526
174.479 181.137 182.212 174.41 171.658 174.8
174.479 180.125 168.075 173.451 171.54 174.682
174.479 182.409 179.071 175.616 172.087 175.229
174.479 182.167 177.5 175.386 171.971 175.113
174.479 181.296 168.075 174.561 171.465 174.607
174.479 181.823 179.071 175.061 171.715 174.857
174.479 181.48 180.642 174.736 171.55 174.692
174.479 181.723 182.212 174.966 171.757 174.899
174.479 180.711 168.075 174.006 171.184 174.326
174.479 180.309 180.642 173.625 171.534 174.676
174.479 181.723 182.212 174.966 171.666 174.808
174.479 180.066 179.071 173.395 170.872 174.014
174.479 181.823 179.071 175.061 171.806 174.948
174.479 181.882 168.075 175.117 171.928 175.07
174.479 179.054 164.934 172.435 170.754 173.896
174.479 181.296 168.075 174.561 171.465 174.607
174.479 180.711 168.075 174.006 171.73 174.872
174.479 180.652 179.071 173.95 170.971 174.113
174.479 179.64 164.934 172.991 170.762 173.904
174.479 179.054 164.934 172.435 170.572 173.714
174.479 179.723 180.642 173.069 171.344 174.486
174.479 181.296 168.075 174.561 171.92 175.062
174.479 181.439 172.788 174.696 171.35 174.492
174.479 182.61 172.788 175.807 172.458 175.6
174.479 180.468 166.504 173.776 171.432 174.574
174.479 180.853 172.788 174.141 171.524 174.666
174.479 180.468 166.504 173.776 171.432 174.574
174.479 181.238 179.071 174.506 171.434 174.576
174.479 183.581 179.071 176.727 173.013 176.155
174.479 179.48 179.071 172.839 170.682 173.824
174.479 180.309 180.642 173.625 171.17 174.312
174.479 181.539 169.646 174.791 171.672 174.814
174.479 180.409 177.5 173.72 171.492 174.634
174.479 181.296 168.075 174.561 171.738 174.88
174.479 181.823 179.071 175.061 171.715 174.857
174.479 180.125 168.075 173.451 171.176 174.318
174.479 179.823 177.5 173.165 171.302 174.444
174.479 179.882 166.504 173.221 171.242 174.384
174.479 182.024 172.788 175.251 171.904 175.046
174.479 181.782 171.217 175.021 171.697 174.839
174.479 180.309 180.642 173.625 171.716 174.858
174.479 182.409 179.071 175.616 172.087 175.229
174.479 182.125 169.646 175.347 172.408 175.55
174.479 181.095 174.358 174.371 171.367 174.509
174.479 181.581 177.5 174.831 171.69 174.832
174.479 180.309 180.642 173.625 171.352 174.494
174.479 181.924 175.929 175.156 171.855 174.997
174.479 181.48 180.642 174.736 171.55 174.692
174.479 182.125 169.646 175.347 172.044 175.186
174.479 183.196 172.788 176.362 172.466 175.608
174.479 181.296 168.075 174.561 171.556 174.698
174.479 182.752 177.5 175.942 172.434 175.576
174.479 181.681 174.358 174.926 171.921 175.063
174.479 180.853 172.788 174.141 170.978 174.12
174.479 180.953 169.646 174.236 171.846 174.988
174.479 181.238 179.071 174.506 171.616 174.758
174.479 181.539 169.646 174.791 171.672 174.814
174.479 180.853 172.788 174.141 171.342 174.484
174.479 179.882 166.504 173.221 170.878 174.02
174.479 180.894 180.642 174.18 171.542 174.684
174.479 179.64 164.934 172.991 170.853 173.995
174.479 182.652 180.642 175.846 172.112 175.254
174.479 182.125 169.646 175.347 173.045 176.187
174.479 180.309 180.642 173.625 171.17 174.312
174.479 180.853 172.788 174.141 171.524 174.666
174.479 181.823 179.071 175.061 171.624 174.766
174.479 181.296 168.075 174.561 171.556 174.698
174.479 179.882 166.504 173.221 171.242 174.384
174.479 180.711 168.075 174.006 171.548 174.69
174.479 180.894 180.642 174.18 171.178 174.32
174.479 180.953 169.646 174.236 170.936 174.078
174.479 181.296 168.075 174.561 171.465 174.607
174.479 181.823 179.071 175.061 171.988 175.13
174.479 180.652 179.071 173.95 171.426 174.568
174.479 180.853 172.788 174.141 171.251 174.393
174.479 181.439 172.788 174.696 171.441 174.583
174.479 181.681 174.358 174.926 171.83 174.972
174.479 180.894 180.642 174.18 171.633 174.775
174.479 181.48 180.642 174.736 171.55 174.692
174.479 181.439 172.788 174.696 171.896 175.038
174.479 180.652 179.071 173.95 171.699 174.841
174.479 181.581 177.5 174.831 172.054 175.196
174.479 179.723 180.642 173.069 171.253 174.395
174.479 182.368 171.217 175.577 172.069 175.211
174.479 179.882 166.504 173.221 171.06 174.202
174.479 182.066 180.642 175.291 172.104 175.246
174.479 180.652 179.071 173.95 171.517 174.659
174.479 180.468 166.504 173.776 171.341 174.483
174.479 181.539 169.646 174.791 171.672 174.814
174.479 182.551 183.783 175.751 172.336 175.478
174.479 180.995 177.5 174.275 171.5 174.642
174.479 181.823 179.071 175.061 172.352 175.494
174.479 180.995 177.5 174.275 171.682 174.824
174.479 180.309 180.642 173.625 171.716 174.858
174.479 181.723 182.212 174.966 172.212 175.354
174.479 181.296 168.075 174.561 171.647 174.789
174.479 181.439 172.788 174.696 171.987 175.129
174.479 182.125 169.646 175.347 172.408 175.55
174.479 181.782 171.217 175.021 171.788 174.93
174.479 180.51 174.358 173.815 171.268 174.41
174.479 180.368 169.646 173.681 171.292 174.434
174.479 179.64 164.934 172.991 171.035 174.177
174.479 181.882 168.075 175.117 171.928 175.07
174.479 182.024 172.788 175.251 171.722 174.864
174.479 181.196 171.217 174.466 171.962 175.104
174.479 180.652 179.071 173.95 171.79 174.932
174.479 182.167 177.5 175.386 172.244 175.386
174.479 180.711 168.075 174.006 171.184 174.326
174.479 181.439 172.788 174.696 171.35 174.492
174.479 181.054 166.504 174.331 171.531 174.673
174.479 181.681 174.358 174.926 171.648 174.79
174.479 181.338 175.929 174.601 171.21 174.352
174.479 181.581 177.5 174.831 172.236 175.378
174.479 180.125 168.075 173.451 170.812 173.954
174.479 181.539 169.646 174.791 171.672 174.814
174.479 180.468 166.504 173.776 171.25 174.392
174.479 181.539 169.646 174.791 172.036 175.178
174.479 182.024 172.788 175.251 172.359 175.501
174.479 182.267 174.358 175.481 172.202 175.344
174.479 181.137 182.212 174.41 172.204 175.346
174.479 181.196 171.217 174.466 171.78 174.922
174.479 181.196 171.217 174.466 171.78 174.922
