Reference   BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
126.782 128.811 124.093 124.802 123.094 126.236
126.782 131.397 125.664 127.254 123.606 126.748
126.782 130.811 125.664 126.698 124.963 128.105
126.782 131.154 124.093 127.024 123.399 126.541
126.782 131.296 128.805 127.158 124.467 127.609
126.782 129.397 124.093 125.358 123.375 126.517
126.782 132.711 130.376 128.499 125.054 128.196
126.782 130.711 128.805 126.603 124.004 127.146
126.782 131.882 128.805 127.714 124.111 127.253
126.782 130.711 128.805 126.603 123.913 127.055
126.782 130.811 125.664 126.698 123.962 127.104
126.782 132.811 127.235 128.594 124.557 127.699
126.782 129.74 122.522 125.683 123.358 126.5
126.782 130.125 128.805 126.048 122.904 126.046
126.782 131.983 125.664 127.809 123.887 127.029
126.782 129.882 127.235 125.818 123.88 127.022
126.782 130.468 127.235 126.373 124.161 127.303
126.782 129.539 128.805 125.492 123.351 126.493
126.782 130.811 125.664 126.698 123.598 126.74
126.782 131.154 124.093 127.024 124.036 127.178
126.782 132.125 130.376 127.944 124.227 127.369
126.782 132.953 131.947 128.729 124.806 127.948
126.782 129.397 124.093 125.358 123.284 126.426
126.782 130.225 125.664 126.143 123.681 126.823
126.782 129.64 125.664 125.588 123.218 126.36
126.782 130.468 127.235 126.373 122.796 125.938
126.782 130.125 128.805 126.048 123.268 126.41
126.782 132.711 130.376 128.499 124.053 127.195
126.782 130.811 125.664 126.698 123.598 126.74
126.782 130.468 127.235 126.373 124.252 127.394
126.782 130.569 124.093 126.468 123.573 126.715
126.782 131.054 127.235 126.928 124.351 127.493
126.782 129.782 130.376 125.722 124.013 127.155
126.782 129.64 125.664 125.588 123.127 126.269
126.782 130.368 130.376 126.278 124.476 127.618
126.782 131.054 127.235 126.928 123.168 126.31
126.782 129.64 125.664 125.588 122.672 125.814
126.782 129.882 127.235 125.818 123.88 127.022
126.782 131.054 127.235 126.928 124.169 127.311
126.782 130.811 125.664 126.698 123.507 126.649
126.782 128.468 125.664 124.477 122.838 125.98
126.782 130.468 127.235 126.373 123.979 127.121
126.782 129.64 125.664 125.588 123.127 126.269
126.782 129.154 122.522 125.127 122.895 126.037
126.782 131.983 125.664 127.809 124.251 127.393
126.782 131.983 125.664 127.809 124.16 127.302
126.782 132.368 131.947 128.174 124.798 127.94
126.782 130.811 125.664 126.698 123.143 126.285
126.782 131.397 125.664 127.254 123.788 126.93
126.782 128.326 120.951 124.342 122.407 125.549
126.782 130.225 125.664 126.143 123.863 127.005
126.782 130.468 127.235 126.373 123.524 126.666
126.782 129.054 125.664 125.032 123.21 126.352
126.782 129.054 125.664 125.032 123.574 126.716
126.782 129.74 122.522 125.683 122.63 125.772
126.782 131.539 130.376 127.388 124.219 127.361
126.782 130.468 127.235 126.373 123.069 126.211
126.782 129.64 125.664 125.588 122.854 125.996
126.782 132.468 128.805 128.269 125.12 128.262
