Reference   BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
178.178 185.196 174.358 178.258 175.154 178.296
178.178 183.924 177.5 177.052 174.816 177.958
178.178 186.066 183.783 179.083 175.66 178.802
178.178 185.196 174.358 178.258 175.154 178.296
178.178 185.196 174.358 178.258 175.336 178.478
178.178 183.782 172.788 176.918 174.931 178.073
178.178 185.48 183.783 178.528 175.288 178.43
178.178 184.61 174.358 177.703 175.419 178.561
178.178 186.409 182.212 179.408 175.188 178.33
178.178 183.681 175.929 176.822 175.246 178.388
178.178 185.196 174.358 178.258 175.154 178.296
178.178 185.238 182.212 178.298 175.172 178.314
178.178 185.238 182.212 178.298 175.536 178.678
178.178 185.924 179.071 178.948 175.866 179.008
178.178 184.853 175.929 177.933 175.08 178.222
178.178 184.61 174.358 177.703 174.964 178.106
178.178 186.024 175.929 179.044 175.824 178.966
178.178 184.267 175.929 177.378 174.526 177.668
178.178 185.823 182.212 178.853 174.816 177.958
178.178 184.267 175.929 177.378 174.708 177.85
178.178 185.238 182.212 178.298 175.354 178.496
178.178 185.782 174.358 178.814 175.799 178.941
178.178 186.652 183.783 179.639 175.395 178.537
178.178 185.782 174.358 178.814 175.708 178.85
178.178 183.782 172.788 176.918 174.658 177.8
178.178 184.267 175.929 177.378 175.072 178.214
178.178 186.409 182.212 179.408 175.825 178.967
178.178 184.995 180.642 178.068 175.693 178.835
178.178 185.196 174.358 178.258 175.154 178.296
178.178 185.439 175.929 178.488 175.088 178.23
178.178 185.095 177.5 178.163 175.378 178.52
178.178 185.196 174.358 178.258 175.154 178.296
178.178 184.752 179.071 177.838 175.122 178.264
178.178 185.823 182.212 178.853 175.089 178.231
178.178 184.51 177.5 177.608 175.643 178.785
178.178 185.681 177.5 178.718 175.932 179.074
178.178 184.995 180.642 178.068 175.238 178.38
178.178 183.338 177.5 176.497 174.99 178.132
178.178 186.024 175.929 179.044 175.824 178.966
178.178 185.439 175.929 178.488 175.998 179.14
178.178 184.61 174.358 177.703 175.419 178.561
178.178 185.681 177.5 178.718 175.477 178.619
178.178 183.782 172.788 176.918 174.476 177.618
178.178 185.196 174.358 178.258 175.791 178.933
178.178 184.953 172.788 178.028 175.038 178.18
178.178 185.48 183.783 178.528 175.652 178.794
178.178 184.995 180.642 178.068 175.056 178.198
178.178 183.924 177.5 177.052 175.362 178.504
178.178 184.61 174.358 177.703 175.146 178.288
178.178 184.752 179.071 177.838 175.304 178.446
178.178 184.995 180.642 178.068 175.42 178.562
178.178 185.782 174.358 178.814 175.708 178.85
178.178 183.681 175.929 176.822 174.7 177.842
178.178 184.368 172.788 177.473 174.939 178.081
178.178 183.782 172.788 176.918 174.658 177.8
178.178 186.652 183.783 179.639 176.214 179.356
178.178 186.409 182.212 179.408 175.279 178.421
178.178 185.196 174.358 178.258 175.154 178.296
178.178 185.196 174.358 178.258 175.518 178.66
178.178 184.995 180.642 178.068 175.602 178.744
178.178 183.782 172.788 176.918 175.204 178.346
178.178 186.066 183.783 179.083 175.842 178.984
178.178 184.953 172.788 178.028 175.311 178.453
178.178 185.48 183.783 178.528 175.197 178.339
178.178 184.953 172.788 178.028 175.038 178.18
178.178 184.51 177.5 177.608 175.188 178.33
178.178 183.439 174.358 176.592 174.766 177.908
178.178 186.024 175.929 179.044 175.824 178.966
178.178 185.823 182.212 178.853 176.363 179.505
178.178 184.267 175.929 177.378 174.526 177.668
178.178 186.066 183.783 179.083 176.115 179.257
178.178 185.439 175.929 178.488 175.452 178.594
178.178 184.024 174.358 177.148 174.956 178.098
178.178 185.338 179.071 178.393 175.221 178.363
178.178 185.823 182.212 178.853 175.089 178.231
178.178 184.024 174.358 177.148 175.138 178.28
178.178 184.368 172.788 177.473 174.848 177.99
178.178 183.338 177.5 176.497 174.626 177.768
178.178 185.238 182.212 178.298 175.263 178.405
178.178 184.752 179.071 177.838 175.486 178.628
178.178 183.681 175.929 176.822 174.427 177.569
178.178 185.238 182.212 178.298 175.718 178.86
178.178 185.782 174.358 178.814 175.435 178.577
178.178 185.681 177.5 178.718 176.296 179.438
178.178 185.238 182.212 178.298 175.263 178.405
178.178 183.823 180.642 176.957 174.949 178.091
178.178 185.196 174.358 178.258 175.154 178.296
178.178 184.995 180.642 178.068 175.42 178.562
178.178 186.652 183.783 179.639 175.759 178.901
178.178 186.024 175.929 179.044 175.824 178.966
178.178 185.782 174.358 178.814 175.617 178.759
178.178 185.196 174.358 178.258 175.245 178.387
178.178 183.338 177.5 176.497 174.808 177.95
178.178 184.51 177.5 177.608 175.188 178.33
178.178 186.409 182.212 179.408 175.643 178.785
178.178 185.238 182.212 178.298 174.808 177.95
178.178 185.196 174.358 178.258 175.336 178.478
178.178 185.238 182.212 178.298 174.808 177.95
178.178 186.024 175.929 179.044 175.824 178.966
178.178 186.652 183.783 179.639 175.85 178.992
178.178 185.196 174.358 178.258 174.881 178.023
178.178 186.61 175.929 179.599 175.923 179.065
178.178 185.782 174.358 178.814 175.435 178.577
178.178 185.095 177.5 178.163 175.833 178.975
178.178 185.581 180.642 178.623 174.882 178.024
178.178 185.782 174.358 178.814 175.617 178.759
178.178 184.752 179.071 177.838 175.486 178.628
178.178 183.924 177.5 177.052 175.544 178.686
178.178 186.066 183.783 179.083 175.842 178.984
178.178 186.61 175.929 179.599 176.105 179.247
178.178 185.196 174.358 178.258 175.336 178.478
178.178 184.024 174.358 177.148 174.956 178.098
178.178 183.338 177.5 176.497 174.626 177.768
178.178 185.823 182.212 178.853 175.817 178.959
178.178 186.61 175.929 179.599 175.923 179.065
178.178 185.823 182.212 178.853 175.271 178.413
178.178 184.752 179.071 177.838 174.94 178.082
178.178 185.095 177.5 178.163 175.196 178.338
178.178 185.782 174.358 178.814 175.253 178.395
178.178 184.267 175.929 177.378 174.708 177.85
178.178 185.439 175.929 178.488 175.179 178.321
178.178 184.953 172.788 178.028 174.856 177.998
178.178 184.853 175.929 177.933 175.171 178.313
178.178 184.368 172.788 177.473 174.848 177.99
178.178 185.924 179.071 178.948 176.139 179.281
178.178 185.439 175.929 178.488 175.634 178.776
178.178 186.066 183.783 179.083 175.478 178.62
178.178 184.652 182.212 177.742 174.982 178.124
178.178 185.782 174.358 178.814 175.526 178.668
178.178 186.61 175.929 179.599 176.378 179.52
178.178 184.368 172.788 177.473 174.484 177.626
178.178 184.752 179.071 177.838 175.577 178.719
178.178 186.167 180.642 179.178 175.8 178.942
178.178 184.409 180.642 177.512 174.866 178.008
178.178 184.61 174.358 177.703 175.146 178.288
178.178 185.823 182.212 178.853 174.816 177.958
178.178 185.681 177.5 178.718 175.295 178.437
178.178 184.752 179.071 177.838 175.577 178.719
178.178 184.995 180.642 178.068 175.693 178.835
178.178 183.924 177.5 177.052 175.362 178.504
178.178 185.823 182.212 178.853 174.998 178.14
178.178 185.196 174.358 178.258 175.154 178.296
178.178 184.167 179.071 177.282 175.296 178.438
178.178 186.167 180.642 179.178 176.164 179.306
178.178 184.652 182.212 177.742 174.982 178.124
178.178 184.409 180.642 177.512 175.412 178.554
178.178 184.409 180.642 177.512 175.23 178.372
178.178 185.196 174.358 178.258 175.336 178.478
178.178 184.61 174.358 177.703 175.146 178.288
178.178 186.066 183.783 179.083 174.932 178.074
178.178 184.51 177.5 177.608 175.37 178.512
178.178 185.48 183.783 178.528 176.107 179.249
178.178 184.167 179.071 177.282 174.932 178.074
178.178 186.267 177.5 179.274 175.758 178.9
178.178 184.267 175.929 177.378 175.072 178.214
178.178 185.782 174.358 178.814 175.617 178.759
178.178 185.581 180.642 178.623 175.792 178.934
178.178 184.267 175.929 177.378 174.981 178.123
178.178 186.61 175.929 179.599 175.832 178.974
178.178 185.681 177.5 178.718 175.386 178.528
178.178 184.167 179.071 177.282 175.114 178.256
178.178 185.823 182.212 178.853 175.18 178.322
178.178 185.823 182.212 178.853 174.998 178.14
178.178 184.409 180.642 177.512 175.139 178.281
178.178 185.238 182.212 178.298 174.808 177.95
178.178 184.51 177.5 177.608 175.37 178.512
178.178 185.238 182.212 178.298 175.263 178.405
178.178 186.024 175.929 179.044 175.733 178.875
178.178 186.167 180.642 179.178 176.073 179.215
178.178 185.782 174.358 178.814 175.526 178.668
178.178 184.61 174.358 177.703 174.964 178.106
178.178 185.338 179.071 178.393 175.858 179
178.178 184.652 182.212 177.742 174.982 178.124
178.178 184.51 177.5 177.608 175.37 178.512
178.178 185.439 175.929 178.488 175.725 178.867
178.178 185.196 174.358 178.258 175.336 178.478
178.178 185.823 182.212 178.853 175.271 178.413
178.178 184.752 179.071 177.838 174.94 178.082
178.178 185.782 174.358 178.814 175.435 178.577
178.178 185.782 174.358 178.814 175.799 178.941
178.178 186.652 183.783 179.639 175.85 178.992
178.178 185.196 174.358 178.258 175.154 178.296
178.178 185.48 183.783 178.528 175.47 178.612
178.178 184.267 175.929 177.378 174.799 177.941
178.178 185.238 182.212 178.298 175.354 178.496
178.178 184.995 180.642 178.068 175.42 178.562
178.178 186.024 175.929 179.044 175.824 178.966
178.178 184.267 175.929 177.378 175.163 178.305
178.178 186.024 175.929 179.044 175.915 179.057
178.178 185.238 182.212 178.298 174.717 177.859
178.178 183.581 179.071 176.727 174.742 177.884
178.178 185.196 174.358 178.258 175.336 178.478
178.178 185.681 177.5 178.718 175.568 178.71
178.178 184.752 179.071 177.838 175.304 178.446
178.178 184.61 174.358 177.703 175.146 178.288
178.178 184.995 180.642 178.068 175.056 178.198
178.178 184.752 179.071 177.838 174.94 178.082
178.178 184.368 172.788 177.473 174.666 177.808
178.178 185.196 174.358 178.258 175.518 178.66
178.178 184.409 180.642 177.512 175.412 178.554
178.178 185.338 179.071 178.393 175.585 178.727
178.178 184.024 174.358 177.148 175.138 178.28
178.178 185.196 174.358 178.258 175.518 178.66
178.178 184.167 179.071 177.282 174.932 178.074
178.178 184.995 180.642 178.068 175.42 178.562
178.178 186.652 183.783 179.639 175.941 179.083
178.178 186.167 180.642 179.178 175.618 178.76
178.178 185.095 177.5 178.163 175.378 178.52
178.178 184.752 179.071 177.838 175.304 178.446
178.178 185.782 174.358 178.814 175.162 178.304
178.178 186.267 177.5 179.274 176.486 179.628
178.178 185.823 182.212 178.853 175.544 178.686
178.178 184.167 179.071 177.282 175.296 178.438
178.178 185.823 182.212 178.853 175.635 178.777
178.178 183.681 175.929 176.822 175.064 178.206
178.178 183.681 175.929 176.822 175.246 178.388
178.178 183.782 172.788 176.918 174.567 177.709
178.178 184.853 175.929 177.933 175.626 178.768
178.178 185.823 182.212 178.853 174.998 178.14
178.178 185.238 182.212 178.298 175.172 178.314
178.178 185.238 182.212 178.298 175.536 178.678
178.178 184.61 174.358 177.703 175.328 178.47
178.178 185.439 175.929 178.488 175.634 178.776
178.178 183.782 172.788 176.918 174.658 177.8
178.178 183.924 177.5 177.052 174.816 177.958
178.178 184.953 172.788 178.028 174.674 177.816
178.178 183.823 180.642 176.957 175.313 178.455
178.178 185.095 177.5 178.163 175.378 178.52
178.178 186.652 183.783 179.639 175.668 178.81
178.178 184.752 179.071 177.838 175.304 178.446
178.178 186.024 175.929 179.044 175.369 178.511
178.178 186.61 175.929 179.599 176.014 179.156
178.178 183.681 175.929 176.822 174.518 177.66
178.178 183.823 180.642 176.957 175.222 178.364
178.178 186.61 175.929 179.599 176.105 179.247
178.178 184.61 174.358 177.703 174.964 178.106
178.178 184.61 174.358 177.703 174.6 177.742
178.178 185.095 177.5 178.163 175.378 178.52
178.178 185.681 177.5 178.718 175.75 178.892
178.178 185.238 182.212 178.298 175.172 178.314
178.178 184.61 174.358 177.703 175.055 178.197
178.178 184.995 180.642 178.068 175.056 178.198
178.178 184.61 174.358 177.703 174.782 177.924
178.178 184.51 177.5 177.608 175.37 178.512
178.178 184.024 174.358 177.148 175.138 178.28
178.178 184.409 180.642 177.512 175.23 178.372
178.178 185.196 174.358 178.258 175.609 178.751
178.178 184.61 174.358 177.703 174.782 177.924
178.178 184.368 172.788 177.473 174.848 177.99
178.178 183.196 172.788 176.362 174.468 177.61
178.178 184.995 180.642 178.068 175.056 178.198
178.178 185.238 182.212 178.298 175.445 178.587
178.178 185.924 179.071 178.948 175.775 178.917
178.178 185.681 177.5 178.718 176.114 179.256
178.178 185.782 174.358 178.814 175.435 178.577
178.178 184.652 182.212 177.742 175.71 178.852
178.178 184.61 174.358 177.703 175.237 178.379
