Reference   BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
207.949 216.309 208.916 207.755 204.63 207.772
207.949 216.995 205.774 208.406 204.687 207.829
207.949 216.995 205.774 208.406 205.324 208.466
207.949 217.48 208.916 208.866 205.01 208.152
207.949 215.924 202.633 207.39 205.084 208.226
207.949 216.894 208.916 208.31 204.82 207.962
207.949 216.551 210.487 207.985 205.11 208.252
207.949 215.581 204.204 207.065 205.192 208.334
207.949 216.652 207.345 208.08 204.34 207.482
207.949 217.48 208.916 208.866 204.828 207.97
207.949 218.409 207.345 209.746 205.82 208.962
207.949 214.794 210.487 206.319 204.722 207.864
207.949 217.48 208.916 208.866 204.828 207.97
207.949 218.551 212.058 209.881 205.796 208.938
207.949 217.137 210.487 208.54 204.936 208.078
207.949 216.309 208.916 207.755 204.63 207.772
207.949 216.208 212.058 207.66 205.4 208.542
207.949 215.966 210.487 207.43 205.375 208.517
207.949 216.309 208.916 207.755 204.63 207.772
207.949 216.551 210.487 207.985 204.564 207.706
207.949 214.51 201.062 206.049 204.224 207.366
207.949 217.38 212.058 208.77 205.052 208.194
207.949 215.338 202.633 206.835 204.712 207.854
207.949 216.551 210.487 207.985 205.474 208.616
207.949 216.794 212.058 208.215 205.408 208.55
207.949 215.966 210.487 207.43 205.102 208.244
207.949 215.966 210.487 207.43 205.193 208.335
207.949 216.066 207.345 207.525 204.332 207.474
207.949 215.924 202.633 207.39 204.902 208.044
207.949 217.48 208.916 208.866 205.738 208.88
207.949 216.995 205.774 208.406 205.415 208.557
207.949 215.966 210.487 207.43 205.284 208.426
207.949 216.652 207.345 208.08 204.522 207.664
207.949 215.622 212.058 207.104 205.301 208.443
207.949 217.38 212.058 208.77 205.234 208.376
207.949 217.238 207.345 208.636 204.53 207.672
207.949 214.752 202.633 206.279 205.068 208.21
207.949 215.38 210.487 206.874 205.003 208.145
207.949 216.167 204.204 207.62 204.927 208.069
207.949 217.137 210.487 208.54 204.936 208.078
207.949 215.38 210.487 206.874 204.912 208.054
207.949 215.966 210.487 207.43 205.102 208.244
207.949 216.167 204.204 207.62 205.291 208.433
207.949 215.622 212.058 207.104 205.392 208.534
207.949 217.823 207.345 209.191 205.266 208.408
207.949 215.966 210.487 207.43 204.92 208.062
207.949 216.167 204.204 207.62 205.2 208.342
207.949 215.38 210.487 206.874 204.548 207.69
207.949 216.551 210.487 207.985 204.564 207.706
207.949 217.723 210.487 209.096 204.944 208.086
207.949 216.551 210.487 207.985 204.655 207.797
207.949 216.409 205.774 207.85 204.952 208.094
207.949 215.966 210.487 207.43 205.193 208.335
207.949 217.238 207.345 208.636 204.985 208.127
207.949 217.238 207.345 208.636 204.985 208.127
207.949 216.066 207.345 207.525 205.06 208.202
207.949 217.238 207.345 208.636 204.348 207.49
207.949 216.167 204.204 207.62 205.2 208.342
207.949 217.238 207.345 208.636 205.076 208.218
207.949 213.924 201.062 205.494 204.034 207.176
207.949 215.966 210.487 207.43 205.648 208.79
207.949 216.894 208.916 208.31 205.184 208.326
207.949 214.752 202.633 206.279 204.34 207.482
207.949 214.752 202.633 206.279 204.522 207.664
207.949 217.238 207.345 208.636 204.894 208.036
207.949 215.966 210.487 207.43 204.374 207.516
207.949 214.51 201.062 206.049 204.497 207.639
207.949 217.38 212.058 208.77 204.87 208.012
207.949 214.752 202.633 206.279 204.704 207.846
207.949 216.652 207.345 208.08 204.522 207.664
207.949 217.137 210.487 208.54 204.754 207.896
207.949 216.652 207.345 208.08 204.34 207.482
207.949 216.409 205.774 207.85 204.133 207.275
207.949 215.238 205.774 206.74 204.39 207.532
207.949 216.409 205.774 207.85 204.861 208.003
207.949 216.208 212.058 207.66 205.673 208.815
207.949 216.551 210.487 207.985 204.928 208.07
207.949 216.409 205.774 207.85 205.498 208.64
207.949 215.966 210.487 207.43 204.465 207.607
207.949 215.338 202.633 206.835 204.621 207.763
207.949 218.652 208.916 209.976 205.845 208.987
207.949 217.238 207.345 208.636 204.712 207.854
207.949 216.551 210.487 207.985 204.564 207.706
207.949 216.066 207.345 207.525 205.424 208.566
207.949 217.238 207.345 208.636 205.258 208.4
207.949 217.48 208.916 208.866 205.192 208.334
207.949 218.066 208.916 209.421 205.291 208.433
207.949 215.966 210.487 207.43 204.556 207.698
207.949 216.167 204.204 207.62 205.109 208.251
207.949 215.966 210.487 207.43 204.465 207.607
207.949 215.38 210.487 206.874 205.185 208.327
207.949 217.238 207.345 208.636 205.804 208.946
207.949 216.894 208.916 208.31 204.638 207.78
207.949 214.752 202.633 206.279 204.522 207.664
207.949 216.894 208.916 208.31 204.82 207.962
207.949 216.167 204.204 207.62 205.018 208.16
207.949 215.966 210.487 207.43 204.92 208.062
207.949 215.338 202.633 206.835 204.712 207.854
207.949 215.622 212.058 207.104 205.21 208.352
207.949 217.238 207.345 208.636 204.985 208.127
207.949 217.137 210.487 208.54 205.482 208.624
207.949 217.38 212.058 208.77 205.234 208.376
207.949 216.167 204.204 207.62 205.655 208.797
207.949 215.38 210.487 206.874 204.912 208.054
207.949 218.066 208.916 209.421 205.837 208.979
207.949 215.966 210.487 207.43 204.556 207.698
207.949 216.409 205.774 207.85 205.134 208.276
207.949 215.38 210.487 206.874 205.094 208.236
207.949 215.338 202.633 206.835 204.712 207.854
207.949 216.794 212.058 208.215 205.044 208.186
207.949 216.995 205.774 208.406 204.96 208.102
207.949 214.794 210.487 206.319 204.904 208.046
207.949 215.966 210.487 207.43 205.284 208.426
207.949 216.551 210.487 207.985 205.11 208.252
207.949 216.652 207.345 208.08 205.25 208.392
207.949 217.823 207.345 209.191 205.903 209.045
207.949 215.338 202.633 206.835 204.894 208.036
207.949 216.794 212.058 208.215 204.862 208.004
207.949 215.581 204.204 207.065 204.737 207.879
207.949 214.752 202.633 206.279 204.34 207.482
207.949 215.581 204.204 207.065 204.828 207.97
207.949 218.066 208.916 209.421 205.473 208.615
207.949 215.38 210.487 206.874 205.185 208.327
207.949 217.238 207.345 208.636 204.894 208.036
207.949 215.581 204.204 207.065 204.919 208.061
207.949 216.752 204.204 208.176 205.117 208.259
