BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
2.99559 -1.41261 -0.60094 -2.60605 -0.552143
2.86417 2.6952 -0.725531 -1.8967 0.157206
3.37856 -1.41261 -0.237858 -2.12487 -0.0709629
3.0613 -3.46651 -0.538645 -2.27654 -0.222639
4.39607 2.6952 0.726799 -1.39983 0.654077
3.24715 2.6952 -0.362448 -1.83197 0.22193
2.51969 -4.49347 -1.05212 -2.71457 -0.660671
4.0131 2.6952 0.363717 -1.64303 0.410871
3.92017 -0.385658 0.275618 -1.92481 0.129093
4.07881 0.641294 0.426012 -2.08695 -0.0330438
3.92017 -0.385658 0.275618 -1.68684 0.367068
3.76154 -1.41261 0.125224 -1.82217 0.231736
3.92017 -0.385658 0.275618 -1.50835 0.54555
2.29535 -3.46651 -1.26481 -2.76295 -0.70905
3.5372 -0.385658 -0.0874644 -2.22751 -0.173606
3.92017 -0.385658 0.275618 -1.44886 0.605043
3.5372 -0.385658 -0.0874644 -2.46549 -0.411581
3.31286 0.641294 -0.300153 -3.1088 -1.0549
3.92017 -0.385658 0.275618 -1.9843 0.0695993
4.46178 0.641294 0.789094 -1.60577 0.448137
3.85446 1.66825 0.213323 -2.19482 -0.140917
4.0131 2.6952 0.363717 -1.82151 0.23239
3.31286 0.641294 -0.300153 -2.63285 -0.578948
3.69583 0.641294 0.0629293 -2.15167 -0.0977678
3.21993 -2.43956 -0.388252 -2.08172 -0.0278136
2.90267 -4.49347 -0.689039 -2.41188 -0.357971
2.83696 -2.43956 -0.751334 -2.26543 -0.211525
2.99559 -1.41261 -0.60094 -2.30858 -0.254675
3.76154 -1.41261 0.125224 -1.76267 0.29123
4.17173 3.72215 0.51411 -1.26973 0.784179
3.92017 -0.385658 0.275618 -1.44886 0.605043
4.52749 -1.41261 0.851389 -0.9193 1.1346
2.13672 -4.49347 -1.4152 -3.01727 -0.96337
3.37856 -1.41261 -0.237858 -2.06537 -0.0114691
4.07881 0.641294 0.426012 -1.84897 0.204931
4.07881 0.641294 0.426012 -1.96796 0.0859438
3.40578 3.72215 -0.212055 -1.57765 0.476249
3.76154 -1.41261 0.125224 -1.58419 0.469711
2.99559 -1.41261 -0.60094 -2.42757 -0.373662
3.5372 -0.385658 -0.0874644 -2.10852 -0.0546185
4.30315 -0.385658 0.6387 -1.62211 0.431792
4.14451 -1.41261 0.488307 -1.34099 0.712917
3.15422 -0.385658 -0.450547 -2.82768 -0.773774
3.0613 -3.46651 -0.538645 -1.86009 0.193817
3.44427 -3.46651 -0.175563 -2.15233 -0.0984216
3.08852 1.66825 -0.512842 -2.14579 -0.0918838
2.86417 2.6952 -0.725531 -2.07518 -0.0212758
2.13672 -4.49347 -1.4152 -2.7793 -0.725395
3.15422 -0.385658 -0.450547 -2.5897 -0.535799
4.07881 0.641294 0.426012 -1.611 0.442907
3.47149 1.66825 -0.149759 -2.43803 -0.384123
3.08852 1.66825 -0.512842 -2.50275 -0.448847
3.69583 0.641294 0.0629293 -2.38965 -0.335743
3.92017 -0.385658 0.275618 -1.44886 0.605043
2.61262 -1.41261 -0.964023 -2.96824 -0.914336
4.46178 0.641294 0.789094 -1.2488 0.8051
3.0613 -3.46651 -0.538645 -2.57401 -0.520108
3.63012 2.6952 0.000634197 -1.58877 0.465135
3.5372 -0.385658 -0.0874644 -2.16802 -0.114112
4.30315 -0.385658 0.6387 -1.08667 0.967236
3.31286 0.641294 -0.300153 -2.57336 -0.519455
2.32257 1.66825 -1.23901 -2.21574 -0.161838
2.32257 1.66825 -1.23901 -2.75119 -0.697282
2.67832 -3.46651 -0.901728 -2.63874 -0.584832
2.29535 -3.46651 -1.26481 -2.70346 -0.649556
2.86417 2.6952 -0.725531 -1.8372 0.216699
3.85446 1.66825 0.213323 -2.19482 -0.140917
2.83696 -2.43956 -0.751334 -2.32492 -0.271019
3.78876 3.72215 0.151028 -1.33445 0.719455
4.07881 0.641294 0.426012 -1.90847 0.145438
2.86417 2.6952 -0.725531 -2.01569 0.038218
1.68803 -2.43956 -1.84058 -3.53049 -1.47659
3.5372 -0.385658 -0.0874644 -2.70346 -0.649556
4.30315 -0.385658 0.6387 -0.908186 1.14572
3.0613 -3.46651 -0.538645 -2.21705 -0.163146
3.5372 -0.385658 -0.0874644 -2.16802 -0.114112
2.83696 -2.43956 -0.751334 -2.5629 -0.508994
3.92017 -0.385658 0.275618 -1.38937 0.664537
4.23744 1.66825 0.576405 -1.89212 0.161782
2.67832 -3.46651 -0.901728 -2.46025 -0.406351
2.70554 1.66825 -0.875924 -2.38899 -0.335089
4.30315 -0.385658 0.6387 -1.14616 0.907743
3.5372 -0.385658 -0.0874644 -2.58447 -0.530569
4.30315 -0.385658 0.6387 -1.08667 0.967236
4.62041 1.66825 0.939488 -1.7679 0.286
3.31286 0.641294 -0.300153 -2.27589 -0.221986
2.09823 2.6952 -1.4517 -2.38311 -0.329205
3.31286 0.641294 -0.300153 -2.33538 -0.281479
3.15422 -0.385658 -0.450547 -2.17325 -0.119342
2.67832 -3.46651 -0.901728 -2.63874 -0.584832
2.70554 1.66825 -0.875924 -2.09152 -0.0376202
3.47149 1.66825 -0.149759 -2.31904 -0.265135
3.15422 -0.385658 -0.450547 -2.76818 -0.71428
2.51969 -4.49347 -1.05212 -2.71457 -0.660671
3.5372 -0.385658 -0.0874644 -1.98953 0.0643691
3.31286 0.641294 -0.300153 -2.51386 -0.459961
3.37856 -1.41261 -0.237858 -1.64892 0.404987
3.76154 -1.41261 0.125224 -1.82217 0.231736
3.21993 -2.43956 -0.388252 -2.20071 -0.146801
3.0613 -3.46651 -0.538645 -2.39553 -0.341627
2.61262 -1.41261 -0.964023 -2.61128 -0.557374
3.69583 0.641294 0.0629293 -1.97319 0.0807136
2.92988 0.641294 -0.663235 -2.69758 -0.643672
4.30315 -0.385658 0.6387 -1.26515 0.788755
3.08852 1.66825 -0.512842 -2.44326 -0.389353
3.63012 2.6952 0.000634197 -1.64826 0.405641
2.16393 0.641294 -1.3894 -3.18399 -1.13008
2.4812 2.6952 -1.08861 -1.96142 0.0924816
3.24715 2.6952 -0.362448 -1.594 0.459905
3.15422 -0.385658 -0.450547 -2.11375 -0.0598487
3.5372 -0.385658 -0.0874644 -2.04903 0.00487532
3.0613 -3.46651 -0.538645 -2.09806 -0.044158
4.46178 0.641294 0.789094 -1.3083 0.745606
3.69583 0.641294 0.0629293 -2.38965 -0.335743
4.46178 0.641294 0.789094 -1.2488 0.8051
4.0131 2.6952 0.363717 -1.58354 0.470365
3.0613 -3.46651 -0.538645 -2.21705 -0.163146
4.46178 0.641294 0.789094 -1.2488 0.8051
4.46178 0.641294 0.789094 -1.60577 0.448137
3.85446 1.66825 0.213323 -2.49229 -0.438386
2.51969 -4.49347 -1.05212 -2.35761 -0.303708
2.13672 -4.49347 -1.4152 -3.43373 -1.37983
2.86417 2.6952 -0.725531 -1.95619 0.0977118
3.5372 -0.385658 -0.0874644 -2.22751 -0.173606
4.62041 1.66825 0.939488 -1.70841 0.345494
4.52749 -1.41261 0.851389 -1.15728 0.896628
3.15422 -0.385658 -0.450547 -2.76818 -0.71428
2.90267 -4.49347 -0.689039 -2.29289 -0.238984
3.0613 -3.46651 -0.538645 -2.09806 -0.044158
2.67832 -3.46651 -0.901728 -2.40076 -0.346857
2.77125 -0.385658 -0.813629 -3.07088 -1.01698
3.21993 -2.43956 -0.388252 -1.90324 0.150668
3.15422 -0.385658 -0.450547 -2.53021 -0.476305
4.46178 0.641294 0.789094 -1.42729 0.626618
4.07881 0.641294 0.426012 -1.5515 0.5024
2.67832 -3.46651 -0.901728 -2.40076 -0.346857
2.86417 2.6952 -0.725531 -1.95619 0.0977118
2.22964 -1.41261 -1.32711 -3.56841 -1.5145
4.46178 0.641294 0.789094 -1.36779 0.686112
3.92017 -0.385658 0.275618 -1.86532 0.188587
2.32257 1.66825 -1.23901 -2.75119 -0.697282
4.23744 1.66825 0.576405 -1.83263 0.221276
3.21993 -2.43956 -0.388252 -2.31969 -0.265789
2.83696 -2.43956 -0.751334 -2.5629 -0.508994
3.5372 -0.385658 -0.0874644 -2.22751 -0.173606
3.31286 0.641294 -0.300153 -2.69235 -0.638442
4.46178 0.641294 0.789094 -1.2488 0.8051
2.70554 1.66825 -0.875924 -2.03203 0.0218735
3.5372 -0.385658 -0.0874644 -2.46549 -0.411581
3.92017 -0.385658 0.275618 -1.32987 0.724031
4.07881 0.641294 0.426012 -1.84897 0.204931
3.24715 2.6952 -0.362448 -2.01046 0.0434482
3.24715 2.6952 -0.362448 -1.83197 0.22193
3.76154 -1.41261 0.125224 -1.58419 0.469711
4.14451 -1.41261 0.488307 -1.28149 0.772411
2.67832 -3.46651 -0.901728 -2.28177 -0.22787
3.15422 -0.385658 -0.450547 -2.88717 -0.833268
3.21993 -2.43956 -0.388252 -1.96273 0.091174
4.46178 0.641294 0.789094 -1.3083 0.745606
3.31286 0.641294 -0.300153 -2.51386 -0.459961
2.67832 -3.46651 -0.901728 -2.81722 -0.763314
3.37856 -1.41261 -0.237858 -1.88689 0.167012
3.0613 -3.46651 -0.538645 -2.33604 -0.282133
3.60291 -2.43956 -0.0251693 -1.83851 0.215392
3.24715 2.6952 -0.362448 -1.77248 0.281423
3.47149 1.66825 -0.149759 -1.96208 0.0918278
4.07881 0.641294 0.426012 -1.78948 0.264425
2.32257 1.66825 -1.23901 -2.33473 -0.280826
3.24715 2.6952 -0.362448 -1.65349 0.400411
3.5372 -0.385658 -0.0874644 -1.51358 0.540319
3.60291 -2.43956 -0.0251693 -1.77902 0.274886
3.69583 0.641294 0.0629293 -2.33015 -0.276249
