BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
0.173234 -4.62769 -2.85901 -5.04357 -2.50031
2.38161 0.458837 -1.21493 -2.73313 -0.189866
1.98875 -2.08442 -1.13779 -3.80497 -1.2617
3.24869 3.0021 -0.392885 -2.09682 0.446437
1.71096 -0.812794 -1.85074 -3.42286 -0.879598
0.958948 0.458837 -2.11411 -4.59427 -2.05101
2.57804 1.73047 -0.579111 -2.86023 -0.316964
3.05226 1.73047 -1.0287 -1.89606 0.647204
1.90739 0.458837 -1.21493 -3.54996 -1.0067
-0.775208 -4.62769 -3.75819 -5.42487 -2.8816
2.38161 0.458837 -1.21493 -3.39614 -0.852883
1.04031 -2.08442 -2.03697 -4.77561 -2.23235
1.90739 0.458837 -1.66452 -3.54996 -1.0067
-0.0231948 -5.89932 -3.04524 -5.06381 -2.52055
1.79232 -3.35606 -1.32402 -3.53053 -0.987268
1.43317 0.458837 -2.11411 -3.92478 -1.38152
2.26655 -3.35606 -0.874426 -2.56636 -0.0230993
2.57804 1.73047 -1.47829 -2.49188 0.0513789
0.647455 -4.62769 -2.40942 -4.74242 -2.19916
1.43317 0.458837 -2.56369 -3.70377 -1.16051
1.12168 -4.62769 -1.95983 -4.29393 -1.75067
1.51453 -2.08442 -1.58738 -4.40079 -1.85753
0.566091 -2.08442 -2.48656 -5.2241 -2.68084
2.6594 -0.812794 -0.951563 -2.89423 -0.350965
0.843883 -3.35606 -2.22319 -4.42751 -1.88424
1.79232 -3.35606 -1.32402 -3.16219 -0.618925
0.76252 -0.812794 -2.30033 -4.46717 -1.92391
2.10382 1.73047 -1.47829 -2.79303 -0.249772
2.57804 1.73047 -1.0287 -3.00756 -0.464302
3.13362 -0.812794 -0.501974 -2.51941 0.0238543
2.46297 -2.08442 -0.6882 -2.17778 0.365482
1.98875 -2.08442 -1.13779 -2.47893 0.0643316
2.38161 0.458837 -1.66452 -2.51212 0.0311402
2.85583 0.458837 -0.315748 -2.80032 -0.257058
3.24869 3.0021 -0.392885 -2.24416 0.2991
2.85583 0.458837 -0.765337 -3.16866 -0.625401
3.24869 3.0021 -0.392885 -1.50748 1.03579
-0.104558 -3.35606 -3.12237 -5.84016 -3.2969
2.93719 -2.08442 -0.23861 -2.31864 0.224622
2.10382 1.73047 -1.47829 -3.30871 -0.765452
0.76252 -0.812794 -2.30033 -4.46717 -1.92391
1.43317 0.458837 -2.11411 -4.36679 -1.82353
3.72291 3.0021 0.0567043 -1.94301 0.600251
2.85583 0.458837 -0.315748 -3.46334 -0.920076
2.85583 0.458837 -0.765337 -3.24233 -0.69907
-0.300987 -4.62769 -3.3086 -5.19738 -2.65412
0.843883 -3.35606 -2.22319 -3.98549 -1.44223
1.90739 0.458837 -1.66452 -2.88694 -0.343679
3.88564 -2.08442 0.660568 -1.79001 0.753255
-0.300987 -4.62769 -3.3086 -5.41839 -2.87513
2.46297 -2.08442 -0.6882 -3.28281 -0.739547
2.6594 -0.812794 -0.951563 -3.26257 -0.719308
3.05226 1.73047 -1.0287 -2.11706 0.426198
2.38161 0.458837 -1.21493 -3.10147 -0.558209
1.23674 -0.812794 -1.85074 -4.16602 -1.62276
1.98875 -2.08442 -1.58738 -3.21562 -0.672355
1.43317 0.458837 -1.66452 -3.85111 -1.30785
1.90739 0.458837 -1.66452 -3.32895 -0.785691
3.60784 -0.812794 0.397205 -2.43926 0.103999
0.843883 -3.35606 -2.22319 -4.35384 -1.81058
4.75271 0.458837 1.03302 -1.37471 1.16855
0.647455 -4.62769 -2.40942 -4.59508 -2.05182
1.3181 -3.35606 -1.7736 -3.75801 -1.21475
4.86778 4.27373 1.14211 -1.2468 1.29646
4.0007 1.73047 0.320068 -1.58843 0.954831
0.484728 0.458837 -3.01328 -4.23241 -1.68914
0.173234 -4.62769 -2.85901 -4.9699 -2.42664
1.3181 -3.35606 -2.22319 -4.34736 -1.8041
1.90739 0.458837 -2.11411 -3.6973 -1.15403
0.843883 -3.35606 -2.22319 -4.94319 -2.39992
0.0918704 -2.08442 -2.93615 -5.59892 -3.05566
1.43317 0.458837 -2.11411 -3.85111 -1.30785
1.79232 -3.35606 -1.32402 -2.86751 -0.32425
2.18518 -0.812794 -1.40115 -3.26905 -0.725785
0.0918704 -2.08442 -2.93615 -4.9359 -2.39264
1.3181 -3.35606 -1.7736 -3.53701 -0.993744
0.76252 -0.812794 -2.30033 -4.90919 -2.36592
2.10382 1.73047 -1.47829 -3.08771 -0.544446
3.24869 3.0021 -0.842475 -1.65481 0.888449
-0.300987 -4.62769 -3.3086 -5.05005 -2.50678
1.79232 -3.35606 -1.7736 -3.75154 -1.20827
2.57804 1.73047 -1.0287 -2.63922 -0.0959584
2.10382 1.73047 -1.92788 -3.01404 -0.470778
-0.971636 -5.89932 -3.94441 -6.25546 -3.7122
1.90739 0.458837 -2.11411 -3.18162 -0.638354
0.843883 -3.35606 -2.22319 -3.98549 -1.44223
0.369662 -3.35606 -2.67278 -5.097 -2.55374
1.23674 -0.812794 -2.30033 -4.01869 -1.47542
2.6594 -0.812794 -0.501974 -2.9679 -0.424634
3.05226 1.73047 -0.579111 -2.2644 0.278861
2.38161 0.458837 -1.21493 -2.88046 -0.337203
1.98875 -2.08442 -1.58738 -3.14195 -0.598686
0.173234 -4.62769 -2.85901 -5.19091 -2.64765
3.52648 1.73047 -0.129522 -2.47893 0.0643316
3.88564 -2.08442 0.660568 -1.42166 1.1216
0.647455 -4.62769 -2.40942 -4.96342 -2.42016
2.6594 -0.812794 -0.951563 -2.82056 -0.277297
1.04031 -2.08442 -2.48656 -4.62827 -2.08501
2.57804 1.73047 -0.579111 -3.22857 -0.685307
1.51453 -2.08442 -1.58738 -3.59044 -1.04717
2.38161 0.458837 -1.66452 -3.24881 -0.705546
2.10382 1.73047 -1.47829 -3.08771 -0.544446
-0.775208 -4.62769 -3.75819 -6.08788 -3.54462
0.958948 0.458837 -2.56369 -4.2996 -1.75634
0.288299 -0.812794 -3.19951 -4.47365 -1.93039
1.71096 -0.812794 -1.40115 -3.71753 -1.17427
0.843883 -3.35606 -2.22319 -3.76449 -1.22123
1.43317 0.458837 -2.11411 -4.14578 -1.60252
0.958948 0.458837 -2.11411 -4.15226 -1.609
1.23674 -0.812794 -1.85074 -4.23969 -1.69643
0.173234 -4.62769 -2.85901 -4.15955 -1.61628
2.26655 -3.35606 -0.874426 -2.56636 -0.0230993
-1.33079 -2.08442 -4.7345 -6.13403 -3.59077
2.85583 0.458837 -0.765337 -3.16866 -0.625401
2.57804 1.73047 -1.47829 -2.71289 -0.169627
2.57804 1.73047 -1.0287 -3.08123 -0.53797
-0.775208 -4.62769 -3.75819 -5.42487 -2.8816
2.38161 0.458837 -1.21493 -3.0278 -0.48454
1.23674 -0.812794 -2.30033 -3.87135 -1.32809
1.98875 -2.08442 -1.13779 -3.06828 -0.525017
-0.104558 -0.812794 -0.951563 -5.61916 -3.07589
2.6594 -0.812794 -0.951563 -3.26257 -0.719308
1.12168 -4.62769 -1.95983 -4.29393 -1.75067
0.647455 -4.62769 -2.40942 -4.59508 -2.05182
1.90739 0.458837 -1.66452 -3.32895 -0.785691
0.843883 -3.35606 -2.22319 -5.01685 -2.47359
1.3181 -3.35606 -1.7736 -3.16866 -0.625401
-0.104558 -3.35606 -3.12237 -5.25081 -2.70755
1.90739 0.458837 -2.11411 -3.03428 -0.491017
2.46297 -2.08442 -0.6882 -2.69346 -0.150198
0.288299 -0.812794 -2.74992 -4.91566 -2.3724
1.79232 -3.35606 -1.32402 -3.8252 -1.28194
1.90739 0.458837 -2.11411 -3.18162 -0.638354
2.46297 -2.08442 -0.6882 -2.47245 0.070808
2.18518 -0.812794 -1.40115 -3.63739 -1.09413
-0.971636 -5.89932 -3.94441 -6.55013 -4.00687
1.43317 0.458837 -1.66452 -4.21945 -1.67619
-0.300987 -4.62769 -3.3086 -4.90271 -2.35945
2.6594 -0.812794 -0.951563 -3.11523 -0.571971
2.57804 1.73047 -0.579111 -3.1549 -0.611639
0.173234 -4.62769 -2.85901 -5.41191 -2.86865
1.79232 -3.35606 -1.32402 -2.94118 -0.397919
1.98875 -2.08442 -1.13779 -3.87863 -1.33537
0.566091 0.458837 -0.315748 -5.66611 -3.12285
0.843883 -3.35606 -2.22319 -4.28017 -1.73691
0.76252 -0.812794 -2.30033 -4.54084 -1.99758
2.10382 1.73047 -1.47829 -2.8667 -0.323441
1.98875 -2.08442 -1.13779 -3.14195 -0.598686
-0.300987 -4.62769 -3.3086 -5.49206 -2.9488
2.57804 1.73047 -0.579111 -2.93389 -0.390633
1.6296 1.73047 -1.92788 -3.09418 -0.550923
1.43317 0.458837 -2.11411 -3.70377 -1.16051
0.288299 -0.812794 -2.74992 -4.69466 -2.15139
0.76252 -0.812794 -2.74992 -4.09883 -1.55557
1.90739 0.458837 -1.21493 -3.18162 -0.638354
3.05226 1.73047 -1.0287 -2.11706 0.426198
-0.971636 -3.35606 -1.7736 -6.55013 -4.00687
2.57804 1.73047 -1.47829 -2.86023 -0.316964
4.27849 0.458837 1.03302 -0.865506 1.67776
1.71096 -0.812794 -1.40115 -3.86487 -1.32161
3.33005 0.458837 -0.315748 -2.64651 -0.103244
1.23674 -0.812794 -2.30033 -3.79768 -1.25442
1.98875 -2.08442 -1.13779 -3.14195 -0.598686
3.33005 0.458837 -0.315748 -2.94118 -0.397919
1.71096 -0.812794 -1.40115 -4.15955 -1.61628
0.76252 -0.812794 -2.30033 -4.09883 -1.55557
3.41142 -2.08442 -0.23861 -2.75418 -0.210914
3.72291 3.0021 -0.392885 -1.79567 0.747588
1.43317 0.458837 -2.11411 -3.92478 -1.38152
3.33005 0.458837 -0.315748 -2.20449 0.338767
0.76252 -0.812794 -2.74992 -4.24617 -1.70291
0.76252 -0.812794 -2.30033 -4.09883 -1.55557
0.484728 0.458837 -2.56369 -4.52708 -1.98382
-0.300987 -4.62769 -3.3086 -5.78673 -3.24347
1.43317 0.458837 -2.11411 -4.07212 -1.52885
0.958948 0.458837 -3.01328 -4.07859 -1.53533
3.60784 -0.812794 0.397205 -1.26056 1.2827
1.43317 0.458837 -2.11411 -3.70377 -1.16051
1.43317 0.458837 -2.11411 -3.85111 -1.30785
0.843883 -3.35606 -2.22319 -4.42751 -1.88424
0.76252 -0.812794 -2.74992 -4.09883 -1.55557
1.98875 -2.08442 -1.58738 -3.87863 -1.33537
0.958948 0.458837 -2.56369 -4.37327 -1.83
0.647455 -4.62769 -2.40942 -4.00573 -1.46247
3.24869 3.0021 -0.392885 -1.94949 0.593774
3.41142 -2.08442 0.210979 -1.42814 1.11512
0.843883 -3.35606 -2.22319 -4.13283 -1.58957
2.46297 -2.08442 -0.6882 -2.54612 -0.00286066
1.6296 1.73047 -1.47829 -3.60986 -1.0666
2.57804 1.73047 -1.47829 -2.12354 0.419722
0.958948 0.458837 -2.11411 -4.15226 -1.609
