Area	ImageJ	Crofton2	Crofton4
2714.000	214.007	213.628	204.558
2714.000	216.007	215.199	206.454
2708.000	214.936	212.058	205.438
2711.000	213.279	208.916	204.423
2708.000	214.350	212.058	204.883
2710.000	214.652	202.633	205.169
2709.000	213.179	212.058	204.328
2715.000	215.681	197.920	206.145
2708.000	214.409	201.062	204.939
2719.000	214.853	196.350	205.359
2713.000	215.765	213.628	206.224
2711.000	214.007	213.628	205.113
2711.000	214.936	212.058	205.438
2718.000	214.693	210.487	205.764
2713.000	214.836	215.199	205.343
2708.000	214.267	196.350	204.804
2712.000	214.836	215.199	205.343
2707.000	214.066	202.633	204.613
2711.000	214.208	207.345	204.748
2713.000	214.593	213.628	205.113
2717.000	215.681	197.920	206.145
2709.000	215.421	215.199	205.898
2717.000	215.179	213.628	205.668
2714.000	213.681	196.350	204.249
2719.000	215.095	197.920	205.589
2712.000	213.439	194.779	204.019
2712.000	214.066	202.633	204.613
2713.000	214.510	197.920	205.034
2713.000	215.765	213.628	206.224
2716.000	213.765	212.058	204.883
2717.000	215.338	199.491	205.819
2707.000	215.179	213.628	205.668
2716.000	214.409	201.062	205.494
2705.000	213.581	199.491	204.153
2717.000	213.924	197.920	204.479
2718.000	214.108	210.487	205.208
2718.000	215.179	213.628	205.668
2713.000	215.338	199.491	205.819
2711.000	213.037	207.345	204.193
2711.000	215.179	213.628	205.668
2716.000	214.208	207.345	204.748
2711.000	215.421	215.199	205.898
2709.000	214.995	201.062	205.494
2711.000	214.610	194.779	205.129
2714.000	215.421	215.199	205.898
2717.000	214.208	207.345	205.304
2706.000	214.350	212.058	204.883
2717.000	215.865	210.487	206.874
2712.000	214.936	212.058	205.438
2713.000	215.179	213.628	205.668
2714.000	214.853	196.350	205.359
2713.000	215.664	216.770	206.128
2713.000	213.865	208.916	204.978
2714.000	214.108	210.487	205.208
2710.000	214.007	213.628	204.558
2702.000	213.338	197.920	203.923
2715.000	215.681	197.920	206.145
2717.000	215.380	207.345	205.859
2714.000	214.752	199.491	205.264
2708.000	214.066	202.633	204.613
2713.000	214.593	213.628	205.668
2717.000	213.865	208.916	204.978
2714.000	216.752	201.062	207.160
2723.000	214.409	201.062	204.939
2716.000	216.267	197.920	206.700
2718.000	214.007	213.628	205.113
2706.000	213.095	196.350	203.693
2711.000	213.765	212.058	204.883
2714.000	214.350	212.058	205.438
2715.000	214.066	202.633	205.169
2716.000	214.350	212.058	205.438
2709.000	212.693	208.916	203.312
2707.000	213.723	204.204	204.843
2711.000	213.581	199.491	204.153
2710.000	214.593	213.628	205.668
2709.000	214.451	208.916	205.534
2712.000	214.836	215.199	205.343
2709.000	214.752	199.491	205.264
2710.000	214.593	213.628	205.113
2715.000	215.966	207.345	206.414
2710.000	213.581	199.491	204.153
2715.000	215.723	205.774	206.184
2710.000	215.095	197.920	205.589
2716.000	214.752	199.491	205.264
2711.000	214.836	215.199	205.343
2710.000	213.966	205.774	205.073
2707.000	215.095	197.920	205.589
2714.000	215.765	213.628	206.224
2715.000	214.853	196.350	205.359
2713.000	214.309	204.204	204.843
2722.000	215.723	205.774	206.184
2715.000	214.936	212.058	205.994
2710.000	215.823	202.633	206.279
2717.000	213.966	205.774	204.518
2715.000	214.510	197.920	205.034
2719.000	216.995	202.633	207.390
2718.000	214.853	196.350	205.359
2716.000	215.179	213.628	206.224
2716.000	213.439	194.779	204.019
2711.000	214.007	213.628	205.113
2716.000	213.622	207.345	204.193
2705.000	214.510	197.920	205.034
2721.000	214.853	196.350	205.359
2718.000	214.836	215.199	205.343
2714.000	214.610	194.779	205.129
2718.000	214.836	215.199	205.343
2715.000	214.350	212.058	205.438
2718.000	214.108	210.487	205.208
2712.000	214.510	197.920	205.034
