Area	ImageJ	Crofton2	Crofton4
879.000	158.024	150.796	152.038
880.000	158.409	157.080	151.847
886.000	159.196	150.796	152.593
873.000	159.296	147.655	152.133
887.000	160.752	157.080	154.069
883.000	159.581	157.080	152.403
871.000	158.468	146.084	151.348
879.000	159.581	157.080	153.513
881.000	160.024	152.367	153.379
883.000	160.853	153.938	153.609
881.000	160.024	152.367	153.379
877.000	160.368	150.796	153.149
879.000	160.024	152.367	153.379
878.000	158.125	147.655	151.023
875.000	160.024	152.367	152.823
884.000	160.610	152.367	153.379
881.000	160.024	152.367	152.823
874.000	159.681	153.938	152.498
881.000	160.024	152.367	153.379
884.000	160.267	153.938	154.164
882.000	160.510	155.509	153.283
880.000	160.167	157.080	153.513
881.000	159.095	153.938	152.498
882.000	159.681	153.938	153.053
878.000	159.539	149.226	152.363
885.000	158.468	146.084	151.903
878.000	158.368	149.226	151.808
877.000	159.196	150.796	152.038
877.000	159.196	150.796	153.149
884.000	159.823	158.650	153.744
878.000	159.439	152.367	153.379
880.000	160.953	150.796	154.259
878.000	157.296	146.084	150.792
878.000	159.196	150.796	152.593
879.000	160.853	153.938	153.609
876.000	160.853	153.938	153.609
887.000	159.238	158.650	152.633
881.000	159.196	150.796	153.149
876.000	158.610	150.796	152.038
880.000	159.439	152.367	152.823
886.000	160.610	152.367	153.934
883.000	160.368	150.796	153.704
880.000	158.853	152.367	152.268
878.000	158.711	147.655	152.133
878.000	159.882	147.655	152.689
878.000	158.752	155.509	152.173
879.000	158.409	157.080	151.847
881.000	157.296	146.084	150.792
883.000	159.439	152.367	152.268
876.000	160.853	153.938	153.609
884.000	159.924	155.509	152.728
883.000	158.752	155.509	152.173
883.000	160.267	153.938	153.053
878.000	160.024	152.367	153.379
878.000	158.024	150.796	151.483
882.000	162.024	153.938	154.164
878.000	158.711	147.655	152.133
884.000	158.995	157.080	152.958
887.000	160.610	152.367	152.823
879.000	161.196	152.367	153.934
878.000	160.267	153.938	152.498
878.000	156.409	155.509	151.062
877.000	157.581	155.509	151.062
876.000	158.125	147.655	151.578
876.000	158.125	147.655	151.023
875.000	158.995	157.080	151.847
879.000	159.924	155.509	153.283
880.000	158.953	149.226	151.808
878.000	159.823	158.650	153.188
886.000	161.439	153.938	153.609
883.000	157.823	157.080	151.847
875.000	157.196	149.226	150.142
874.000	159.439	152.367	152.823
887.000	161.196	152.367	153.934
879.000	158.711	147.655	152.133
879.000	159.439	152.367	152.823
878.000	157.782	149.226	151.808
884.000	160.610	152.367	153.379
881.000	161.095	155.509	153.839
881.000	159.296	147.655	151.578
880.000	158.167	155.509	151.617
887.000	161.196	152.367	153.934
883.000	160.024	152.367	152.823
886.000	160.610	152.367	153.934
879.000	162.267	155.509	154.394
879.000	160.267	153.938	152.498
877.000	157.238	157.080	150.737
876.000	159.095	153.938	152.498
881.000	159.439	152.367	152.268
876.000	158.711	147.655	151.578
879.000	158.167	155.509	151.617
878.000	158.752	155.509	152.728
882.000	160.024	152.367	152.268
876.000	157.882	146.084	151.348
883.000	160.024	152.367	152.823
880.000	160.267	153.938	152.498
878.000	159.196	150.796	152.593
883.000	160.368	150.796	153.149
880.000	158.953	149.226	152.363
870.000	158.711	147.655	152.133
873.000	158.610	150.796	151.483
880.000	160.267	153.938	153.053
882.000	159.681	153.938	151.943
882.000	161.196	152.367	153.934
882.000	158.167	155.509	152.173
886.000	160.167	157.080	152.958
873.000	157.924	153.938	150.832
881.000	158.409	157.080	151.292
878.000	158.409	157.080	152.403
883.000	160.024	152.367	152.268
885.000	160.610	152.367	152.823
886.000	159.296	147.655	152.133
882.000	160.853	153.938	154.164
877.000	160.267	153.938	153.053
880.000	160.853	153.938	154.164
881.000	160.167	157.080	153.513
878.000	158.711	147.655	152.133
877.000	160.267	153.938	154.164
885.000	160.853	153.938	154.164
882.000	160.510	155.509	153.283
881.000	157.882	146.084	151.348
886.000	157.296	146.084	150.792
875.000	158.409	157.080	151.847
879.000	159.439	152.367	152.823
876.000	161.095	155.509	154.394
881.000	160.953	150.796	154.259
881.000	159.439	152.367	152.268
875.000	158.468	146.084	151.903
880.000	159.296	147.655	152.133
880.000	158.125	147.655	151.578
876.000	158.267	152.367	151.713
881.000	159.539	149.226	152.363
877.000	159.439	152.367	152.268
880.000	160.853	153.938	154.164
880.000	160.267	153.938	153.609
883.000	158.711	147.655	151.578
882.000	157.823	157.080	151.847
876.000	157.439	150.796	150.927
879.000	160.853	153.938	154.164
876.000	160.610	152.367	153.379
879.000	157.581	155.509	151.062
880.000	161.681	155.509	153.839
877.000	158.368	149.226	152.363
880.000	157.782	149.226	151.808
877.000	160.024	152.367	152.823
878.000	159.681	153.938	152.498
879.000	161.439	153.938	154.164
879.000	157.581	155.509	151.617
884.000	159.439	152.367	152.823
880.000	159.439	152.367	153.379
878.000	160.267	153.938	153.609
883.000	158.995	157.080	152.403
882.000	158.995	157.080	152.403
883.000	160.368	150.796	153.149
878.000	160.368	150.796	153.704
879.000	158.125	147.655	151.578
878.000	159.439	152.367	152.268
882.000	159.539	149.226	152.363
879.000	160.853	153.938	154.164
881.000	159.681	153.938	152.498
888.000	158.125	147.655	151.578
887.000	159.196	150.796	152.593
881.000	158.711	147.655	152.133
879.000	160.125	149.226	152.919
881.000	159.581	157.080	152.403
881.000	158.752	155.509	152.728
882.000	161.439	153.938	153.609
873.000	157.581	155.509	151.062
878.000	158.409	157.080	152.403
883.000	160.610	152.367	152.823
886.000	159.539	149.226	152.919
881.000	160.853	153.938	153.053
882.000	162.267	155.509	154.950
877.000	160.024	152.367	152.823
880.000	160.610	152.367	153.934
881.000	158.125	147.655	151.023
881.000	160.024	152.367	153.379
875.000	159.196	150.796	152.038
884.000	160.853	153.938	153.609
881.000	159.681	153.938	153.053
877.000	159.296	147.655	152.133
880.000	157.782	149.226	151.808
887.000	157.823	157.080	151.847
882.000	160.853	153.938	153.053
881.000	158.368	149.226	152.363
878.000	158.752	155.509	152.173
886.000	160.853	153.938	153.053
884.000	160.267	153.938	153.053
889.000	160.853	153.938	154.164
876.000	159.439	152.367	152.268
886.000	158.995	157.080	152.403
881.000	160.267	153.938	153.609
882.000	157.539	147.655	151.578
882.000	159.581	157.080	152.958
879.000	160.853	153.938	153.053
875.000	157.238	157.080	151.292
875.000	160.024	152.367	152.823
880.000	160.368	150.796	153.149
882.000	158.752	155.509	152.173
882.000	160.167	157.080	153.513
880.000	160.853	153.938	153.053
884.000	157.439	150.796	150.927
880.000	159.782	150.796	152.593
875.000	160.267	153.938	153.609
884.000	158.409	157.080	151.847
881.000	161.095	155.509	153.839
879.000	160.267	153.938	153.609
883.000	160.368	150.796	153.704
882.000	158.995	157.080	152.958
878.000	159.296	147.655	152.133
879.000	158.610	150.796	152.038
874.000	158.711	147.655	151.578
881.000	160.853	153.938	153.609
885.000	160.167	157.080	153.513
876.000	158.510	153.938	151.387
880.000	159.539	149.226	152.919
877.000	159.338	155.509	152.173
882.000	158.125	147.655	151.578
881.000	160.024	152.367	152.823
889.000	160.368	150.796	153.149
875.000	160.024	152.367	152.268
885.000	158.167	155.509	152.173
880.000	159.681	153.938	152.498
882.000	160.853	153.938	154.164
879.000	159.439	152.367	152.823
880.000	160.167	157.080	152.958
882.000	160.953	150.796	153.704
873.000	158.610	150.796	152.593
882.000	158.953	149.226	152.363
884.000	160.853	153.938	154.164
879.000	160.853	153.938	153.053
887.000	159.095	153.938	152.498
879.000	160.024	152.367	152.823
878.000	160.853	153.938	154.164
879.000	159.439	152.367	152.823
880.000	161.681	155.509	154.394
878.000	158.953	149.226	152.919
881.000	160.368	150.796	153.149
881.000	158.024	150.796	152.038
878.000	160.368	150.796	153.704
881.000	158.711	147.655	152.133
879.000	158.409	157.080	152.403
877.000	159.681	153.938	153.053
876.000	158.610	150.796	151.483
877.000	160.853	153.938	153.609
881.000	160.368	150.796	153.149
882.000	158.752	155.509	151.062
882.000	158.752	155.509	152.173
874.000	160.267	153.938	153.053
