Area	ImageJ	Crofton2	Crofton4
2295.000	196.066	188.496	187.548
2302.000	195.622	193.208	187.683
2301.000	195.622	193.208	187.683
2308.000	195.823	186.925	187.318
2297.000	194.794	191.637	186.898
2307.000	196.451	194.779	188.468
2306.000	196.510	183.783	187.414
2301.000	196.551	191.637	188.564
2297.000	194.208	191.637	186.342
2300.000	196.794	193.208	188.794
2305.000	195.095	182.212	186.628
2300.000	194.894	188.496	186.993
2299.000	196.794	193.208	188.794
2300.000	196.024	180.642	187.509
2299.000	196.652	188.496	188.104
2298.000	196.510	183.783	187.969
2302.000	195.581	185.354	187.088
2301.000	194.652	186.925	186.763
2301.000	197.581	186.925	188.984
2303.000	195.622	193.208	187.683
2296.000	194.794	191.637	186.898
2297.000	196.066	188.496	187.548
2309.000	196.451	194.779	188.468
2306.000	197.137	191.637	189.119
2296.000	194.551	190.066	186.668
2298.000	197.681	183.783	189.080
2307.000	195.966	191.637	188.008
2298.000	196.752	185.354	188.199
2302.000	197.338	185.354	188.754
2302.000	195.723	190.066	187.778
2298.000	197.137	191.637	189.119
2301.000	197.681	183.783	189.080
2305.000	195.095	182.212	186.628
2305.000	197.723	191.637	188.564
2303.000	196.167	185.354	187.644
2292.000	195.823	186.925	187.318
2296.000	194.652	186.925	186.763
2302.000	197.338	185.354	188.754
2306.000	195.480	188.496	187.548
2297.000	195.137	190.066	187.223
2306.000	197.622	194.779	189.579
2299.000	197.095	183.783	188.524
2301.000	196.208	193.208	188.238
2301.000	197.095	183.783	187.969
2301.000	196.551	191.637	188.564
2302.000	195.622	193.208	187.683
2303.000	196.208	193.208	188.238
2300.000	196.551	191.637	188.008
2301.000	196.208	193.208	188.238
2294.000	194.409	185.354	185.978
2295.000	196.024	180.642	187.509
2301.000	197.380	193.208	189.349
2302.000	195.966	191.637	188.008
2296.000	195.480	188.496	187.548
2293.000	194.409	185.354	186.533
2304.000	197.480	190.066	188.889
2301.000	195.823	186.925	187.874
2308.000	197.681	183.783	189.080
2298.000	197.137	191.637	189.119
2293.000	194.167	183.783	186.303
2301.000	195.439	180.642	186.953
2306.000	195.723	190.066	187.778
2302.000	197.681	183.783	189.080
2305.000	197.037	194.779	189.024
2294.000	197.095	183.783	188.524
2293.000	194.894	188.496	186.993
2296.000	197.924	185.354	189.310
2305.000	195.823	186.925	187.318
2307.000	196.794	193.208	188.794
2306.000	195.380	191.637	187.453
2307.000	197.581	186.925	188.984
2308.000	196.551	191.637	188.564
2303.000	196.309	190.066	188.334
2300.000	195.723	190.066	187.778
2299.000	195.622	193.208	187.683
2306.000	196.267	182.212	187.739
2304.000	196.451	194.779	188.468
2307.000	195.823	186.925	187.318
2303.000	197.439	182.212	188.294
2308.000	195.137	190.066	187.223
2300.000	194.794	191.637	186.898
2306.000	196.510	183.783	187.414
2297.000	195.681	182.212	187.184
2303.000	195.095	182.212	186.628
2301.000	196.794	193.208	188.238
2301.000	196.267	182.212	187.739
2297.000	196.752	185.354	188.199
2302.000	196.752	185.354	188.199
2304.000	195.338	183.783	186.858
2298.000	198.208	194.779	189.579
2299.000	195.823	186.925	187.874
