Area	ImageJ	Crofton2	Crofton4
835.000	125.640	119.381	121.335
836.000	126.368	124.093	122.025
836.000	126.368	124.093	122.025
833.000	125.054	119.381	120.780
831.000	125.054	119.381	120.780
831.000	126.225	119.381	121.335
832.000	125.054	119.381	120.780
838.000	126.225	119.381	121.891
831.000	126.125	122.522	121.795
831.000	127.640	120.951	122.121
836.000	127.882	122.522	122.351
836.000	124.225	117.810	119.995
833.000	126.468	120.951	121.565
827.000	125.397	117.810	121.105
837.000	127.539	124.093	123.136
829.000	125.640	119.381	121.335
836.000	126.368	124.093	122.025
833.000	125.539	122.522	121.240
835.000	126.125	122.522	121.240
837.000	125.397	117.810	121.105
835.000	125.782	124.093	120.915
837.000	125.397	117.810	120.550
830.000	127.296	122.522	122.351
834.000	125.539	122.522	121.240
839.000	126.953	124.093	122.025
837.000	127.882	122.522	122.351
831.000	127.054	120.951	122.121
837.000	125.782	124.093	121.470
839.000	126.711	122.522	121.795
840.000	126.125	122.522	121.240
834.000	126.468	120.951	122.121
830.000	124.953	122.522	120.685
832.000	126.811	119.381	121.891
838.000	125.539	122.522	120.685
834.000	125.640	119.381	121.335
835.000	125.782	124.093	121.470
832.000	124.711	120.951	119.344
835.000	124.811	117.810	120.550
839.000	124.953	122.522	120.685
828.000	125.640	119.381	120.780
837.000	126.368	124.093	122.025
832.000	124.953	122.522	120.129
832.000	124.368	122.522	120.129
834.000	126.125	122.522	121.240
834.000	126.368	124.093	122.025
833.000	125.782	124.093	121.470
828.000	125.397	117.810	119.995
835.000	126.468	120.951	121.565
836.000	126.711	122.522	122.351
839.000	125.640	119.381	120.780
833.000	127.054	120.951	122.121
827.000	123.983	116.239	119.209
837.000	126.811	119.381	121.891
834.000	126.711	122.522	122.351
831.000	125.539	122.522	121.240
837.000	126.468	120.951	122.121
833.000	126.368	124.093	121.470
833.000	125.640	119.381	121.335
837.000	127.882	122.522	122.906
836.000	126.711	122.522	122.351
837.000	125.539	122.522	120.129
836.000	127.054	120.951	122.121
841.000	127.054	120.951	122.121
836.000	127.054	120.951	122.121
836.000	125.882	120.951	121.565
836.000	128.125	124.093	123.136
830.000	125.882	120.951	121.010
830.000	126.468	120.951	121.565
829.000	126.368	124.093	121.470
830.000	126.711	122.522	121.795
836.000	127.640	120.951	122.121
833.000	126.468	120.951	121.565
833.000	127.196	125.664	122.811
832.000	127.054	120.951	122.121
835.000	126.125	122.522	121.795
833.000	128.125	124.093	123.136
835.000	126.225	119.381	121.335
837.000	127.882	122.522	122.906
829.000	124.953	122.522	120.129
840.000	124.811	117.810	120.550
837.000	126.368	124.093	121.470
830.000	127.397	119.381	121.891
833.000	125.983	117.810	121.105
835.000	124.225	117.810	119.995
835.000	126.711	122.522	122.351
836.000	125.539	122.522	120.685
833.000	124.953	122.522	120.685
837.000	127.882	122.522	122.906
830.000	125.782	124.093	120.915
834.000	126.225	119.381	121.335
833.000	127.882	122.522	122.351
832.000	125.882	120.951	121.565
839.000	127.640	120.951	122.676
829.000	124.953	122.522	120.685
837.000	126.225	119.381	121.335
833.000	126.368	124.093	122.025
838.000	125.539	122.522	120.685
831.000	124.953	122.522	120.129
830.000	127.296	122.522	122.351
836.000	127.640	120.951	122.121
835.000	127.882	122.522	122.906
831.000	125.882	120.951	121.010
830.000	124.368	122.522	120.129
842.000	124.811	117.810	120.550
836.000	126.468	120.951	121.565
836.000	125.882	120.951	121.565
832.000	126.953	124.093	122.025
835.000	125.054	119.381	120.780
832.000	126.711	122.522	121.795
834.000	123.983	116.239	119.764
835.000	125.882	120.951	121.565
833.000	125.640	119.381	120.780
834.000	125.782	124.093	121.470
838.000	126.711	122.522	122.351
835.000	126.711	122.522	121.795
833.000	125.397	117.810	120.550
834.000	126.468	120.951	121.565
836.000	126.368	124.093	122.025
840.000	125.882	120.951	121.565
836.000	126.468	120.951	122.121
833.000	124.953	122.522	120.685
832.000	125.397	117.810	121.105
837.000	125.640	119.381	121.335
833.000	125.640	119.381	121.335
831.000	125.882	120.951	121.010
835.000	126.953	124.093	122.025
830.000	125.882	120.951	121.010
834.000	127.054	120.951	122.121
835.000	127.296	122.522	122.351
831.000	125.640	119.381	120.780
832.000	124.225	117.810	119.995
833.000	124.953	122.522	120.129
839.000	127.054	120.951	122.121
834.000	127.640	120.951	122.676
834.000	125.539	122.522	120.685
834.000	126.711	122.522	121.795
834.000	127.640	120.951	122.676
833.000	126.468	120.951	121.565
836.000	127.054	120.951	122.121
831.000	123.539	120.951	118.788
830.000	125.882	120.951	121.010
832.000	125.539	122.522	120.685
829.000	123.983	116.239	119.209
836.000	125.397	117.810	121.105
829.000	125.397	117.810	120.550
829.000	125.539	122.522	120.685
834.000	125.782	124.093	121.470
834.000	125.196	124.093	120.359
836.000	127.296	122.522	122.351
836.000	126.368	124.093	122.025
836.000	126.953	124.093	122.025
828.000	124.368	122.522	119.574
834.000	126.711	122.522	122.351
838.000	126.811	119.381	121.891
831.000	125.539	122.522	121.240
830.000	126.125	122.522	121.795
833.000	127.539	124.093	122.581
839.000	126.468	120.951	121.565
838.000	128.468	122.522	122.906
838.000	126.711	122.522	122.351
831.000	127.054	120.951	122.121
837.000	127.296	122.522	122.351
836.000	124.953	122.522	120.685
828.000	125.640	119.381	120.780
834.000	126.125	122.522	121.795
835.000	127.054	120.951	122.676
836.000	124.225	117.810	119.995
835.000	125.782	124.093	120.915
839.000	124.811	117.810	119.995
829.000	124.811	117.810	119.995
834.000	124.811	117.810	120.550
832.000	127.882	122.522	122.351
833.000	125.054	119.381	120.780
830.000	126.125	122.522	121.240
832.000	127.296	122.522	121.795
833.000	127.640	120.951	122.121
836.000	126.368	124.093	122.025
830.000	126.225	119.381	121.335
840.000	127.882	122.522	122.906
832.000	124.368	122.522	120.129
835.000	125.782	124.093	120.915
834.000	127.296	122.522	122.906
829.000	125.640	119.381	120.780
837.000	125.640	119.381	121.335
841.000	125.782	124.093	121.470
833.000	126.953	124.093	122.581
837.000	124.225	117.810	119.995
836.000	125.782	124.093	120.915
838.000	128.225	120.951	122.676
834.000	125.397	117.810	121.105
839.000	126.125	122.522	121.240
831.000	125.539	122.522	120.685
835.000	126.953	124.093	122.025
837.000	126.953	124.093	122.581
836.000	126.468	120.951	121.565
833.000	127.640	120.951	122.121
833.000	125.539	122.522	121.240
833.000	127.054	120.951	122.121
837.000	125.782	124.093	121.470
834.000	124.953	122.522	120.129
832.000	126.125	122.522	121.795
835.000	125.882	120.951	121.565
836.000	127.296	122.522	122.351
836.000	125.539	122.522	120.685
836.000	127.054	120.951	122.676
834.000	126.711	122.522	121.795
