Area	ImageJ	Crofton2	Crofton4
837.000	130.468	124.093	124.802
842.000	132.468	125.664	127.254
844.000	132.468	125.664	126.698
844.000	132.811	124.093	127.024
843.000	132.953	128.805	127.158
841.000	131.054	124.093	125.358
841.000	134.368	130.376	128.499
837.000	131.782	128.805	126.603
841.000	132.368	128.805	127.714
836.000	131.196	128.805	126.603
845.000	132.468	125.664	126.698
842.000	133.882	127.235	128.594
837.000	131.397	122.522	125.683
840.000	130.610	128.805	126.048
846.000	133.054	125.664	127.809
836.000	130.953	127.235	125.818
841.000	131.539	127.235	126.373
846.000	130.024	128.805	125.492
840.000	131.882	125.664	126.698
846.000	132.811	124.093	127.024
840.000	133.782	130.376	127.944
842.000	134.610	131.947	128.729
841.000	131.054	124.093	125.358
835.000	131.296	125.664	126.143
837.000	130.125	125.664	125.588
841.000	131.539	127.235	126.373
840.000	130.024	128.805	126.048
843.000	133.782	130.376	128.499
841.000	132.468	125.664	126.698
838.000	131.539	127.235	126.373
837.000	131.640	124.093	126.468
838.000	132.711	127.235	126.928
843.000	130.853	130.376	125.722
841.000	130.711	125.664	125.588
843.000	131.439	130.376	126.278
837.000	131.539	127.235	126.928
843.000	130.711	125.664	125.588
838.000	131.539	127.235	125.818
839.000	132.125	127.235	126.928
845.000	132.468	125.664	126.698
833.000	129.539	125.664	124.477
838.000	131.539	127.235	126.373
843.000	130.711	125.664	125.588
839.000	130.225	122.522	125.127
839.000	133.054	125.664	127.809
844.000	133.640	125.664	127.809
838.000	134.024	131.947	128.174
839.000	131.882	125.664	126.698
840.000	132.468	125.664	127.254
832.000	129.983	120.951	124.342
835.000	131.296	125.664	126.143
846.000	132.125	127.235	126.373
833.000	129.539	125.664	125.032
835.000	130.125	125.664	125.032
837.000	131.397	122.522	125.683
841.000	132.610	130.376	127.388
840.000	131.539	127.235	126.373
842.000	131.296	125.664	125.588
841.000	134.125	128.805	128.269
839.000	132.368	128.805	127.714
839.000	132.125	127.235	126.928
845.000	132.468	125.664	126.698
843.000	133.782	130.376	127.944
838.000	133.196	130.376	127.944
844.000	132.953	128.805	127.158
842.000	132.225	124.093	127.024
840.000	130.610	128.805	126.048
841.000	133.782	130.376	127.944
842.000	131.640	124.093	125.913
836.000	132.610	130.376	127.388
841.000	132.711	127.235	127.484
844.000	133.882	127.235	128.039
840.000	130.953	127.235	125.818
842.000	131.296	125.664	126.143
839.000	132.711	127.235	127.484
839.000	132.953	128.805	127.714
836.000	131.296	125.664	125.588
840.000	131.539	127.235	126.373
840.000	131.539	127.235	125.818
834.000	131.640	124.093	125.913
847.000	130.368	127.235	125.818
838.000	131.640	124.093	125.913
848.000	131.882	125.664	126.698
837.000	131.054	124.093	125.913
847.000	133.054	125.664	127.809
844.000	132.368	128.805	127.714
842.000	130.225	122.522	124.572
842.000	129.983	120.951	124.897
843.000	132.368	128.805	127.158
836.000	131.054	124.093	125.358
843.000	133.640	125.664	127.809
842.000	131.296	125.664	125.588
