Area	ImageJ	Crofton2	Crofton4
738.000	123.154	114.668	118.424
739.000	125.640	119.381	120.225
737.000	124.569	116.239	119.209
738.000	124.669	113.097	119.304
744.000	125.154	116.239	119.764
739.000	123.539	120.951	118.788
739.000	123.882	119.381	119.114
741.000	123.439	124.093	119.249
738.000	125.782	124.093	120.359
736.000	123.640	117.810	118.884
744.000	124.326	114.668	119.534
740.000	122.468	117.810	117.773
739.000	124.225	117.810	118.884
731.000	124.912	114.668	119.534
741.000	125.439	125.664	120.589
735.000	123.782	122.522	119.019
741.000	125.397	117.810	119.439
737.000	124.225	117.810	118.884
735.000	122.953	120.951	118.233
740.000	123.154	114.668	118.424
739.000	123.054	117.810	118.328
738.000	125.196	124.093	120.359
736.000	122.811	116.239	118.098
736.000	123.782	122.522	119.019
742.000	125.154	116.239	119.764
733.000	125.154	116.239	119.209
741.000	126.024	125.664	120.589
738.000	123.054	117.810	118.328
740.000	125.054	119.381	119.669
736.000	122.468	117.810	117.773
736.000	123.882	119.381	119.114
742.000	124.125	120.951	118.788
736.000	122.368	120.951	118.233
740.000	122.853	124.093	118.693
739.000	126.326	116.239	120.875
741.000	126.024	125.664	120.589
734.000	124.912	114.668	119.534
739.000	124.267	125.664	119.479
734.000	122.125	119.381	117.448
736.000	123.740	114.668	118.424
735.000	124.610	124.093	119.804
737.000	124.610	124.093	119.804
738.000	124.326	114.668	119.534
735.000	123.983	116.239	118.654
739.000	125.439	125.664	120.589
740.000	124.083	113.097	119.304
742.000	126.853	127.235	121.375
738.000	124.326	114.668	119.534
748.000	124.912	114.668	119.534
742.000	124.711	120.951	119.344
740.000	126.024	125.664	120.589
740.000	125.740	116.239	120.875
738.000	123.539	120.951	118.788
736.000	123.054	117.810	118.328
737.000	123.439	124.093	119.249
743.000	126.569	117.810	121.105
737.000	124.225	117.810	119.439
736.000	123.882	119.381	119.114
732.000	123.740	114.668	118.979
742.000	126.083	114.668	120.645
740.000	125.054	119.381	119.669
742.000	123.882	119.381	118.558
739.000	123.154	114.668	118.424
736.000	123.539	120.951	118.788
740.000	123.882	119.381	119.114
738.000	123.782	122.522	119.019
743.000	125.740	116.239	120.875
743.000	124.368	122.522	119.574
734.000	124.610	124.093	119.249
740.000	124.267	125.664	120.034
742.000	124.368	122.522	119.574
740.000	124.711	120.951	119.899
737.000	124.368	122.522	119.574
735.000	123.782	122.522	119.019
739.000	125.154	116.239	119.764
732.000	124.669	113.097	119.860
734.000	123.497	113.097	118.749
742.000	124.368	122.522	119.574
740.000	123.681	125.664	119.479
737.000	123.782	122.522	119.574
735.000	124.912	114.668	119.534
743.000	124.326	114.668	119.534
737.000	125.681	127.235	120.819
746.000	125.154	116.239	120.320
743.000	126.326	116.239	120.875
740.000	125.196	124.093	120.359
739.000	123.882	119.381	119.114
733.000	124.225	117.810	118.884
741.000	124.225	117.810	119.439
742.000	124.811	117.810	119.439
738.000	124.125	120.951	119.344
738.000	126.267	127.235	121.375
736.000	125.497	114.668	120.090
735.000	123.882	119.381	119.114
735.000	124.024	124.093	119.249
740.000	124.225	117.810	119.439
740.000	126.024	125.664	120.589
736.000	123.397	116.239	118.654
734.000	124.912	114.668	119.534
741.000	125.983	117.810	120.550
740.000	123.397	116.239	118.098
736.000	124.368	122.522	119.019
738.000	123.539	120.951	118.788
738.000	124.125	120.951	119.344
741.000	125.154	116.239	119.764
737.000	125.439	125.664	120.589
742.000	124.811	117.810	119.995
736.000	123.296	119.381	118.558
738.000	124.024	124.093	119.804
734.000	125.497	114.668	120.090
739.000	122.468	117.810	117.773
738.000	124.610	124.093	119.804
739.000	124.853	125.664	120.034
734.000	123.782	122.522	119.019
741.000	122.953	120.951	118.788
740.000	125.439	125.664	120.589
742.000	124.083	113.097	119.304
737.000	123.740	114.668	118.979
740.000	123.782	122.522	119.019
738.000	123.296	119.381	118.558
739.000	124.125	120.951	119.344
739.000	123.054	117.810	118.328
738.000	124.610	124.093	119.804
742.000	124.368	122.522	119.574
743.000	123.439	124.093	119.249
742.000	125.740	116.239	120.320
742.000	126.024	125.664	120.589
742.000	125.196	124.093	120.359
740.000	123.882	119.381	119.114
741.000	126.326	116.239	120.875
739.000	123.882	119.381	119.114
741.000	125.740	116.239	120.320
737.000	124.610	124.093	119.804
738.000	126.267	127.235	121.375
741.000	123.054	117.810	118.328
741.000	125.740	116.239	120.320
737.000	123.640	117.810	118.328
739.000	124.912	114.668	120.090
738.000	122.811	116.239	118.098
739.000	126.912	116.239	120.875
737.000	123.196	122.522	118.463
742.000	125.154	116.239	119.764
737.000	125.497	114.668	120.090
742.000	124.711	120.951	119.899
740.000	123.782	122.522	119.574
740.000	123.054	117.810	118.884
741.000	125.497	114.668	120.090
742.000	126.853	127.235	121.375
742.000	124.569	116.239	119.764
738.000	125.154	116.239	119.764
739.000	125.782	124.093	120.359
740.000	125.782	124.093	120.359
741.000	126.569	117.810	120.550
741.000	123.882	119.381	119.669
740.000	123.640	117.810	118.884
743.000	124.669	113.097	119.860
739.000	124.225	117.810	119.439
741.000	124.569	116.239	119.764
739.000	125.740	116.239	120.320
739.000	123.882	119.381	119.114
737.000	125.497	114.668	120.090
736.000	123.539	120.951	118.788
739.000	124.811	117.810	119.995
737.000	125.397	117.810	120.550
744.000	125.782	124.093	120.359
741.000	123.397	116.239	118.654
739.000	125.740	116.239	120.320
740.000	124.953	122.522	120.129
740.000	126.326	116.239	121.431
743.000	124.953	122.522	120.129
739.000	122.711	119.381	118.003
741.000	124.368	122.522	119.574
738.000	125.439	125.664	120.589
737.000	124.912	114.668	120.090
737.000	124.669	113.097	119.304
741.000	125.681	127.235	120.819
736.000	123.255	111.527	118.519
740.000	125.497	114.668	120.090
739.000	125.740	116.239	120.320
742.000	124.083	113.097	119.304
739.000	124.083	113.097	119.304
740.000	125.681	127.235	120.819
742.000	123.497	113.097	118.749
738.000	125.439	125.664	120.034
737.000	125.740	116.239	120.320
741.000	124.083	113.097	119.304
736.000	125.497	114.668	120.090
745.000	124.267	125.664	120.034
742.000	123.983	116.239	118.654
742.000	125.740	116.239	120.875
741.000	123.296	119.381	119.114
736.000	124.853	125.664	120.034
740.000	126.024	125.664	121.145
736.000	125.439	125.664	120.589
742.000	123.782	122.522	119.574
740.000	127.154	117.810	121.105
741.000	124.953	122.522	120.129
739.000	123.681	125.664	119.479
739.000	124.853	125.664	120.034
735.000	125.497	114.668	119.534
735.000	123.296	119.381	118.558
738.000	125.497	114.668	120.090
739.000	126.267	127.235	121.375
737.000	124.912	114.668	120.090
741.000	122.912	113.097	118.194
739.000	123.539	120.951	118.788
737.000	125.740	116.239	119.764
741.000	123.640	117.810	118.884
741.000	123.296	119.381	119.114
739.000	126.267	127.235	121.375
739.000	123.882	119.381	119.114
739.000	123.681	125.664	119.479
738.000	124.326	114.668	118.979
740.000	124.610	124.093	119.804
741.000	124.669	113.097	119.304
737.000	124.267	125.664	120.034
739.000	124.267	125.664	120.034
737.000	125.740	116.239	120.875
741.000	124.468	119.381	119.669
742.000	124.024	124.093	119.249
739.000	123.255	111.527	118.519
734.000	123.539	120.951	118.788
740.000	124.912	114.668	119.534
743.000	124.853	125.664	120.034
743.000	126.912	116.239	121.431
739.000	124.083	113.097	118.749
742.000	124.267	125.664	120.034
736.000	123.397	116.239	118.098
745.000	124.569	116.239	119.764
743.000	126.912	116.239	121.431
732.000	123.740	114.668	118.424
738.000	124.953	122.522	120.129
734.000	124.083	113.097	118.749
736.000	124.669	113.097	119.304
