Reference   BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
159.82 165.439 160.221 159.527 156.489 159.631
159.82 166.267 161.792 160.313 157.159 160.301
159.82 165.782 158.65 159.852 157.473 160.615
159.82 164.853 160.221 158.972 156.117 159.259
159.82 165.338 163.363 159.432 157.077 160.219
159.82 165.539 157.08 159.622 156.993 160.135
159.82 165.782 158.65 159.852 157.473 160.615
159.82 165.338 163.363 159.432 157.077 160.219
159.82 165.095 161.792 159.202 156.506 159.648
159.82 167.196 160.221 161.193 157.878 161.02
159.82 164.468 153.938 158.607 156.207 159.349
159.82 164.368 157.08 158.512 155.885 159.027
159.82 164.853 160.221 158.972 156.39 159.532
159.82 165.539 157.08 159.622 156.629 159.771
159.82 165.924 163.363 159.987 156.63 159.772
159.82 164.267 160.221 158.416 155.563 158.705
159.82 166.368 158.65 160.408 157.299 160.441
159.82 164.468 153.938 158.607 155.934 159.076
159.82 165.782 158.65 159.852 157.109 160.251
159.82 165.539 157.08 159.622 157.266 160.408
159.82 163.924 161.792 158.091 155.944 159.086
159.82 165.681 161.792 159.757 156.969 160.111
159.82 165.681 161.792 159.757 156.787 159.929
159.82 166.61 160.221 160.638 157.233 160.375
159.82 164.953 157.08 159.067 156.894 160.036
159.82 166.024 160.221 160.083 156.77 159.912
159.82 164.853 160.221 158.972 155.844 158.986
159.82 166.61 160.221 160.638 156.96 160.102
159.82 165.439 160.221 159.527 156.762 159.904
159.82 165.296 155.509 159.392 156.513 159.655
159.82 165.095 161.792 159.202 156.324 159.466
159.82 166.853 161.792 160.868 157.44 160.582
159.82 166.125 157.08 160.178 157.638 160.78
159.82 166.368 158.65 160.408 157.39 160.532
159.82 164.752 163.363 158.877 156.978 160.12
159.82 164.953 157.08 159.067 156.53 159.672
159.82 166.024 160.221 160.083 157.225 160.367
159.82 166.51 163.363 160.543 156.638 159.78
159.82 166.711 157.08 160.733 157.373 160.515
159.82 165.924 163.363 159.987 157.176 160.318
159.82 165.782 158.65 159.852 156.745 159.887
159.82 166.267 161.792 160.313 156.795 159.937
159.82 164.51 161.792 158.646 156.316 159.458
159.82 166.267 161.792 160.313 157.159 160.301
159.82 165.296 155.509 159.392 156.968 160.11
159.82 167.439 161.792 161.423 157.448 160.59
159.82 164.953 157.08 159.067 156.712 159.854
159.82 165.338 163.363 159.432 156.804 159.946
159.82 163.882 153.938 158.052 155.835 158.977
159.82 166.024 160.221 160.083 156.861 160.003
159.82 165.539 157.08 159.622 156.72 159.862
159.82 165.095 161.792 159.202 156.142 159.284
159.82 166.267 161.792 160.313 157.25 160.392
159.82 166.853 161.792 160.868 157.258 160.4
159.82 166.51 163.363 160.543 157.366 160.508
159.82 164.468 153.938 158.607 156.207 159.349
159.82 165.439 160.221 159.527 156.125 159.267
159.82 164.711 155.509 158.837 156.232 159.374
159.82 166.752 164.934 160.773 158.028 161.17
159.82 165.095 161.792 159.202 156.506 159.648
159.82 167.095 163.363 161.098 157.192 160.334
159.82 164.752 163.363 158.877 156.978 160.12
159.82 165.196 158.65 159.297 156.555 159.697
159.82 165.439 160.221 159.527 156.489 159.631
159.82 164.752 163.363 158.877 156.796 159.938
159.82 164.711 155.509 158.837 156.323 159.465
159.82 166.167 164.934 160.217 157.838 160.98
159.82 166.61 160.221 160.638 157.506 160.648
159.82 164.51 161.792 158.646 155.861 159.003
159.82 164.51 161.792 158.646 156.134 159.276
159.82 166.267 161.792 160.313 156.886 160.028
159.82 164.711 155.509 158.837 156.323 159.465
159.82 165.924 163.363 159.987 157.358 160.5
159.82 166.853 161.792 160.868 157.531 160.673
159.82 165.296 155.509 159.392 156.786 159.928
159.82 165.196 158.65 159.297 156.1 159.242
159.82 164.711 155.509 158.837 156.778 159.92
159.82 166.267 161.792 160.313 157.068 160.21
159.82 166.853 161.792 160.868 157.531 160.673
159.82 165.196 158.65 159.297 156.1 159.242
159.82 166.61 160.221 160.638 156.778 159.92
159.82 166.853 161.792 160.868 157.531 160.673
159.82 166.853 161.792 160.868 157.804 160.946
159.82 164.711 155.509 158.837 156.141 159.283
159.82 164.711 155.509 158.837 155.959 159.101
159.82 165.782 158.65 159.852 157.655 160.797
159.82 166.024 160.221 160.083 157.134 160.276
159.82 166.61 160.221 160.638 157.688 160.83
159.82 165.338 163.363 159.432 157.259 160.401
159.82 165.338 163.363 159.432 157.35 160.492
159.82 164.711 155.509 158.837 156.414 159.556
159.82 166.024 160.221 160.083 156.77 159.912
159.82 164.853 160.221 158.972 156.208 159.35
159.82 166.267 161.792 160.313 156.431 159.573
159.82 166.024 160.221 160.083 156.952 160.094
159.82 165.782 158.65 159.852 157.018 160.16
159.82 165.681 161.792 159.757 156.423 159.565
159.82 164.953 157.08 159.067 156.621 159.763
159.82 165.782 158.65 159.852 156.472 159.614
159.82 165.296 155.509 159.392 157.15 160.292
159.82 166.267 161.792 160.313 157.25 160.392
159.82 165.439 160.221 159.527 156.671 159.813
159.82 165.782 158.65 159.852 156.836 159.978
159.82 165.681 161.792 159.757 156.423 159.565
