 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
127,3410,271.907,77.801,26,18,142.836,74.297
128,3407,269.421,77.936,23,20,146.514,74.059
129,3405,271.907,77.698,12,38,148.151,74.330
130,3398,271.321,77.801,18,75,52.836,74.565
131,3409,272.492,77.698,22,78,58.151,74.077
132,3404,270.492,77.878,32,14,102.609,74.194
133,3400,271.421,77.833,16,29,132.917,74.380
134,3401,270.492,77.801,26,17,142.836,74.000
135,3397,270.492,77.698,22,79,31.849,74.330
136,3406,272.250,77.801,18,74,52.836,73.694
137,3405,269.421,77.698,23,79,31.849,73.498
138,3406,271.907,77.987,33,14,130.840,74.108
139,3404,270.250,77.801,25,81,37.164,73.676
140,3410,270.836,77.833,14,31,137.083,73.963
141,3408,270.836,77.801,14,67,37.164,73.676
142,3401,272.492,77.827,11,59,27.553,74.246
143,3408,273.078,77.524,21,79,30.203,74.380
144,3405,271.078,77.897,17,27,131.878,74.061
145,3413,272.492,78.102,14,67,39.806,74.297
146,3411,271.078,77.698,21,22,121.849,74.059
147,3419,272.492,77.936,23,20,146.514,74.297
148,3408,271.078,77.878,19,75,24.261,73.894
149,3405,270.250,77.936,38,89,56.514,74.266
150,3407,271.321,77.833,27,17,110.298,74.318
151,3406,272.007,78.000,18,26,157.380,74.138
152,3407,272.735,78.006,13,65,36.135,74.579
153,3414,272.492,77.878,24,19,114.261,74.494
154,3399,271.664,77.833,30,85,47.083,74.246
155,3414,273.321,77.897,32,14,131.878,74.412
156,3400,271.664,77.897,21,22,150.803,74.194
157,3407,271.664,77.885,15,71,15.642,74.236
158,3408,272.735,77.801,14,66,37.164,74.594
159,3407,273.078,77.698,22,22,148.151,74.108
160,3406,271.907,77.698,12,63,31.849,74.059
161,3413,273.321,77.897,21,22,150.803,74.479
162,3405,271.664,77.801,13,65,37.164,74.000
163,3405,271.078,77.897,39,88,60.803,74.380
164,3397,271.078,77.621,11,44,158.062,74.330
165,3412,272.836,77.698,22,20,148.151,73.989
166,3417,271.664,77.987,14,68,40.840,74.059
167,3406,272.492,77.666,13,36,145.491,74.000
168,3408,271.907,77.936,20,23,123.486,74.287
169,3403,271.907,77.801,25,19,142.836,74.236
170,3407,272.492,78.032,22,79,30.838,74.108
171,3405,271.321,77.897,11,60,29.197,74.441
172,3407,270.492,77.698,21,22,121.849,74.108
173,3403,270.250,77.936,36,88,56.514,73.694
174,3401,270.492,77.698,21,78,58.151,74.330
175,3406,271.078,77.897,23,21,119.197,73.989
176,3410,270.250,78.032,11,39,149.162,74.108
177,3410,271.664,77.801,18,75,52.836,74.213
178,3408,271.664,77.897,40,89,60.803,74.269
179,3406,271.907,77.833,17,72,47.083,74.246
180,3402,271.421,77.698,11,61,31.849,74.160
181,3400,272.250,77.897,40,11,119.197,73.792
182,3407,272.250,77.897,17,28,131.878,74.304
183,3411,269.664,77.801,25,19,142.836,74.012
184,3408,272.250,77.897,21,22,150.803,74.540
185,3408,270.492,77.698,23,20,148.151,74.059
186,3402,270.250,78.000,18,25,157.380,74.189
187,3408,271.907,77.801,13,35,142.836,74.000
188,3400,269.664,77.833,17,26,159.702,74.318
189,3403,270.492,77.833,17,74,20.298,73.685
190,3401,272.492,77.897,21,79,29.197,74.308
191,3402,273.078,77.833,17,74,20.298,74.000
192,3407,271.664,77.827,42,90,62.447,74.290
193,3405,270.836,78.006,24,19,143.865,73.676
194,3409,271.421,77.987,32,14,130.840,74.012
195,3411,273.078,77.897,32,86,48.122,74.283
196,3406,270.492,77.878,43,89,65.739,73.894
197,3404,271.078,77.897,27,17,138.122,74.061
198,3410,273.907,77.833,15,30,137.083,74.473
199,3407,272.149,77.666,33,86,78.111,74.194
200,3397,271.421,77.897,21,21,119.197,74.019
201,3411,271.664,77.936,36,87,56.514,74.059
202,3402,271.421,77.827,23,19,117.553,74.061
203,3413,271.907,78.006,24,19,143.865,74.000
204,3399,271.321,78.006,19,24,126.135,74.000
205,3402,273.078,77.698,22,21,148.151,74.027
206,3408,271.907,77.698,12,38,148.151,74.012
207,3411,271.907,77.936,37,88,56.514,74.266
208,3404,271.664,77.885,49,90,74.358,74.266
209,3406,272.735,77.897,21,22,150.803,74.328
210,3406,271.664,77.827,42,10,117.553,74.380
211,3404,271.664,77.801,26,18,142.836,73.694
212,3411,271.078,77.473,19,25,156.413,74.246
213,3406,271.078,77.698,12,38,148.151,74.214
214,3408,273.078,77.936,23,80,33.486,74.012
215,3409,272.492,77.936,12,63,33.486,74.330
216,3416,272.492,78.102,27,83,39.806,74.364
217,3402,271.321,77.698,23,21,148.151,74.236
218,3401,271.078,77.782,13,34,171.870,74.494
219,3404,270.836,77.621,45,10,111.938,73.460
220,3408,271.664,77.987,32,14,130.840,74.160
221,3414,271.664,77.936,37,12,123.486,73.659
222,3410,271.907,77.827,11,59,27.553,74.246
223,3407,269.664,77.936,37,88,56.514,73.713
224,3401,270.250,77.801,12,64,37.164,74.000
225,3405,273.563,77.936,20,23,123.486,74.500
226,3414,271.421,78.006,19,75,53.865,73.000
227,3407,270.007,77.936,21,23,123.486,73.460
228,3405,270.492,77.621,30,85,75.069,74.094
229,3404,271.664,77.878,11,57,24.261,73.894
230,3404,271.078,77.936,36,88,56.514,73.722
231,3414,270.836,77.801,13,65,37.164,73.676
232,3406,271.078,77.833,10,45,159.702,73.703
233,3410,271.664,77.897,40,89,60.803,74.466
234,3406,271.078,77.827,23,20,117.553,74.246
235,3412,272.836,77.897,14,68,41.878,73.989
236,3402,272.250,77.801,18,74,52.836,73.676
237,3401,272.250,77.820,19,76,25.907,74.019
238,3412,271.078,77.833,17,27,159.702,73.722
239,3407,271.907,77.878,18,26,155.739,74.583
240,3411,273.664,77.987,14,32,139.160,73.960
241,3409,271.664,78.032,22,21,149.162,73.960
242,3415,274.492,77.897,22,21,119.197,74.494
243,3408,271.078,78.006,35,88,53.865,73.627
244,3401,269.664,77.833,17,26,159.702,74.318
245,3406,272.836,77.897,22,79,60.803,74.380
246,3409,270.836,77.987,17,73,49.160,73.460
247,3410,271.907,77.897,21,22,150.803,74.411
248,3404,270.492,77.833,46,90,69.702,73.652
249,3408,271.664,77.833,17,74,20.298,74.318
250,3410,271.664,77.698,38,12,121.849,74.059
251,3412,271.664,77.987,31,86,49.160,74.160
252,3408,272.735,77.801,18,25,127.164,74.000
253,3411,269.664,77.936,23,21,146.514,73.659
254,3408,270.836,77.801,13,34,142.836,73.713
255,3404,273.321,77.698,21,22,121.849,74.627
256,3404,272.250,78.000,26,18,112.620,74.138
257,3407,271.078,77.936,12,64,33.486,73.722
258,3404,271.078,77.801,19,75,52.836,73.642
259,3414,271.907,78.032,39,11,120.838,74.481
260,3400,271.421,77.897,39,12,119.197,73.923
261,3413,271.078,77.833,29,84,42.917,74.246
262,3400,272.735,77.885,30,15,105.642,74.606
263,3408,271.907,77.897,21,22,150.803,74.412
264,3403,271.078,77.698,38,88,58.151,74.266
265,3411,273.321,77.936,20,23,123.486,74.297
266,3407,271.078,77.878,11,58,24.261,74.028
267,3400,272.492,77.801,13,35,142.836,74.579
268,3403,271.078,77.936,36,12,123.486,73.676
269,3400,269.421,77.698,12,62,31.849,73.921
270,3400,270.836,77.801,26,18,142.836,74.236
271,3404,270.492,77.698,12,62,31.849,74.059
272,3408,268.836,77.936,13,64,33.486,73.498
273,3403,273.321,77.827,23,20,117.553,74.590
274,3407,271.321,77.801,18,75,52.836,74.000
275,3408,273.563,77.897,28,16,138.122,74.463
276,3407,272.492,77.666,53,10,101.889,74.246
277,3407,271.907,77.878,11,43,155.739,74.379
278,3411,271.664,78.000,10,55,22.620,74.138
279,3414,272.492,77.936,12,63,33.486,74.318
280,3403,271.078,77.878,10,44,155.739,74.214
281,3394,270.836,78.032,38,89,59.162,74.012
282,3404,268.593,77.936,20,23,123.486,73.460
283,3412,271.421,78.006,12,65,36.135,73.000
284,3408,270.836,77.897,21,78,29.197,74.380
285,3407,272.250,78.006,35,13,126.135,73.659
286,3406,273.078,77.987,14,68,40.840,74.077
287,3403,270.836,77.698,22,78,58.151,74.059
288,3409,271.907,77.897,22,21,119.197,74.379
289,3411,272.492,77.897,40,89,60.803,74.494
290,3409,271.907,77.833,28,17,137.083,74.246
291,3410,271.907,77.897,40,11,119.197,74.479
292,3417,269.907,77.827,41,89,62.447,73.996
293,3406,270.836,77.987,17,73,49.160,74.160
294,3407,271.664,77.987,27,83,40.840,74.160
295,3409,272.492,78.006,18,75,53.865,74.000
296,3410,271.078,77.897,40,11,119.197,74.412
297,3414,270.492,77.698,22,79,31.849,74.059
298,3400,270.836,78.006,19,25,126.135,73.627
299,3407,270.250,77.833,46,10,110.298,73.685
