Reference   BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
173.671 179.196 169.646 172.57 170.093 173.235
173.671 181.137 182.212 174.41 170.93 174.072
173.671 180.468 166.504 173.776 170.522 173.664
173.671 179.054 164.934 172.435 169.571 172.713
173.671 181.137 182.212 174.41 171.476 174.618
173.671 179.723 180.642 173.069 170.616 173.758
173.671 182.409 179.071 175.616 171.268 174.41
173.671 179.782 169.646 173.125 170.283 173.425
173.671 180.066 179.071 173.395 171.054 174.196
173.671 177.882 164.934 171.324 169.919 173.061
173.671 179.238 177.5 172.609 170.111 173.253
173.671 179.48 179.071 172.839 170.955 174.097
173.671 180.652 179.071 173.95 169.97 173.112
173.671 178.409 175.929 171.824 170.26 173.402
173.671 182.125 169.646 175.347 170.952 174.094
173.671 179.296 166.504 172.665 171.325 174.467
173.671 180.225 164.934 173.546 171.225 174.367
173.671 181.095 174.358 174.371 170.457 173.599
173.671 178.125 166.504 171.555 169.944 173.086
173.671 177.823 175.929 171.269 169.706 172.848
173.671 181.439 172.788 174.696 170.349 173.491
173.671 179.054 164.934 172.435 170.39 173.532
173.671 179.882 166.504 173.221 171.333 174.475
173.671 180.652 179.071 173.95 170.061 173.203
173.671 179.882 166.504 173.221 169.422 172.564
173.671 179.882 166.504 173.221 169.24 172.382
173.671 178.652 177.5 172.054 170.376 173.518
173.671 180.652 179.071 173.95 170.334 173.476
173.671 180.894 180.642 174.18 170.905 174.047
173.671 179.296 166.504 172.665 171.052 174.194
173.671 179.64 164.934 172.991 171.126 174.268
173.671 179.238 177.5 172.609 171.021 174.163
173.671 180.551 182.212 173.855 172.014 175.156
173.671 179.054 164.934 172.435 170.299 173.441
173.671 179.723 180.642 173.069 170.161 173.303
173.671 179.723 180.642 173.069 171.071 174.213
173.671 179.882 166.504 173.221 171.242 174.384
173.671 182.024 172.788 175.251 171.358 174.5
173.671 177.296 164.934 170.769 169.729 172.871
173.671 180.309 180.642 173.625 170.442 173.584
173.671 181.823 179.071 175.061 171.078 174.22
173.671 182.752 177.5 175.942 171.342 174.484
173.671 181.581 177.5 174.831 170.416 173.558
173.671 181.823 179.071 175.061 170.805 173.947
173.671 179.723 180.642 173.069 169.888 173.03
173.671 178.309 179.071 171.729 170.757 173.899
173.671 179.882 166.504 173.221 169.695 172.837
173.671 180.853 172.788 174.141 170.978 174.12
173.671 182.409 179.071 175.616 171.177 174.319
173.671 181.823 179.071 175.061 170.896 174.038
173.671 182.167 177.5 175.386 170.606 173.748
173.671 178.652 177.5 172.054 170.376 173.518
173.671 178.125 166.504 171.555 170.308 173.45
173.671 180.309 180.642 173.625 170.715 173.857
173.671 179.338 174.358 172.705 169.705 172.847
173.671 178.652 177.5 172.054 170.376 173.518
173.671 180.125 168.075 173.451 171.54 174.682
173.671 179.196 169.646 172.57 170.275 173.417
173.671 180.468 166.504 173.776 170.795 173.937
173.671 181.137 182.212 174.41 171.84 174.982
173.671 180.309 180.642 173.625 170.624 173.766
173.671 181.338 175.929 174.601 170.209 173.351
173.671 177.64 163.363 171.094 169.257 172.399
173.671 176.711 164.934 170.214 169.084 172.226
173.671 182.267 174.358 175.481 171.201 174.343
173.671 180.853 172.788 174.141 170.341 173.483
173.671 182.024 172.788 175.251 170.903 174.045
173.671 180.024 171.217 173.355 171.218 174.36
173.671 181.924 175.929 175.156 171.764 174.906
173.671 180.752 175.929 174.045 170.929 174.071
173.671 179.137 180.642 172.514 171.336 174.478
173.671 182.652 180.642 175.846 171.566 174.708
173.671 180.711 168.075 174.006 170.911 174.053
173.671 181.924 175.929 175.156 171.218 174.36
173.671 179.64 164.934 172.991 171.49 174.632
173.671 179.882 166.504 173.221 170.787 173.929
173.671 180.468 166.504 173.776 170.977 174.119
173.671 179.296 166.504 172.665 171.325 174.467
173.671 182.125 169.646 175.347 170.952 174.094
173.671 178.652 177.5 172.054 170.285 173.427
173.671 178.066 177.5 171.499 170.277 173.419
173.671 179.539 168.075 172.895 170.986 174.128
173.671 178.995 175.929 172.379 170.359 173.501
173.671 179.882 166.504 173.221 171.151 174.293
173.671 181.338 175.929 174.601 170.846 173.988
173.671 180.267 172.788 173.585 170.151 173.293
173.671 182.167 177.5 175.386 171.243 174.385
173.671 180.309 180.642 173.625 169.896 173.038
173.671 179.64 164.934 172.991 169.852 172.994
173.671 178.309 179.071 171.729 170.666 173.808
173.671 181.054 166.504 174.331 171.713 174.855
173.671 178.468 164.934 171.88 170.837 173.979
173.671 180.953 169.646 174.236 170.117 173.259
173.671 179.439 171.217 172.8 169.39 172.532
173.671 182.51 175.929 175.712 171.863 175.005
173.671 179.095 172.788 172.475 169.771 172.913
173.671 180.066 179.071 173.395 169.78 172.922
173.671 180.309 180.642 173.625 170.442 173.584
173.671 180.752 175.929 174.045 170.565 173.707
173.671 180.61 171.217 173.911 171.044 174.186
173.671 180.853 172.788 174.141 170.705 173.847
173.671 179.64 164.934 172.991 171.035 174.177
173.671 176.468 163.363 169.984 169.423 172.565
173.671 181.539 169.646 174.791 171.126 174.268
173.671 182.51 175.929 175.712 171.863 175.005
173.671 179.681 172.788 173.03 169.87 173.012
173.671 179.882 166.504 173.221 170.514 173.656
173.671 179.882 166.504 173.221 171.424 174.566
173.671 180.953 169.646 174.236 172.392 175.534
173.671 179.338 174.358 172.705 170.16 173.302
173.671 178.409 175.929 171.824 170.442 173.584
173.671 182.752 177.5 175.942 171.615 174.757
173.671 178.61 169.646 172.015 170.358 173.5
173.671 182.066 180.642 175.291 171.285 174.427
173.671 179.48 179.071 172.839 170.955 174.097
173.671 180.468 166.504 173.776 171.068 174.21
173.671 177.48 177.5 170.943 169.996 173.138
173.671 179.64 164.934 172.991 170.489 173.631
173.671 179.823 177.5 173.165 171.302 174.444
173.671 179.882 166.504 173.221 170.969 174.111
173.671 177.823 175.929 171.269 170.07 173.212
173.671 180.61 171.217 173.911 171.317 174.459
173.671 179.137 180.642 172.514 171.063 174.205
173.671 179.48 179.071 172.839 170.045 173.187
173.671 180.953 169.646 174.236 170.208 173.35
173.671 179.338 174.358 172.705 169.978 173.12
173.671 179.723 180.642 173.069 170.252 173.394
173.671 181.823 179.071 175.061 170.714 173.856
173.671 181.539 169.646 174.791 170.671 173.813
173.671 179.581 175.929 172.935 170.64 173.782
173.671 181.581 177.5 174.831 171.872 175.014
173.671 178.125 166.504 171.555 169.944 173.086
173.671 180.61 171.217 173.911 170.407 173.549
173.671 181.723 182.212 174.966 171.393 174.535
173.671 180.468 166.504 173.776 170.704 173.846
173.671 181.095 174.358 174.371 170.821 173.963
173.671 177.48 177.5 170.943 169.814 172.956
173.671 182.368 171.217 175.577 171.25 174.392
173.671 180.551 182.212 173.855 171.195 174.337
173.671 179.238 177.5 172.609 170.93 174.072
173.671 180.066 179.071 173.395 170.326 173.468
173.671 179.924 174.358 173.26 170.714 173.856
173.671 180.309 180.642 173.625 170.442 173.584
173.671 178.468 164.934 171.88 170.2 173.342
173.671 178.894 179.071 172.284 169.127 172.269
173.671 180.894 180.642 174.18 170.814 173.956
173.671 179.823 177.5 173.165 171.029 174.171
173.671 178.711 166.504 172.11 170.589 173.731
173.671 179.539 168.075 172.895 171.532 174.674
173.671 177.882 164.934 171.324 170.283 173.425
173.671 182.409 179.071 175.616 171.268 174.41
173.671 183.48 182.212 176.632 172.509 175.651
173.671 181.924 175.929 175.156 170.763 173.905
173.671 181.882 168.075 175.117 171.564 174.706
