Reference   BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
117.374 121.397 117.81 117.773 114.443 117.585
117.374 119.74 114.668 116.202 114.741 117.883
117.374 120.468 119.381 116.892 113.815 116.957
117.374 116.912 111.527 113.521 112.93 116.072
117.374 121.882 120.951 118.233 114.311 117.453
117.374 123.054 120.951 119.344 114.418 117.56
117.374 122.711 122.522 119.019 114.617 117.759
117.374 121.397 117.81 117.773 114.898 118.04
117.374 120.468 119.381 116.892 114.816 117.958
117.374 121.397 117.81 117.773 114.716 117.858
117.374 121.497 114.668 117.868 114.401 117.543
117.374 118.083 111.527 114.631 113.856 116.998
117.374 119.054 117.81 115.552 113.774 116.916
117.374 119.054 117.81 115.552 114.32 117.462
117.374 120.468 119.381 116.892 114.998 118.14
117.374 122.468 120.951 118.788 114.137 117.279
117.374 120.912 114.668 117.313 114.211 117.353
117.374 117.882 117.81 114.441 113.667 116.809
117.374 123.154 117.81 119.439 115.377 118.519
117.374 120.711 120.951 117.122 114.477 117.619
117.374 122.711 122.522 119.019 114.526 117.668
117.374 119.154 114.668 115.647 113.823 116.965
117.374 123.154 117.81 119.439 115.377 118.519
117.374 121.882 120.951 118.233 114.675 117.817
117.374 117.497 111.527 114.076 113.302 116.444
117.374 122.711 122.522 119.019 114.435 117.577
117.374 121.296 120.951 117.678 114.485 117.627
117.374 119.054 117.81 115.552 114.32 117.462
117.374 123.296 122.522 119.574 114.716 117.858
117.374 120.225 117.81 116.662 114.154 117.296
117.374 120.811 117.81 117.218 114.071 117.213
117.374 119.983 116.239 116.432 113.765 116.907
117.374 117.497 111.527 114.076 113.302 116.444
117.374 119.64 117.81 116.107 114.237 117.379
117.374 120.125 120.951 116.567 114.742 117.884
117.374 118.468 117.81 114.996 114.13 117.272
117.374 123.154 117.81 119.439 115.286 118.428
117.374 119.054 117.81 115.552 114.32 117.462
117.374 122.326 116.239 118.654 115.162 118.304
117.374 120.569 116.239 116.988 114.592 117.734
117.374 119.74 114.668 116.202 114.832 117.974
117.374 121.296 120.951 117.678 114.758 117.9
117.374 120.912 114.668 117.313 113.21 116.352
117.374 121.497 114.668 117.868 114.492 117.634
117.374 118.468 117.81 114.996 113.948 117.09
117.374 118.083 111.527 114.631 113.765 116.907
117.374 122.569 117.81 118.884 114.641 117.783
117.374 122.083 114.668 118.424 114.591 117.733
117.374 121.882 120.951 118.233 114.038 117.18
117.374 118.326 113.097 114.862 113.972 117.114
117.374 118.468 117.81 114.996 114.221 117.363
117.374 122.326 116.239 118.654 114.161 117.303
117.374 120.711 120.951 117.122 115.205 118.347
117.374 118.083 111.527 114.631 113.492 116.634
117.374 121.497 114.668 117.868 114.583 117.725
117.374 119.983 116.239 116.432 114.675 117.817
117.374 119.054 117.81 115.552 114.684 117.826
117.374 120.326 114.668 116.758 115.204 118.346
117.374 122.326 116.239 118.654 115.435 118.577
117.374 122.326 116.239 118.654 114.343 117.485
117.374 118.225 116.239 114.766 113.923 117.065
117.374 122.569 117.81 118.884 114.55 117.692
117.374 122.711 122.522 119.019 114.708 117.85
117.374 118.468 117.81 114.996 113.675 116.817
117.374 120.326 114.668 116.758 114.658 117.8
117.374 121.983 117.81 118.328 115.088 118.23
117.374 120.811 117.81 117.218 113.343 116.485
117.374 121.64 119.381 118.003 115.105 118.247
117.374 122.225 119.381 118.558 115.477 118.619
117.374 120.912 114.668 117.313 114.484 117.626
117.374 121.497 114.668 117.868 114.765 117.907
117.374 122.569 117.81 118.884 114.277 117.419
117.374 122.569 117.81 118.884 114.823 117.965
117.374 117.497 111.527 114.076 113.12 116.262
117.374 118.468 117.81 114.996 113.948 117.09
117.374 122.468 120.951 118.788 114.592 117.734
117.374 119.054 117.81 115.552 114.411 117.553
117.374 120.711 120.951 117.122 114.204 117.346
117.374 119.154 114.668 115.647 114.278 117.42
117.374 121.882 120.951 118.233 115.403 118.545
117.374 122.125 122.522 118.463 114.882 118.024
117.374 120.912 114.668 117.313 114.211 117.353
