BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
2.4839 1.94414 0.0137695 -2.74521 0.597222
0.462969 -3.06951 -1.90219 -4.39111 -1.04868
1.34436 -1.39829 -1.06658 -4.356 -1.01357
2.59083 -1.39829 0.115146 -2.88671 0.455719
1.60251 0.272923 -0.821838 -4.42622 -1.08379
1.96759 -1.39829 -0.475718 -3.28249 0.0599378
1.0862 -3.06951 -1.31133 -4.57623 -1.2338
0.721122 -1.39829 -1.65745 -4.65496 -1.31253
1.60251 0.272923 -0.821838 -3.74849 -0.406063
1.0862 -3.06951 -1.31133 -3.41442 -0.0719893
3.47221 0.272923 0.950753 -2.65797 0.684464
3.47221 0.272923 0.950753 -3.04524 0.297194
0.0978866 -1.39829 -2.24831 -4.85711 -1.51468
3.10713 1.94414 0.604633 -3.3176 0.0248282
1.96759 -1.39829 -0.475718 -3.47613 -0.133697
0.0978866 -1.39829 -2.24831 -4.17938 -0.836954
3.21406 -1.39829 0.70601 -2.39411 0.948318
3.73037 1.94414 1.1955 -2.43773 0.904697
1.0862 -3.06951 -1.31133 -3.41442 -0.0719893
1.60251 0.272923 -0.821838 -3.55486 -0.212428
2.59083 -1.39829 0.115146 -2.59626 0.746172
1.96759 -1.39829 -0.475718 -3.37931 -0.0368797
3.10713 1.94414 0.604633 -2.83351 0.508916
0.721122 -1.39829 -1.65745 -3.88042 -0.53799
0.979274 0.272923 -1.4127 -3.85382 -0.511392
-0.418418 -4.74072 -2.7378 -4.61985 -1.27742
1.60251 0.272923 -0.821838 -4.03895 -0.696515
1.96759 -1.39829 -0.475718 -3.66976 -0.327332
2.22574 0.272923 -0.230974 -2.77181 0.570624
1.96759 -1.39829 -0.475718 -3.57295 -0.230515
3.47221 0.272923 0.950753 -2.8516 0.490829
3.73037 1.94414 1.1955 -2.72819 0.614245
1.96759 -1.39829 -0.475718 -3.8634 -0.520967
2.22574 0.272923 -0.230974 -3.44953 -0.107099
1.96759 -1.39829 -0.475718 -4.25067 -0.908237
1.96759 -1.39829 -0.475718 -2.89522 0.447208
1.34436 -1.39829 -1.06658 -3.96873 -0.626296
3.10713 1.94414 0.604633 -2.7367 0.605733
1.0862 -3.06951 -1.31133 -4.3826 -1.04016
3.47221 0.272923 0.950753 -2.65797 0.684464
1.60251 0.272923 -0.821838 -3.16759 0.174842
2.4839 1.94414 0.0137695 -2.74521 0.597222
3.47221 0.272923 0.950753 -2.36751 0.974917
0.204817 -4.74072 -2.14693 -4.22407 -0.881639
2.84898 0.272923 0.35989 -2.95693 0.3855
0.721122 -1.39829 -1.65745 -4.94541 -1.60298
0.0978866 -1.39829 -2.24831 -4.37302 -1.03059
2.22574 0.272923 -0.230974 -3.8368 -0.494369
3.10713 1.94414 0.604633 -3.3176 0.0248282
1.96759 -1.39829 -0.475718 -2.89522 0.447208
1.70944 -3.06951 -0.720462 -3.79318 -0.450748
2.4839 1.94414 0.0137695 -3.51975 -0.177318
1.60251 0.272923 -0.821838 -3.94213 -0.599698
0.0978866 -1.39829 -2.24831 -4.66347 -1.32104
3.47221 0.272923 0.950753 -2.65797 0.684464
2.59083 -1.39829 0.115146 -3.85489 -0.512456
0.828052 -4.74072 -1.55607 -4.11874 -0.77631
1.86066 1.94414 -0.577094 -2.75372 0.58871
1.96759 -1.39829 -0.475718 -3.76658 -0.42415
2.22574 0.272923 -0.230974 -3.64316 -0.300734
-0.525348 -1.39829 -2.83917 -4.7688 -1.42637
1.0862 -3.06951 -1.31133 -4.3826 -1.04016
1.0862 -3.06951 -1.31133 -3.70487 -0.362442
1.96759 -1.39829 -0.475718 -3.18568 0.156755
3.73037 1.94414 1.1955 -2.92182 0.42061
1.96759 -1.39829 -0.475718 -3.08886 0.253573
1.86066 1.94414 -0.577094 -2.94736 0.395075
2.59083 -1.39829 0.115146 -3.66125 -0.318821
2.59083 -1.39829 0.115146 -3.17716 0.165267
3.47221 0.272923 0.950753 -1.98024 1.36219
1.60251 0.272923 -0.821838 -3.26441 0.0780246
2.22574 0.272923 -0.230974 -2.77181 0.570624
0.462969 -3.06951 -1.90219 -4.19747 -0.855041
1.96759 -1.39829 -0.475718 -2.89522 0.447208
1.96759 -1.39829 -0.475718 -3.28249 0.0599378
2.59083 -1.39829 0.115146 -2.59626 0.746172
1.0862 -3.06951 -1.31133 -3.22079 0.121646
2.84898 0.272923 0.35989 -3.44102 -0.0985875
1.60251 0.272923 -0.821838 -3.55486 -0.212428
1.60251 0.272923 -0.821838 -2.6835 0.65893
2.74205 3.61535 0.258513 -2.81543 0.527003
2.84898 0.272923 0.35989 -2.08557 1.25686
2.22574 0.272923 -0.230974 -3.93362 -0.591187
2.22574 0.272923 -0.230974 -3.15908 0.183354
2.59083 -1.39829 0.115146 -2.88671 0.455719
2.22574 0.272923 -0.230974 -3.64316 -0.300734
0.462969 -3.06951 -1.90219 -4.58474 -1.24231
3.73037 1.94414 1.1955 -2.43773 0.904697
1.70944 -3.06951 -0.720462 -3.59954 -0.257113
2.84898 0.272923 0.35989 -3.73147 -0.38904
3.73037 1.94414 1.1955 -3.11546 0.226975
3.10713 1.94414 0.604633 -3.22079 0.121646
1.96759 -1.39829 -0.475718 -3.57295 -0.230515
3.10713 1.94414 0.604633 -3.02715 0.315281
0.0978866 -1.39829 -2.24831 -4.2762 -0.933772
2.84898 0.272923 0.35989 -3.24738 0.0950475
2.84898 0.272923 0.35989 -2.27921 1.06322
1.96759 -1.39829 -0.475718 -3.8634 -0.520967
3.47221 0.272923 0.950753 -2.8516 0.490829
3.73037 1.94414 1.1955 -2.2441 1.09833
3.10713 1.94414 0.604633 -3.3176 0.0248282
2.59083 -1.39829 0.115146 -2.69308 0.649354
2.84898 0.272923 0.35989 -2.95693 0.3855
1.96759 -1.39829 -0.475718 -2.60477 0.73766
0.721122 -1.39829 -1.65745 -4.46133 -1.1189
2.59083 -1.39829 0.115146 -2.49944 0.842989
3.47221 0.272923 0.950753 -2.75478 0.587647
2.4839 1.94414 0.0137695 -2.74521 0.597222
2.4839 1.94414 0.0137695 -3.51975 -0.177318
1.60251 0.272923 -0.821838 -3.74849 -0.406063
2.22574 0.272923 -0.230974 -3.64316 -0.300734
1.34436 -1.39829 -1.06658 -4.45281 -1.11038
1.70944 -3.06951 -0.720462 -3.11546 0.226975
2.22574 0.272923 -0.230974 -3.64316 -0.300734
4.3536 1.94414 1.78636 -1.17059 2.17184
1.0862 -3.06951 -1.31133 -3.99533 -0.652894
0.721122 -1.39829 -1.65745 -3.49315 -0.15072
4.3536 1.94414 1.78636 -1.94513 1.3973
1.0862 -3.06951 -1.31133 -3.60806 -0.265624
2.84898 0.272923 0.35989 -2.37603 0.966405
1.96759 -1.39829 -0.475718 -3.18568 0.156755
1.96759 -1.39829 -0.475718 -3.8634 -0.520967
2.22574 0.272923 -0.230974 -3.35271 -0.0102815
1.0862 -3.06951 -1.31133 -3.89851 -0.556077
3.21406 -1.39829 0.70601 -3.07184 0.270596
2.74205 3.61535 0.258513 -2.62179 0.720638
1.70944 -3.06951 -0.720462 -3.59954 -0.257113
2.59083 -1.39829 0.115146 -3.17716 0.165267
3.10713 1.94414 0.604633 -2.44624 0.896186
2.4839 1.94414 0.0137695 -3.8102 -0.467771
3.10713 1.94414 0.604633 -3.51124 -0.168807
2.84898 0.272923 0.35989 -2.95693 0.3855
3.47221 0.272923 0.950753 -2.56115 0.781282
2.4839 1.94414 0.0137695 -2.45476 0.887674
1.86066 1.94414 -0.577094 -3.33463 0.00780534
3.10713 1.94414 0.604633 -2.34943 0.993003
1.96759 -1.39829 -0.475718 -4.15385 -0.81142
3.10713 1.94414 0.604633 -3.02715 0.315281
1.34436 -1.39829 -1.06658 -3.87191 -0.529479
2.59083 -1.39829 0.115146 -2.78989 0.552537
2.22574 0.272923 -0.230974 -3.8368 -0.494369
1.60251 0.272923 -0.821838 -3.94213 -0.599698
-1.04165 -4.74072 -3.32866 -4.91882 -1.57638
4.3536 1.94414 1.78636 -2.23559 1.10684
1.34436 -1.39829 -1.06658 -3.38782 -0.0453911
2.22574 0.272923 -0.230974 -3.06226 0.280171
0.204817 -4.74072 -2.14693 -4.03043 -0.688004
3.47221 0.272923 0.950753 -2.65797 0.684464
2.59083 -1.39829 0.115146 -2.88671 0.455719
2.22574 0.272923 -0.230974 -4.32089 -0.978457
1.96759 -1.39829 -0.475718 -3.28249 0.0599378
2.22574 0.272923 -0.230974 -3.54635 -0.203916
1.70944 -3.06951 -0.720462 -2.92182 0.42061
2.4839 1.94414 0.0137695 -2.35794 0.984492
0.721122 -1.39829 -1.65745 -3.7836 -0.441173
1.0862 -3.06951 -1.31133 -3.80169 -0.459259
0.979274 0.272923 -1.4127 -3.27292 0.0695132
2.59083 -1.39829 0.115146 -3.08035 0.262084
3.98852 3.61535 1.44024 -2.79841 0.544025
2.4839 1.94414 0.0137695 -2.84203 0.500404
2.22574 0.272923 -0.230974 -3.35271 -0.0102815
3.47221 0.272923 0.950753 -2.56115 0.781282
1.34436 -1.39829 -1.06658 -4.54963 -1.2072
1.23743 1.94414 -1.16796 -3.53677 -0.194341
1.60251 0.272923 -0.821838 -3.65168 -0.309245
2.84898 0.272923 0.35989 -3.24738 0.0950475
3.47221 0.272923 0.950753 -2.65797 0.684464
2.4839 1.94414 0.0137695 -3.51975 -0.177318
1.23743 1.94414 -1.16796 -3.73041 -0.387976
2.4839 1.94414 0.0137695 -2.93884 0.403587
0.204817 -4.74072 -2.14693 -4.32089 -0.978457
2.84898 0.272923 0.35989 -3.44102 -0.0985875
2.59083 -1.39829 0.115146 -2.59626 0.746172
0.979274 0.272923 -1.4127 -4.43473 -1.0923
2.59083 -1.39829 0.115146 -3.46762 -0.125186
1.96759 -1.39829 -0.475718 -3.47613 -0.133697
2.84898 0.272923 0.35989 -2.66648 0.675953
1.0862 -3.06951 -1.31133 -3.70487 -0.362442
2.84898 0.272923 0.35989 -2.27921 1.06322
1.0862 -3.06951 -1.31133 -3.3176 0.0248282
3.73037 1.94414 1.1955 -2.43773 0.904697
2.4839 1.94414 0.0137695 -2.55157 0.790857
3.10713 1.94414 0.604633 -2.83351 0.508916
3.10713 1.94414 0.604633 -3.12397 0.218463
1.34436 -1.39829 -1.06658 -4.54963 -1.2072
2.59083 -1.39829 0.115146 -2.30581 1.03662
3.47221 0.272923 0.950753 -2.17388 1.16855
4.09545 0.272923 1.54162 -2.26219 1.08025
0.721122 -1.39829 -1.65745 -3.97724 -0.634808
1.60251 0.272923 -0.821838 -3.36122 -0.0187929
1.60251 0.272923 -0.821838 -2.97395 0.368477
2.4839 1.94414 0.0137695 -2.35794 0.984492
3.21406 -1.39829 0.70601 -2.58775 0.754683
3.73037 1.94414 1.1955 -2.92182 0.42061
2.84898 0.272923 0.35989 -3.15057 0.191865
1.96759 -1.39829 -0.475718 -3.66976 -0.327332
1.60251 0.272923 -0.821838 -3.55486 -0.212428
0.462969 -3.06951 -1.90219 -4.29429 -0.951858
1.34436 -1.39829 -1.06658 -3.96873 -0.626296
1.34436 -1.39829 -1.06658 -3.77509 -0.432661
2.84898 0.272923 0.35989 -3.82829 -0.485858
3.73037 1.94414 1.1955 -2.34092 1.00151
2.84898 0.272923 0.35989 -2.86011 0.482318
2.84898 0.272923 0.35989 -3.3442 -0.00177002
1.0862 -3.06951 -1.31133 -3.51124 -0.168807
0.979274 0.272923 -1.4127 -3.27292 0.0695132
1.86066 1.94414 -0.577094 -2.94736 0.395075
3.73037 1.94414 1.1955 -2.34092 1.00151
3.47221 0.272923 0.950753 -1.88343 1.459
1.60251 0.272923 -0.821838 -3.65168 -0.309245
2.22574 0.272923 -0.230974 -2.96544 0.376989
2.84898 0.272923 0.35989 -2.95693 0.3855
1.96759 -1.39829 -0.475718 -2.99204 0.35039
2.4839 1.94414 0.0137695 -3.42293 -0.0805008
2.22574 0.272923 -0.230974 -2.96544 0.376989
2.84898 0.272923 0.35989 -3.53784 -0.195405
1.60251 0.272923 -0.821838 -3.45804 -0.11561
2.84898 0.272923 0.35989 -2.95693 0.3855
2.22574 0.272923 -0.230974 -4.03043 -0.688004
1.34436 -1.39829 -1.06658 -4.06554 -0.723114
3.47221 0.272923 0.950753 -2.07706 1.26537
3.10713 1.94414 0.604633 -3.41442 -0.0719893
2.22574 0.272923 -0.230974 -4.03043 -0.688004
1.60251 0.272923 -0.821838 -4.23258 -0.890151
2.4839 1.94414 0.0137695 -3.03566 0.306769
4.3536 1.94414 1.78636 -1.65468 1.68775
0.979274 0.272923 -1.4127 -3.95064 -0.608209
1.34436 -1.39829 -1.06658 -3.96873 -0.626296
3.10713 1.94414 0.604633 -3.22079 0.121646
3.10713 1.94414 0.604633 -1.96216 1.38027
2.84898 0.272923 0.35989 -2.95693 0.3855
0.979274 0.272923 -1.4127 -3.85382 -0.511392
3.10713 1.94414 0.604633 -3.60806 -0.265624
2.84898 0.272923 0.35989 -3.44102 -0.0985875
2.4839 1.94414 0.0137695 -2.84203 0.500404
2.22574 0.272923 -0.230974 -3.64316 -0.300734
1.86066 1.94414 -0.577094 -2.6569 0.685528
0.721122 -1.39829 -1.65745 -3.88042 -0.53799
3.47221 0.272923 0.950753 -2.8516 0.490829
1.96759 -1.39829 -0.475718 -3.37931 -0.0368797
2.22574 0.272923 -0.230974 -4.4177 -1.07527
4.3536 1.94414 1.78636 -2.13877 1.20366
2.84898 0.272923 0.35989 -2.56966 0.77277
4.61175 3.61535 2.0311 -2.30581 1.03662
3.10713 1.94414 0.604633 -3.22079 0.121646
2.22574 0.272923 -0.230974 -3.25589 0.0865361
2.59083 -1.39829 0.115146 -3.56443 -0.222003
2.84898 0.272923 0.35989 -3.44102 -0.0985875
2.22574 0.272923 -0.230974 -4.22407 -0.881639
2.22574 0.272923 -0.230974 -4.12725 -0.784822
2.22574 0.272923 -0.230974 -2.77181 0.570624
2.84898 0.272923 0.35989 -3.53784 -0.195405
1.60251 0.272923 -0.821838 -3.55486 -0.212428
0.979274 0.272923 -1.4127 -3.36974 -0.0273043
2.4839 1.94414 0.0137695 -2.45476 0.887674
1.0862 -3.06951 -1.31133 -3.51124 -0.168807
3.10713 1.94414 0.604633 -3.02715 0.315281
2.59083 -1.39829 0.115146 -2.40262 0.939807
2.22574 0.272923 -0.230974 -4.32089 -0.978457
2.4839 1.94414 0.0137695 -3.51975 -0.177318
0.204817 -4.74072 -2.14693 -4.51452 -1.17209
3.73037 1.94414 1.1955 -3.30909 0.0333396
3.73037 1.94414 1.1955 -2.43773 0.904697
1.60251 0.272923 -0.821838 -3.36122 -0.0187929
0.979274 0.272923 -1.4127 -3.75701 -0.414574
1.0862 -3.06951 -1.31133 -3.70487 -0.362442
0.0978866 -1.39829 -2.24831 -4.76029 -1.41786
2.84898 0.272923 0.35989 -2.95693 0.3855
2.22574 0.272923 -0.230974 -3.93362 -0.591187
1.0862 -3.06951 -1.31133 -3.70487 -0.362442
3.98852 3.61535 1.44024 -2.31432 1.02811
1.60251 0.272923 -0.821838 -3.74849 -0.406063
2.22574 0.272923 -0.230974 -2.77181 0.570624
2.4839 1.94414 0.0137695 -2.84203 0.500404
3.47221 0.272923 0.950753 -2.8516 0.490829
2.22574 0.272923 -0.230974 -3.44953 -0.107099
0.0978866 -1.39829 -2.24831 -3.88893 -0.546502
1.60251 0.272923 -0.821838 -3.84531 -0.50288
1.0862 -3.06951 -1.31133 -3.41442 -0.0719893
0.462969 -3.06951 -1.90219 -3.8102 -0.467771
1.96759 -1.39829 -0.475718 -3.66976 -0.327332
1.96759 -1.39829 -0.475718 -3.96022 -0.617785
0.204817 -4.74072 -2.14693 -3.93362 -0.591187
2.22574 0.272923 -0.230974 -3.44953 -0.107099
0.0978866 -1.39829 -2.24831 -4.66347 -1.32104
2.4839 1.94414 0.0137695 -2.26112 1.08131
3.47221 0.272923 0.950753 -2.56115 0.781282
3.10713 1.94414 0.604633 -3.3176 0.0248282
3.47221 0.272923 0.950753 -2.56115 0.781282
2.4839 1.94414 0.0137695 -2.93884 0.403587
1.96759 -1.39829 -0.475718 -3.96022 -0.617785
3.10713 1.94414 0.604633 -2.83351 0.508916
0.721122 -1.39829 -1.65745 -4.17087 -0.828443
1.60251 0.272923 -0.821838 -3.07077 0.27166
2.84898 0.272923 0.35989 -3.24738 0.0950475
1.96759 -1.39829 -0.475718 -3.28249 0.0599378
2.84898 0.272923 0.35989 -3.92511 -0.582675
2.84898 0.272923 0.35989 -3.24738 0.0950475
